상품명,가격,할인율,평점,용량,전성분,URL
모발강화클리닉 샴푸 430ml,"17,000원",15%,4.8,430ml,"정제수, 소듐C14-16올레핀설포네이트, 라우릴하이드록시설테인, 솔비톨, 다이소듐라우레스설포석시네이트, 향료, 코카미도프로필베타인, 아이소펜틸다이올, 다마스크장미꽃수, 소듐클로라이드, 코코-글루코사이드, 폴리쿼터늄-10, 소듐벤조에이트, 데실글루코사이드, 소듐살리실레이트, 시트릭애씨드, 말티톨, 카프릴릴글라이콜, 소듐시트레이트, 피피지-3카프릴릴에터, 소듐메타포스페이트, 리모넨, 부틸렌글라이콜, 하이드롤라이즈드식물성단백질, 하이드록시프로필스타치포스페이트, 1,2-헥산다이올, 마데카소사이드, 마이크로크리스탈린셀룰로오스, 에틸헥실글리세린, 바이오틴, 글리세릴카프릴레이트, 하이드로제네이티드쌀겨오일, 호호바에스터, 카나우바왁스, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64586
모발강화클리닉 트리트먼트 200ml,"17,000원",15%,4.8,200 ml,"정제수, 글리세린, 베헨트라이모늄메토설페이트, 세틸알코올, 솔비톨, 다이프로필렌글라이콜, 스테아릴알코올, 말티톨, 세틸에틸헥사노에이트, 하이드록시프로필스타치포스페이트, 에틸헥실스테아레이트, 하이드로제네이티드쌀겨오일, 베헤닐알코올, 아르간커넬오일, 폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 호호바에스터, 향료, 다마스크장미꽃수, 스쿠알란, 카프릴릴/카프릴글루코사이드, 베타인, 카나우바왁스, 다이올레오일에틸하이드록시에틸모늄메토설페이트, 올레익애씨드, 글루타믹애씨드, 시트릭애씨드, 소듐글루코네이트, 스테아릭애씨드, 리놀레익애씨드, 리모넨, 마이크로크리스탈린셀룰로오스, 부틸렌글라이콜, 하이드롤라이즈드식물성단백질, 1,2-헥산다이올, 마데카소사이드, 카프릴릴글라이콜, 에틸헥실글리세린, 토코페롤, 바이오틴, 글리세릴카프릴레이트, 소듐벤조에이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64587
두피강화 클리닉 샴푸 탈모증상완화 400ml,"18,000원",25%,4.8,400ml,"정제수, 소듐코코일이세티오네이트, 다이소듐라우레스설포석시네이트, 라우릴베타인, 글리세릴스테아레이트, 트라이하이드록시스테아린, 폴리쿼터늄-10, 소듐벤조에이트, 카페인, 세틸알코올, 다이카프릴릴에터, 소듐살리실레이트, 페퍼민트오일, 멘톨, 시트릭애씨드, 카프릴릭/카프릭트라이글리세라이드, 카프릴릴글라이콜, 스타아니스열매/씨오일, 로즈마리잎오일, 덱스트린, 연필향나무오일, 테트라소듐이디티에이, 콘민트오일, 유칼립투스잎오일, 바질오일, 캐모마일꽃오일, 향기제비꽃잎추출물, 락토바실러스발효용해물, 글리세린, 녹차씨추출물, 토코페롤, 세라마이드엔피, 하이드로제네이티드레시틴, 피토스핑고신, 바이오틴",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=33872
모발강화클리닉 에센스 75ml,"17,000원",15%,4.7,75ml,"정제수, 프로판다이올, 아르간커넬오일, 미리스틸알코올, 데실코코에이트, 스테아라미도프로필다이메틸아민, 세틸에틸헥사노에이트, 시어버터, 카카오씨버터, 코코-카프릴레이트/카프레이트, 카프릴릭/카프릭트라이글리세라이드, 다마스크장미꽃수, 세테아릴알코올, 글리세릴올리에이트, 스테아릴알코올, 에틸헥실스테아레이트, 호호바에스터, 향료, 락틱애씨드, 세테아릴글루코사이드, 하이드록시프로필스타치포스페이트, 글리세릴카프릴레이트, 에틸헥실글리세린, 소듐글루코네이트, 부틸렌글라이콜, 리모넨, 하이드롤라이즈드식물성단백질, 1,2-헥산다이올, 마데카소사이드, 소듐하이알루로네이트, 바이오틴, 토코페롤, 소듐벤조에이트, 레시틴, 아스코빌팔미테이트, 하이드로제네이티드팜글리세라이즈시트레이트, 소듐트라이메타포스페이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드로제네이티드쌀겨오일, 하이알루로닉애씨드, 카나우바왁스, 솔비톨, 소듐아세틸레이티드하이알루로네이트, 말티톨, 마이크로크리스탈린셀룰로오스, 카프릴릴글라이콜",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64588
두피강화클리닉 샴푸 탈모증상완화 리필팩 400ml,"16,800원",30%,4.8,400ml,"정제수, 소듐코코일이세티오네이트, 다이소듐라우레스설포석시네이트, 라우릴베타인, 글리세릴스테아레이트, 트라이하이드록시스테아린, 폴리쿼터늄-10, 소듐벤조에이트, 카페인, 세틸알코올, 다이카프릴릴에터, 소듐살리실레이트, 페퍼민트오일, 멘톨, 시트릭애씨드, 카프릴릭/카프릭트라이글리세라이드, 카프릴릴글라이콜, 스타아니스열매/씨오일, 로즈마리잎오일, 덱스트린, 연필향나무오일, 테트라소듐이디티에이, 콘민트오일, 유칼립투스잎오일, 바질오일, 캐모마일꽃오일, 향기제비꽃잎추출물, 락토바실러스발효용해물, 글리세린, 녹차씨추출물, 토코페롤, 세라마이드엔피, 하이드로제네이티드레시틴, 피토스핑고신, 바이오틴",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62991
두피강화 클리닉 캡슐 트리트먼트 탈모증상완화 220ml,"13,600원",20%,4.8,220ml,"정제수, 글리세린, 다이프로필렌글라이콜, 세틸알코올, 스테아릴알코올, 카프릴릭/카프릭트라이글리세라이드, 스테아라미도프로필다이메틸아민, 하이드록시프로필스타치포스페이트, 글루타믹애씨드, 카페인, 다이-C12-13알킬말레이트, 판테놀, 피피지-3카프릴릴에터, 카프릴릴글라이콜, 페퍼민트오일, 마이크로크리스탈린셀룰로오스, 덱스트린, 옥수수전분, 프로판다이올, 부틸렌글라이콜, 스타아니스열매/씨오일, 로즈마리잎오일, 자일리톨, 에틸헥실글리세린, 다이소듐이디티에이, 연필향나무오일, 만니톨, 수크로오스, 다마스크장미꽃추출물, 콘민트오일, 1,2-헥산다이올, 프룩토올리고사카라이드, 유칼립투스잎오일, 락토바실러스발효용해물, 바질오일, 바이오틴, 검정콩추출물, 아스코빅애씨드, 하이드로제네이티드레시틴, 캐모마일꽃오일, 석류추출물, 마데카소사이드, 향기제비꽃잎추출물, 인삼추출물, 생강추출물, 소듐하이알루로네이트, 홍삼추출물, 약모밀추출물, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 녹차추출물, 하수오뿌리추출물, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=33879
프리미엄 샴푸 브러쉬 1입,"5,520원",20%,4.6,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46662
두피강화 클리닉 앰플 토닉 탈모증상완화 100ml,"18,000원",25%,4.8,100ml,"정제수, 변성알코올, 녹차추출물, 피이지-60하이드로제네이티드캐스터오일, 카프릴릴글라이콜, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 멘톨, 덱스트린, 프로판다이올, 아미노메틸프로판올, 다이소듐이디티에이, 에틸헥실글리세린, 페퍼민트오일, 스타아니스열매/씨오일, 로즈마리잎오일, 연필향나무오일, 락토바실러스발효용해물, 콘민트오일, 효모/보리씨발효여과물, 검정콩추출물, 에탄올, 부틸렌글라이콜, 유칼립투스잎오일, 바질오일, 1,2-헥산다이올, 생강추출물, 바이오틴, 캐모마일꽃오일, 소듐하이알루로네이트, 향기제비꽃잎추출물, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 호프추출물, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59404
두피강화 클리닉 헤어라인 앰플 탈모증상완화 15ml,"18,000원",25%,4.6,15mL,"정제수, 변성알코올, 피이지-60하이드로제네이티드캐스터오일, 녹차추출물(카페인 함유), 카보머, 카프릴릴글라이콜, 트로메타민, 덱스트린, 프로판다이올, 멘톨, 페퍼민트오일, 시트릭애씨드, 다이소듐이디티에이, 피록톤올아민, 스타아니스열매/씨오일, 로즈마리잎오일, 연필향나무오일, 락토바실러스발효용해물, 부틸렌글라이콜, 콘민트오일, 효모/보리씨발효여과물, 검정콩추출물, 에탄올, 유칼립투스잎오일, 바질오일, 1,2-헥산다이올, 생강추출물, 바이오틴, 캐모마일꽃오일, 글리세린, 소듐하이알루로네이트, 향기제비꽃잎추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 호프추출물, 하이알루로닉애씨드, 수용성콜라겐, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61308
탈모증상완화 샴푸 두피강화 블랑쉬앤우디/페어앤프리지아 400ml,"18,000원",25%,4.8,400ml,"정제수, 소듐코코일이세티오네이트, 다이소듐라우레스설포석시네이트, 라우릴베타인, 향료(블랑쉬앤우디향 1.3%), 글리세릴스테아레이트, 트라이하이드록시스테아린, 폴리쿼터늄-10, 카페인, 세틸알코올, 다이카프릴릴에터, 소듐벤조에이트, 소듐살리실레이트, 시트릭애씨드, 카프릴릭/카프릭트라이글리세라이드, 카프릴릴글라이콜, 덱스트린, 테트라소듐이디티에이, 알파-아이소메틸아이오논, 락토바실러스발효용해물, 글리세린, 녹차씨추출물, 토코페롤, 세라마이드엔피, 하이드로제네이티드레시틴, 피토스핑고신, 바이오틴",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50318
