상품명,가격,할인율,평점,용량,전성분,URL
함빛/청아/흑운/민감 샴푸&컨디셔너 480ml,"8,900원",35%,4.8,480ml,"정제수, 소듐C14-16올레핀설포네이트, 코카미도프로필베타인, 소듐클로라이드, 다이소듐라우레스설포석시네이트, 다이메티콘, 라우릴글루코사이드, 향료, 시트릭애씨드, 솔비톨, 카페인, 구아하이드록시프로필트라이모늄클로라이드, 세틸알코올, 소듐코코암포아세테이트, 카프릴릭/카프릭트라이글리세라이드, 트라이하이드록시스테아린, 말티톨, 소듐벤조에이트, 다이프로필렌글라이콜, 소듐살리실레이트, 소듐시트레이트, 소듐메타포스페이트, 다이카프릴릴에터, 폴리쿼터늄-7, 벤질살리실레이트, 리날룰, 클림바졸, 에틸헥실글리세린, 벤질벤조에이트, 헥실신남알, 라우레스-23, 라우레스-3, 글리세릴스테아레이트, 시트로넬올, 리모넨, 글리세린, 카프릴릴글라이콜, 카보머, 부틸렌글라이콜, 데하이드로아세틱애씨드, 테트라소듐이디티에이, 에탄올, 하이드롤라이즈드익스텐신, 덱스트린, 알지닌, 포도씨오일, 인삼추출물, 1,2-헥산다이올, 생강추출물, 락틱애씨드, 다마스크장미꽃추출물, 프로판다이올, 석류추출물, 마카다미아씨오일, 토코페롤, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 올레익애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 호호바씨오일, 하이드록시프로필비스팔미타마이드엠이에이, 콜레스테롤, 동백나무씨오일, 티트리잎오일, 녹차씨오일, 스테아릭애씨드, 리놀레익애씨드, 스페인감초뿌리추출물, 자일리틸글루코사이드, 석류나무꽃추출물, 안하이드로자일리톨, 소듐아세틸레이티드하이알루로네이트, 자일리톨",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60188
루트젠 탈모증상전문케어 두피 에센스 80ml,"16,900원",15%,4.8,80ml,"정제수, 변성알코올, 실리카, 녹차추출물, 마트리카리아꽃수, 카보머, 트로메타민, 글리세린, 향료, 멘톨, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 피록톤올아민, 프로판다이올, 인삼뿌리세포추출물, 1,2-헥산다이올, 에탄올, 동백나무씨오일, 녹차씨오일, 콩폴리펩타이드, 라벤더오일, 로즈마리잎오일, 베르가모트오일, 생강추출물, 동백나무꽃추출물, 인삼전초추출물, 다마스크장미꽃추출물, 병풀꽃/잎/줄기추출물, 에틸헥실글리세린, 검정콩오일, 검정콩추출물, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57538
두피 편한 검은콩 염색 120g,"9,900원",23%,4.8,1제60g+2제60g,"1제: 정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 스테아릴알코올, 에탄올아민, 세틸알코올, 황산톨루엔-2,5-디아민, 글리세릴스테아레이트, 폴리글리세릴-10스테아레이트, 베헨트라이모늄클로라이드, 레조시놀, 세틸에스터, 코코넛야자오일, 하이드록시프로필스타치포스페이트, 다이프로필렌글라이콜, 에리소빅애씨드, 폴리쿼터늄-6, 소듐설파이트, 프로판다이올, N,N-비스(2-히드록시에틸)-p-페닐렌디아민설페이트, 염산2,4-디아미노페녹시에탄올, M-아미노페놀, 트라이소듐에이치이디티에이, 검정콩추출물(100ppm), 호호바씨오일, 1,2-헥산다이올, 부틸렌글라이콜, 병풀꽃/잎/줄기추출물, 검정콩오일(0.948ppm), 에틸헥실글리세린, 페녹시에탄올, 다이소듐이디티에이, 세라마이드엔피, 알로에베라잎추출물, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물 / 2제:정제수, 세테아릴알코올, 하이드로젠퍼옥사이드, 스테아레스-21, 글라이콜다이스테아레이트, 세테아레스-30, 소듐스타네이트, 포스포릭애씨드, 소듐포스페이트, 소듐라우릴설페이트, 에티드로닉애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62509
자양윤모 9ex 탈모증상전문케어 샴푸 400ml,"9,900원",41%,4.8,400ml,"정제수, 소듐라우레스설페이트, 암모늄라우릴설페이트, 글리세린, 코카마이드메틸엠이에이, 향료, 다이소듐라우레스설포석시네이트, 라우릴하이드록시설테인, 카페인, 피피지-3카프릴릴에터, 변성알코올, 페녹시에탄올, 소듐벤조에이트, 세틸알코올, 멘톨, 구아하이드록시프로필트라이모늄클로라이드, 시트릭애씨드, 소듐살리실레이트, 카프릴릭/카프릭트라이글리세라이드, 트라이하이드록시스테아린, 소듐시트레이트, 다이카프릴릴에터, 테트라소듐이디티에이, 부틸렌글라이콜, 맥아추출물, 다이소듐이디티에이, 리날룰, 피이지-45M, 글리세릴스테아레이트, 콘민트잎추출물, 벤질살리실레이트, 헥실신남알, 벤질벤조에이트, 제라니올, 알파-아이소메틸아이오논, 하이드롤라이즈드옥수수전분, 카프릴릴글라이콜, 소나무잎추출물, 에탄올, 1,2-헥산다이올, 데하이드로아세틱애씨드, 인삼전초추출물, 인삼추출물, 실리카, 생강추출물, 에틸헥실글리세린, 토코페롤, 쌀추출물, 띠뿌리추출물, 황금추출물, 참깨추출물, 인동덩굴꽃추출물, 포트마리골드꽃추출물, 남가새열매추출물, 동백나무씨오일, 녹차씨오일, 피이지-150펜타에리스리틸테트라스테아레이트, 피피지-2하이드록시에틸코카마이드, 하수오뿌리추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46403
루트젠 여성 맞춤 탈모증상전문케어 샴푸 515ml,"19,900원",13%,4.7,515 ml,"정제수, 다이소듐라우레스설포석시네이트, 포타슘코코일글리시네이트, 소듐C14-16올레핀설포네이트, 코카미도프로필베타인, 솔비톨, 코카마이드메틸엠이에이, 향료, 소듐클로라이드, 말티톨, 코코-글루코사이드, 카페인, 피피지-3카프릴릴에터, 리모넨, 데실글루코사이드, 소듐살리실레이트, 시트릭애씨드, 세틸알코올, 멘톨, 소이아미도프로필아민옥사이드, 구아하이드록시프로필트라이모늄클로라이드, 글리세린, 마트리카리아꽃수, 카프릴릴글라이콜, 폴리쿼터늄-10, 소듐시트레이트, 카프릴릭/카프릭트라이글리세라이드, 트라이하이드록시스테아린, 다이카프릴릴에터, 폴리쿼터늄-22, 소듐메타포스페이트, 프로판다이올, 변성알코올, 소듐벤조에이트, 에틸헥실글리세린, 글리세릴스테아레이트, 부틸렌글라이콜, 테트라소듐이디티에이, 측백나무씨추출물, 1,2-헥산다이올, 인삼뿌리세포추출물, 데하이드로아세틱애씨드, 에탄올, 검정콩추출물, 석류추출물, 라벤더오일, 동백나무씨오일, 녹차씨오일, 콩폴리펩타이드, 인삼전초추출물, 로즈마리잎오일, 베르가모트오일, 국화추출물, 생강추출물, 덱스트린, 사이클로덱스트린, 다마스크장미꽃추출물, 병풀꽃/잎/줄기추출물, 하이드록시프로필사이클로덱스트린, 검정콩오일, 다이소듐이디티에이, 바위손추출물, 토코페롤, 알지닌, 세라마이드엔피, 로즈힙꽃오일, 라임전초오일, 라즈베리씨오일, 크랜베리씨오일, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57269
헤어쿠션 (짙은갈색/자연갈색) 7g,"19,900원",33%,4.6,7g,"흑색산화철, 마이카, 폴리메틸실세스퀴옥세인, 황색산화철, 적색산화철, 메티콘, 다이메티콘, 정제수, 측백나무씨추출물, 동백나무씨오일, 에탄올, 부틸렌글라이콜, 녹차추출물, 천궁뿌리추출물, 페녹시에탄올, 에틸헥실글리세린",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60173
루트젠 여성 맞춤 탈모증상전문케어 샴푸 리필팩 400ml,"12,900원",27%,4.8,400ml,"정제수, 다이소듐라우레스설포석시네이트, 포타슘코코일글리시네이트, 소듐C14-16올레핀설포네이트, 코카미도프로필베타인, 솔비톨, 코카마이드메틸엠이에이, 향료, 소듐클로라이드, 말티톨, 코코-글루코사이드, 카페인, 피피지-3카프릴릴에터, 리모넨, 데실글루코사이드, 소듐살리실레이트, 시트릭애씨드, 세틸알코올, 멘톨, 소이아미도프로필아민옥사이드, 구아하이드록시프로필트라이모늄클로라이드, 글리세린, 마트리카리아꽃수, 카프릴릴글라이콜, 폴리쿼터늄-10, 소듐시트레이트, 카프릴릭/카프릭트라이글리세라이드, 트라이하이드록시스테아린, 다이카프릴릴에터, 폴리쿼터늄-22, 소듐메타포스페이트, 프로판다이올, 변성알코올, 소듐벤조에이트, 에틸헥실글리세린, 글리세릴스테아레이트, 부틸렌글라이콜, 테트라소듐이디티에이, 측백나무씨추출물, 1,2-헥산다이올, 인삼뿌리세포추출물, 데하이드로아세틱애씨드, 에탄올, 검정콩추출물, 석류추출물, 라벤더오일, 동백나무씨오일, 녹차씨오일, 콩폴리펩타이드, 인삼전초추출물, 로즈마리잎오일, 베르가모트오일, 국화추출물, 생강추출물, 덱스트린, 사이클로덱스트린, 다마스크장미꽃추출물, 병풀꽃/잎/줄기추출물, 하이드록시프로필사이클로덱스트린, 검정콩오일, 다이소듐이디티에이, 바위손추출물, 토코페롤, 알지닌, 세라마이드엔피, 로즈힙꽃오일, 라임전초오일, 라즈베리씨오일, 크랜베리씨오일, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62979
댄트롤 비듬샴푸 박하/멘톨/애플 820ml,"7,450원",40%,4.8,820 ml,"정제수, 소듐라우레스설페이트, 암모늄라우릴설페이트, 향료, 다이메티콘, 소듐클로라이드, 소듐벤조에이트, 페녹시에탄올, 멘톨, 클림바졸, 라우릭애씨드, 세틸알코올, 구아하이드록시프로필트라이모늄클로라이드, 코카마이드엠이에이, 소듐살리실레이트, 시트릭애씨드, 트라이하이드록시스테아린, 해수, 다이프로필렌글라이콜, 소듐시트레이트, 테트라소듐이디티에이, 다이소듐이디티에이, 맥아추출물, 라우레스-23, 라우레스-3, 리모넨, 판테놀, 씨솔트(100 ppm), 프로판다이올, 카보머, 1,2-헥산다이올, 부틸렌글라이콜, 락틱애씨드, 에틸헥실글리세린, 콘민트추출물(0.2 ppm)*, 에탄올*박하추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56099
루트젠 남성 맞춤 탈모증상전문케어 샴푸 515ml,"19,900원",13%,4.8,515ml,"정제수, 코카미도프로필베타인, 포타슘코코일글리시네이트, 라우릴하이드록시설테인, 카프릴릴/카프릴글루코사이드, 소듐C14-16올레핀설포네이트, 소듐클로라이드, 향료, 다이소듐라우레스설포석시네이트, 멘톨, 카페인, 소듐살리실레이트, 폴리쿼터늄-22, 시트릭애씨드, 세틸알코올, 카프릴릴글라이콜, 카프릴릭/카프릭트라이글리세라이드, 트라이하이드록시스테아린, 클림바졸, 소듐벤조에이트, 해수, 다이프로필렌글라이콜, 소듐시트레이트, 소듐메타포스페이트, 다이카프릴릴에터, 부틸렌글라이콜, 에틸헥실글리세린, 글리세릴스테아레이트, 구아하이드록시프로필트라이모늄클로라이드, 콘민트잎추출물, 테트라소듐이디티에이, 글리세린, 측백나무씨추출물, 프로판다이올, 에탄올, 인삼뿌리세포추출물, 1,2-헥산다이올, 황금추출물, 데하이드로아세틱애씨드, 효모/보리씨발효여과물, 씨솔트, 동백나무씨오일, 페퍼민트오일, 티트리잎오일, 살리실릭애씨드, 녹차씨오일, 유칼립투스잎오일, 인삼전초추출물, 산수유열매추출물, 생강추출물, 하벌레아 로도펜시스잎추출물, 검정콩오일, 토코페롤, 세라마이드엔피, 다이소듐이디티에이, 피토스핑고신, 하이드로제네이티드레시틴, 호프추출물, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57537
진생보 두피모발영양 샴푸/컨디셔너 400ml,"9,900원",41%,4.7,400ml,"정제수, 소듐라우레스설페이트, 암모늄라우릴설페이트, 다이메티콘, 향료, 소듐벤조에이트, 라우릭애씨드, 세틸알코올, 코카마이드엠이에이, 구아하이드록시프로필트라이모늄클로라이드, 페녹시에탄올, 소듐살리실레이트, 소듐클로라이드, 트라이하이드록시스테아린, 아모다이메티콘, 멘톨, 맥아추출물, 마이크로크리스탈린셀룰로오스, 옥수수전분, 리날룰, 인삼추출물, 다이-C12-13알킬말레이트, 소듐시트레이트, 만니톨, 시트릭애씨드, 다이소듐이디티에이, 헥실신남알, 시트로넬올, 유제놀, 폴리쿼터늄-11, 코카미도프로필베타인, C12-15파레스-3, 하이드로제네이티드레시틴, 스테아트라이모늄클로라이드, 부틸렌글라이콜, 에탄올, 살리실릭애씨드, 소듐하이드록사이드, 락틱애씨드, 생강추출물, 카프릴릴글라이콜, 영지버섯추출물, 에틸헥실글리세린, 동백나무씨오일, 사이클로덱스트린, 황금추출물, 아스퍼질러스발효물, 칡뿌리추출물, 천당삼추출물, 도둑놈의지팡이뿌리추출물, 당잔대뿌리추출물, 스크로폴라리아 노도사추출물, 변성알코올",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19678
