상품명,가격,할인율,평점,용량,전성분,URL
솔리드 퍼퓸 디스커버리 3종 키트 (5mlx3),"9,000원",50%,4.8,5ml*3,"[샌달우드] 사이클로펜타실록세인, 향료, 사이클로헥사실록세인, 다이메티콘크로스폴리머, 글리세릴베헤네이트, 1,2-헥산다이올, 카프릴릴글라이콜, 에틸헥실글리세린, 리모넨, 제라니올, 파네솔, 리날룰, 트라이에틸시트레이트, 정제수, 부틸렌글라이콜, 로부르참나무목부추출물, 편백잎추출물 [블랙티] 사이클로펜타실록세인, 향료, 사이클로헥사실록세인, 다이메티콘크로스폴리머, 글리세릴베헤네이트, 헥실신남알, 1,2-헥산다이올, 리날룰, 시트로넬올, 리모넨, 카프릴릴글라이콜, 에틸헥실글리세린, 제라니올, 시트랄, 유제놀, 아이소유제놀, 파네솔, 트라이에틸시트레이트, 정제수, 부틸렌글라이콜, 로부르참나무목부추출물, 편백잎추출물 [바질] 사이클로펜타실록세인, 향료, 사이클로헥사실록세인, 다이메티콘크로스폴리머, 리모넨, 글리세릴베헤네이트, 리날룰, 하이드록시시트로넬알, 1,2-헥산다이올, 알파-아이소메틸아이오논, 시트랄, 시트로넬올, 카프릴릴글라이콜, 에틸헥실글리세린, 쿠마린, 제라니올, 트라이에틸시트레이트, 정제수, 부틸렌글라이콜, 로부르참나무목부추출물, 편백잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65621
NEW 헤어 오일 (샌달우드/블랙티앤피그) 40ml,"21,000원",12%,4.8,40ml,"다이메티콘, 세틸에틸헥사노에이트, 다이카프릴릴에터, C12-15알킬벤조에이트, 다이메티콘올, 아미노프로필다이메티콘, 향료 (샌달우드향 1.0 %), 리모넨, 토코페롤, 아르간커넬오일, 코코넛야자오일, 살구씨오일, 올리브오일, 호호바씨오일, 비자나무씨오일, 마룰라씨오일, 카프릴릭/카프릭트라이글리세라이드, 트라이에틸시트레이트, 퀸즈랜드넛오일, 생강오일, 로부르참나무목부추출물, 로즈힙꽃오일, 라벤더오일, 라임전초오일, 라즈베리씨오일, 크랜베리씨오일, 정제수, 세라마이드엔피, 콩폴리펩타이드, 캐모마일꽃수, 부틸렌글라이콜, 소나무잎추출물, 하이드롤라이즈드옥수수전분, 프로판다이올, 글라이신, 알라닌, 알지닌, 아스파틱애씨드, 라이신, 프롤린, 세린, 트레오닌, 잔탄검, 글루타믹애씨드, 하이드롤라이즈드식물성단백질, 에틸헥실글리세린, 소듐메타포스페이트, 1,2-헥산다이올, 편백잎추출물, 히스티딘, 페닐알라닌, 타이로신, 류신, 발린, 메티오닌, 아이소류신, 다시마추출물, 시스틴, 트립토판, 귀리펩타이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62833
샴푸 (샌달우드/블랙티앤피그/바질앤베티버) 300ml,"21,000원",12%,4.8,300ml,"정제수, 소듐C14-16올레핀설포네이트, 솔비톨, 라우릴하이드록시설테인, 향료(샌달우드향 2.2%), 다이소듐라우레스설포석시네이트, 코카미도프로필베타인, 코코-글루코사이드, 코카마이드메틸엠이에이, 변성알코올, 카페인, 폴리쿼터늄-10, 소듐살리실레이트, 소듐클로라이드, 소듐시트레이트, 시트릭애씨드, 피피지-3카프릴릴에터, 테트라소듐이디티에이, 부틸렌글라이콜, 리날룰, 소듐벤조에이트, 리모넨, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 글리세린, 에탄올, 폴리쿼터늄-11, 녹차추출물, 동백나무씨오일, 프로판다이올, 동백나무잎추출물, 편백잎추출물, 콩폴리펩타이드, 동백나무꽃추출물, 트라이에틸시트레이트, 포타슘클로라이드, 글라이코리피드, 오렌지추출물, 자몽추출물, 베르가모트추출물, 탄제린추출물, 아스코빅애씨드, 녹차씨추출물, 락틱애씨드, 검정콩오일, 로부르참나무목부추출, 세라마이드엔피, 피토스핑고신, 로즈마리잎추출물, 하이드로제네이티드레시틴, 카놀라오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52104
샌달우드 인텐시브 3종 트라이얼 키트,"5,000원",53%,4.8,30ml+30ml+15ml,"샴푸 정제수, 소듐C14-16올레핀설포네이트, 솔비톨, 라우릴하이드록시설테인, 향료(샌달우드향 2.2%), 다이소듐라우레스설포석시네이트, 코카미도프로필베타인, 변성알코올, 코카마이드메틸엠이에이, 소듐클로라이드, 말티톨, 코코-글루코사이드, 카페인, 폴리쿼터늄-10, 데실글루코사이드, 소듐살리실레이트, 소듐시트레이트, 피피지-3카프릴릴에터, 시트릭애씨드, 소듐메타포스페이트, 글리세린, 부틸렌글라이콜, 캐모마일꽃수, 소듐벤조에이트, 하이드롤라이즈드옥수수전분, 카프릴릴글라이콜, 소나무잎추출물, 프로판다이올, 1,2-헥산다이올, 에탄올, 폴리쿼터늄-11, 녹차추출물, 커먼자스민꽃추출물, 하이드롤라이즈드식물성단백질, 잔탄검, 편백잎추출물, 콩폴리펩타이드, 에틸헥실글리세린, 다시마추출물, 귀리펩타이드, 알지닌, 세린, 글루타믹애씨드, 트레오닌, 류신, 프롤린, 아스파틱애씨드, 아이소류신, 글라이신, 페닐알라닌, 알라닌, 타이로신, 라이신, 히스티딘, 포타슘클로라이드, 발린, 동백나무씨오일, 검정콩오일, 세라마이드엔피, 피토스핑고신, 로즈마리잎추출물, 메티오닌, 하이드로제네이티드레시틴, 카놀라오일, 시스틴, 트립토판 / 트리트먼트 정제수, 다이메티콘, 부틸렌글라이콜, 다이프로필렌글라이콜, 스테아릴알코올, 베헨트라이모늄메토설페이트, 세틸알코올, 향료(샌달우드향 2.2%), 아모다이메티콘, 카페인, 다이메티콘올, 트라이메틸실록시실리케이트, 다마스크장미꽃추출물, 폴리프로필실세스퀴옥세인, 아미노프로필다이메티콘, 프로판다이올, 카프릴릴메티콘, 1,2-헥산다이올, 에틸헥실글리세린, 소듐메타포스페이트, 시트릭애씨드, 캐모마일꽃수, 하이드롤라이즈드식물성단백질, 스테아트라이모늄클로라이드, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 검정콩추출물, 락틱애씨드, 소듐벤조에이트, 비자나무씨오일, 트라이에틸시트레이트, 글리세린, 동백나무씨오일, 세라마이드엔피, 편백잎추출물, 콩폴리펩타이드, 토코페롤, 다시마추출물, 로부르참나무목부추출물, 귀리펩타이드, 알지닌, 세린, 글루타믹애씨드, 트레오닌, 류신, 프롤린, 아스파틱애씨드, 아이소류신, 글라이신, 피토스핑고신, 하이드로제네이티드레시틴, 페닐알라닌, 알라닌, 타이로신, 라이신, 히스티딘, 잔탄검, 발린, 메티오닌, 시스틴, 트립토판 / 헤어오일 다이메티콘, 세틸에틸헥사노에이트, 다이카프릴릴에터, C12-15알킬벤조에이트, 다이메티콘올, 아미노프로필다이메티콘, 향료 (샌달우드향 1.0 %), 리모넨, 토코페롤, 아르간커넬오일, 코코넛야자오일, 살구씨오일, 올리브오일, 호호바씨오일, 비자나무씨오일, 마룰라씨오일, 카프릴릭/카프릭트라이글리세라이드, 트라이에틸시트레이트, 퀸즈랜드넛오일, 생강오일, 로부르참나무목부추출물, 로즈힙꽃오일, 라벤더오일, 라임전초오일, 라즈베리씨오일, 크랜베리씨오일, 정제수, 세라마이드엔피, 콩폴리펩타이드, 캐모마일꽃수, 부틸렌글라이콜, 소나무잎추출물, 하이드롤라이즈드옥수수전분, 프로판다이올, 글라이신, 알라닌, 알지닌, 아스파틱애씨드, 라이신, 프롤린, 세린, 트레오닌, 잔탄검, 글루타믹애씨드, 하이드롤라이즈드식물성단백질, 에틸헥실글리세린, 소듐메타포스페이트, 1,2-헥산다이올, 편백잎추출물, 히스티딘, 페닐알라닌, 타이로신, 류신, 발린, 메티오닌, 아이소류신, 다시마추출물, 시스틴, 트립토판, 귀리펩타이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52110
핸드크림 (샌달우드/블랙티앤피그) 50ml,"12,600원",30%,4.8,50ml,"정제수, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 시어버터, 글리세릴스테아레이트시트레이트, 나이아신아마이드, 세테아릴알코올, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 향료 (샌달우드향 0.5%), 판테놀, 하이드록시프로필스타치포스페이트, 글리세릴카프릴레이트, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 프로판다이올, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 녹차씨추출물, 자일리톨, 트라이에틸시트레이트, 세라마이드엔피, 삼나무잎추출물, 동백나무잎추출물, 녹나무잎추출물, 피토스핑고신, 하이드로제네이티드레시틴, 편백잎추출물, 토코페롤, 동백나무꽃추출물, 로부르참나무목부추출물, 동백나무씨오일, 검정콩오일, 은행나무잎추출물, 녹차추출물, 오렌지추출물, 자몽추출물, 베르가모트추출물, 탄제린추출물, 아스코빅애씨드, 락틱애씨드, 로즈마리잎추출물, 시트릭애씨드, 카놀라오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54275
바디로션 (샌달우드/블랙티앤피그) 200ml,"21,000원",12%,4.8,200ml,"정제수, 글리세린, 부틸렌글라이콜, 하이드로제네이티드쌀겨오일, 사이클로펜타실록세인, 나이아신아마이드, 하이드로제네이티드폴리(C6-14올레핀), 사이클로헥사실록세인, 다이메티콘, 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 향료 (샌달우드향 0.8%), 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 판테놀, C14-22알코올, 아라키딜알코올, 스테아릭애씨드, 글리세릴스테아레이트, 팔미틱애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 폴리솔베이트60, 아데노신, 프로판다이올, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 글루코오스, 녹차씨추출물, 미리스틱애씨드, 아라키딕애씨드, 자일리톨, 세라마이드엔피, 삼나무잎추출물, 동백나무잎추출물, 녹나무잎추출물, 피토스핑고신, 하이드로제네이티드레시틴, 편백잎추출물, 트라이에틸시트레이트, 토코페롤, 동백나무꽃추출물, 동백나무씨오일, 검정콩오일, 은행나무잎추출물, 로부르참나무목부추출물, 녹차추출물, 오렌지추출물, 자몽추출물, 베르가모트추출물, 탄제린추출물, 아스코빅애씨드, 락틱애씨드, 로즈마리잎추출물, 시트릭애씨드, 카놀라오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54274
바디워시 (샌달우드/블랙티앤피그/바질앤베티버) 300ml,"21,000원",12%,4.8,300ml,"정제수, 코코넛야자오일, 라우릴하이드록시설테인, 소듐C14-16올레핀설포네이트, 포타슘하이드록사이드, 향료(샌달우드향 2.2%), 프로판다이올, 변성알코올, 부틸렌글라이콜, 글리세린, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 자일리톨, 삼나무잎추출물, 녹나무잎추출물, 편백잎추출물, 트라이에틸시트레이트, 동백나무씨오일, 녹차씨추출물, 검정콩오일, 세라마이드엔피, 은행나무잎추출물, 로부르참나무목부추출물, 피토스핑고신, 하이드로제네이티드레시틴, 로즈마리잎추출물, 카놀라오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54273
NEW 솔리드 퍼퓸 (샌달우드/블랙티앤피그/바질앤베티버) 30ml,"32,000원",11%,4.8,30ml,"다이메티콘, 향료, 다이메티콘크로스폴리머, 글리세릴베헤네이트, 1,2-헥산다이올, 실리카다이메틸실릴레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 리모넨, 제라니올, 리날룰, 파네솔, 시트랄, 트라이에틸시트레이트, 정제수, 부틸렌글라이콜, 로부르참나무목부추출물, 편백잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64580
NEW 트리트먼트 (샌달우드/블랙티앤피그) 200ml,"21,000원",12%,4.8,200ml,"정제수, 다이메티콘, 부틸렌글라이콜, 다이프로필렌글라이콜, 스테아릴알코올, 베헨트라이모늄메토설페이트, 세틸알코올, 향료(샌달우드향 2.2%), 아모다이메티콘, 카페인, 다이메티콘올, 트라이메틸실록시실리케이트, 다마스크장미꽃추출물, 폴리프로필실세스퀴옥세인, 아미노프로필다이메티콘, 프로판다이올, 카프릴릴메티콘, 1,2-헥산다이올, 에틸헥실글리세린, 소듐메타포스페이트, 시트릭애씨드, 캐모마일꽃수, 하이드롤라이즈드식물성단백질, 스테아트라이모늄클로라이드, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 검정콩추출물, 락틱애씨드, 소듐벤조에이트, 비자나무씨오일, 트라이에틸시트레이트, 글리세린, 동백나무씨오일, 세라마이드엔피, 편백잎추출물, 콩폴리펩타이드, 토코페롤, 다시마추출물, 로부르참나무목부추출물, 귀리펩타이드, 알지닌, 세린, 글루타믹애씨드, 트레오닌, 류신, 프롤린, 아스파틱애씨드, 아이소류신, 글라이신, 피토스핑고신, 하이드로제네이티드레시틴, 페닐알라닌, 알라닌, 타이로신, 라이신, 히스티딘, 잔탄검, 발린, 메티오닌, 시스틴, 트립토판",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62834
코어본딩 헤어마스크 (샌달우드/블랙티앤피그) 200ml,"24,000원",,5.0,200ml,"정제수, 솔비톨, 다이프로필렌글라이콜, 다이메티콘, 세틸알코올, 스테아릴알코올, 베헨트라이모늄클로라이드, 향료(샌달우드향 2.5%), 말티톨, 폴리비닐알코올, 하이드로제네이티드폴리아이소부텐, 카페인, 부틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린, 소듐글루코네이트, 캐모마일꽃수, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 글리세린, 글루코사민에이치씨엘, 말레익애씨드, 프로판다이올, 알지닌, 메틸글루카민, 1,2-헥산다이올, 커먼자스민꽃추출물, 동백나무씨오일, 아르간커넬오일, 포도씨오일, 하이드롤라이즈드식물성단백질, 세라마이드엔피, 다마스크장미꽃추출물, 잔탄검, 피토스핑고신, 편백잎추출물, 하이드로제네이티드레시틴, 콩폴리펩타이드, 마카다미아씨오일, 토코페롤, 소듐하이알루로네이트, 다시마추출물, 소듐메타포스페이트, 귀리펩타이드, 세린, 글루타믹애씨드, 트레오닌, 류신, 프롤린, 아스파틱애씨드, 아이소류신, 글라이신, 하이드롤라이즈드하이알루로닉애씨드, 페닐알라닌, 알라닌, 타이로신, 라이신, 소듐하이알루로네이트크로스폴리머, 히스티딘, 하이알루로닉애씨드, 발린, 소듐아세틸레이티드하이알루로네이트, 메티오닌, 시스틴, 트립토판",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67636
