상품명,가격,할인율,평점,용량,전성분,URL
BEST 플로라 글로우 로즈 리퀴드 마스크 80ml,"19,500원",35%,4.8,80ml,"정제수, 부틸렌글라이콜, 글루코노락톤, 글리세린, 다이프로필렌글라이콜, 프로판다이올, 트로메타민, 판테놀, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 폴리솔베이트80, 에틸헥실글리세린, 소듐메타포스페이트, 덱스트린, 카카오추출물, 다마스크장미꽃추출물(120 ppm), 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드식물성단백질(100 ppm), 프로필렌글라이콜, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60774
프로바이오틱스 세라마이드 앰플 마스크팩 23ml,"2,000원",20%,4.8,23ml,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 프로판다이올, 부틸렌글라이콜, 세테아릴올리베이트, 솔비탄올리베이트, 카보머, 트로메타민, 덱스트린, 락토바실러스발효물(600 ppm), 에틸헥실글리세린, 아데노신, 하이드록시에틸셀룰로오스, 향료, 잔탄검, 다이소듐이디티에이, 소듐하이알루로네이트, 라피노오스, 무궁화나무껍질추출물(30 ppm), 카프릴릭/카프릭트라이글리세라이드, 락토바실러스발효용해물(10 ppm), 수크로오스, 하이드로제네이티드레시틴, 하이드롤라이즈드콜라겐, 피토스테릴/옥틸도데실라우로일글루타메이트, 병풀꽃/잎/줄기추출물, 토코페롤, 세라마이드엔피(0.5 ppm), 로즈힙열매추출물, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 인돌아세틱애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60863
BEST 어메이징 딥 민트 클렌징밤 90ml,"15,000원",44%,4.8,90ml,"세틸에틸헥사노에이트, 아이소프로필팔미테이트, 피이지-20글리세릴트라이아이소스테아레 이트, 카프릴릭/카프릭트라이글리세라이드, 트라이에틸헥사노인, 피이지-8아이소스테아레이트, 해바 라기씨오일, 합성왁스, C9-12알케인, 정제수, 향료, 코코-카프릴레이트/카프레이트, 살리실릭애씨드, 시트릭애씨드, 글루코노락톤, 리모넨, 프로판다이올, 헥실신남알, 에탄올, 리날룰, 1,2-헥산다이올, 클로 로필린-카퍼컴플렉스, 약모밀추출물, 비니거(10ppm), 고추추출물, 병풀꽃/잎/줄기추출물, 에틸헥실 글리세린, 베타-카로틴, 다이소듐이디티에이, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60197
프로바이오틱스 세라마이드 2종 세트,"29,300원",41%,4.8,[본품] 스킨 소프너 200ml / [본품] 에멀전 150ml + [증정] 스킨 소프너 25ml / [증정] 에멀전 25ml,"[스킨 소프너] 정제수, 글리세린, 다이프로필렌글라이콜, 프로판다이올, 1,2-헥산다이올, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 하이드로 제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 덱스트린, 폴리쿼터늄-51, 트로메타민, 락토바실러스발효물, 에틸헥실 글리세린, 향료, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이소듐이디티에이, 아데노신, 소듐하이알루로네이트, 세라마이드엔피 (111.2 ppm), 라피노오스, 소듐스테아로일글루타메이트, 무궁화나무껍질추출물, 하이드록시프로필비스라우라마이드엠이에이(10 ppm), 하이드록 시프로필비스팔미타마이드엠이에이(10 ppm), 락토바실러스발효용해물(10 ppm), 동백나무씨오일, 녹차씨추출물, 검정콩오일, 토코페롤, 피토스 핑고신, 카놀라오일, 로즈마리잎추출물 / [에멀전] 정제수, 부틸렌글라이콜, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리아이소부텐, 펜타에리스리틸테트 라아이소스테아레이트, 하이드로제네이티드폴리(C6-14올레핀), 비스-하이드록시에톡시프로필다이메티콘, 글리세릴스테아레이트시트레이트, 메틸트라이메티콘, 1,2-헥산다이올, 글리세릴스테아레이트, 세테아릴알코올, 하이드로제네이티드식물성오일, 피씨에이다이메티콘, 스테아릭애 씨드, 글리세릴폴리메타크릴레이트, 팔미틱애씨드, 카보머, 트로메타민, 잔탄검, 글리세릴카프릴레이트, 덱스트린, 향료, 락토바실러스발효물, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 라피노오스, 세라마이드엔피(21.2 ppm), 무궁화나무껍질추출물, 하이드록시프로필비스라우라 마이드엠이에이(10 ppm), 하이드록시프로필비스팔미타마이드엠이에이(10 ppm), 락토바실러스발효용해물(10 ppm), 토코페롤, 동백나무씨오일, 녹차씨추출물, 검정콩오일, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63633
에이지 컨트롤 카멜리아 앰플 마스크팩 23ml,"2,000원",20%,4.8,23ml,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 부틸렌글라이콜, 프로판다이올, 세테아릴올리베이트, 솔비탄올리베이트, 카보머, 트로메타민, 베타인, 에틸헥실글리세린, 아데노신(400ppm), 하이드록시에틸셀룰로오스, 잔탄검, 소듐하이알루로네이트, 다이소듐이디티에이, 향료, 글리세릴카프릴레이트, 동백나무꽃추출물(98ppm), 하이드롤라이즈드식물성단백질, 글루타티온(10ppm), 동백나무씨오일(10ppm), 콩폴리펩타이드, 카퍼트라이펩타이드-1, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62813
에이지 컨트롤 카멜리아 크림 50ml,"31,500원",34%,4.9,50ml,"정제수, 부틸렌글라이콜, 글리세린, 세틸에틸헥사노에이트, 하이드로제네이티드폴리아이소부텐, 1,2-헥산다이올, 세테아릴알코올, 메틸트라이메티콘, C14-22알코올, 시어버터, 스테아릭애씨드, 글리세릴폴리메타크릴레이트, 글리세릴스테아레이트, 팔미틱애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 아라키딜알코올, C12-20알킬글루코사이드, 동백나무씨오일(2000ppm), 소듐스테아로일글루타메이트, 향료, 스쿠알란, 베헤닐알코올, 글리세릴카프릴레이트, 아라키딜글루코사이드, 베타인, 카르노신(700ppm), 에틸헥실글리세린, 다이소듐이디티에이, 아데노신, 솔비탄아이소스테아레이트, 폴리솔베이트60, 하이드롤라이즈드식물성단백질, 엑토인, 동백나무꽃추출물(98ppm), 잔탄검, 덱스트린, 카카오추출물, 글루코오스, 글루타티온(10ppm), 콩폴리펩타이드, 카퍼트라이펩타이드-1, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62812
어메이징 딥 민트 클렌징 티슈 70매,"10,000원",37%,4.8,300g/70매,"정제수, 변성알코올, 부틸렌글라이콜, 1,2-헥산다이올, 피이지-6카프릴릭/카프릭글리세라이즈, 카프릴릴/카프릴글루코사이드, 피이지-8, 폴리솔베이트80, 향료, 에틸헥실글리세린, 피이지-60하이드로제네이티드캐스터오일, 소듐메타포스페이트, 글루코노락톤, 프로판다이올, 리모넨, 비니거(10ppm), 다이소듐이디티에이, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61605
프로바이오틱스 세라마이드 에멀젼 150ml,"16,900원",35%,4.8,150ml,"정제수, 부틸렌글라이콜, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리아이소부텐, 펜타에리스리틸테트라아이소스테아레이트, 하이드로제네이티드폴리(C6-14올레핀), 비스-하이드록시에톡시프로필다이메티콘, 글리세릴스테아레이트시트레이트, 메틸트라이메티콘, 1,2-헥산다이올, 글리세릴스테아레이트, 세테아릴알코올, 하이드로제네이티드식물성오일, 피씨에이다이메티콘, 스테아릭애씨드, 글리세릴폴리메타크릴레이트, 팔미틱애씨드, 카보머, 트로메타민, 잔탄검, 글리세릴카프릴레이트, 덱스트린, 향료, 락토바실러스발효물, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 라피노오스, 세라마이드엔피(21.2 ppm), 무궁화나무껍질추출물, 하이드록시프로필비스라우라마이드엠이에이(10 ppm), 하이드록시프로필비스팔미타마이드엠이에이(10 ppm), 락토바실러스발효용해물(10 ppm), 토코페롤, 동백나무씨오일, 녹차씨추출물, 검정콩오일, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60887
프로바이오틱스 세라마이드 인텐스 크림 60ml,"22,900원",36%,4.9,60ml,"정제수, 부틸렌글라이콜, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 세틸에틸헥사노에이트, 스쿠알란, 비스-하이드록시에톡시프로필다이메티콘, 베헤닐알코올, 하이드록시프로필비스팔미타마이드엠이에이(16,000 ppm), C14-22알코올, 하이드록시프로필비스라우라마이드엠이에이(14,000 ppm), 스테아릭애씨드, 1,2-헥산다이올, 아라키딜알코올, 팔미틱애씨드, 콜레스테롤, C12-20알킬글루코사이드, 아라키딜글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 트로메타민, 향료, 글리세릴카프릴레이트, 덱스트린, 락토바실러스발효물, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 라피노오스, 만니톨, 글루코오스, 미리스틱애씨드, 아라키딕애씨드, 세라마이드엔피(21.2 ppm), 무궁화나무껍질추출물, 락토바실러스발효용해물(10 ppm), 토코페롤, 동백나무씨오일, 녹차씨추출물, 검정콩오일, 프로판다이올, 피토스핑고신, 하이드로제네이티드레시틴, 아세틸테트라펩타이드-11, 병풀꽃/잎/줄기추출물, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60888
플로라 글로우 로즈 워터 토너 500ml 500ml,"15,900원",36%,4.8,500ml,"다마스크장미꽃수(90%), 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 에틸헥실글리세린, 정제수, 카보머, 소듐메타포스페이트, 트로메타민, 알란토인, 향료, 하이드롤라이즈드식물성단백질, 토코페롤, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64188
