상품명,가격,할인율,평점,용량,전성분,URL
그린프로폴리스 치약 100g*3,"7,450원",50%,4.8,100g*3,"[유효성분]녹차추출액, 덴탈타입실리카, 센텔라정량추출물, 일불소인산나트륨, 피로인산나트륨 [기타첨가제]글리세린, 라우릴황산나트륨, 사카린나트륨, 셀룰로오스검, 소르비톨액(비결정성), 수크랄로스, 시트르산, 시트르산나트륨, 알로에추출물(2), L-멘톨, 자일리톨, 정제수, 치자황색소, 프로폴리스추출물*부틸렌글리콜, 향료 (*프로폴리스추출물:그린프로폴리스 사용)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57073
이지클린 센서티브 칫솔 4입,"3,450원",50%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60711
소금의 명작 치약 (120gx3입),"5,950원",45%,4.8,120g*3입,"[유효성분] 덴탈타입실리카, 염화나트륨, 일불소인산나트륨 / [기타 첨가제] 글리세린, 라우릴황산나트륨, 셀룰로오스검, 소르비톨액(비결정성), 정제수, 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65573
후레쉬 치약 3입  120g*3,"4,900원",44%,4.8,120g*3,"[유효성분] 덴탈타입실리카, 일불소인산나트륨 [기타 첨가제] 글리세린, 라우릴황산나트륨, 사카린나트륨, 셀룰로오스검, 소르비톨액(비결정성), 자일리톨, 정제수, 치자청색소, 탄산수소나트륨, 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60497
잇몸과학 치약 3입  (120g x3),"6,950원",50%,4.8,120g*3입,"[유효성분]녹차추출액, 일불소인산나트륨, 질산칼륨, 탄산칼슘 [기타첨가제]글리세린, 라우릴황산나트륨, L-멘톨, 사카린나트륨, 셀룰로오스검, 소르비톨액, 알긴산나트륨, 알로에추출물(2), 옥수수불검화정량추출물, 은행잎추출물, 정제수, 칼슘포스페이트하이드록사이드, 토코페롤아세테이트, 프로폴리스추출물*부틸렌글리콜, 함수규산(점증용), 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=26562
NEW 치석케어칫솔 4입,"6,450원",50%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57084
대나무숯 담은 칫솔 미세모 4입,"4,950원",50%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47911
듀얼이펙션 칫솔 4입 미세모,"3,950원",50%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55386
닥터메디안 멀티케어 치약 (120gx3입),"4,900원",,4.9,120g*3입,"[유효성분] 일불소인산나트륨, 탄산칼슘 / [기타첨가제] 글리세린, 라우릴황산나트륨, 사카린나트륨, 셀룰로오스검, L-멘톨, 정제수, 폴리옥시에틸렌경화피마자유, 함수규산(점증용), 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62799
송천염 치약 (120g*3),"5,950원",39%,4.8,더 보기,더 보기,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50064
젠티스트 치약 핑크 2입 (100gx2),"13,900원",29%,4.8,100g*2입,"[유효성분] 녹차추출액, 일불소인산나트륨, 질산칼륨, 탄산칼슘 [기타첨가제] DL-사과산, L-멘톨, 글리세린, 라우릴황산나트륨, 사카린나트륨, 석류추출물/부틸렌글리콜, 센텔라정량추출물, 셀룰로오스검, 소르비톨액(비결정성), 아르기닌, 알긴산나트륨, 알로에추출물(2), 약용탄, 에리스리톨, 자일리톨, 잔탄검, 정제수, 치자적색소, 칼슘포스페이트하이드록사이드, 프로폴리스추출물*부틸렌글리콜, 함수규산(점증용), 향료, 히드로라이즈드콜라겐액(4)/부틸렌글리콜, 히알루론산",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60893
구취과학 치약 프리징쿨 3입  120g*3,"7,900원",43%,4.8,120g*3입,"[유효성분]녹차추출액, 덴탈타입실리카, 일불소인산나트륨, 피로인산나트륨 [기타첨가제]글리세린, 라우릴황산나트륨, 사카린나트륨, 셀룰로오스검, 소르비톨액, 수크랄로스, 실리카, 약용탄, 에리스리톨, 유산균발효액*부틸렌글리콜혼합액, 정제수, 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47960
그래핀 칫솔 4+1입,"7,450원",24%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63220
녹차의 명작 치약 (120gx3입),"5,950원",45%,4.7,120g*3입,"[유효성분] 녹차추출액, 일불소인산나트륨, 함수이산화규소 / [기타 첨가제] 글리세린, 라우릴황산나트륨, 사카린 나트륨, 셀룰로오스검, 소르비톨액(비결정성), 정제수, 함수규산(점증용), 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65574
미백과학 치약 플럼민트향 (1입/100g),"4,200원",40%,4.8,100g,"[유효성분] 과산화수소수(35%), 콜로이드성이산화규소 / [기타첨가제] 글리세린, 녹차추출액, 소듐라우릴설페이트, 소듐스타네이트, 수크랄로스, 아세설팜칼륨, 알로에추출물(2), 인산, 정제수, 폴리에틸렌글리콜 1500, 1-하이드록시에탄-1,1-디포스포닉애씨드액, 향료, 히드록시에틸셀룰로오스",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62292
닥터메디안 칫솔 5+5입,"4,900원",28%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65572
365DAYS step3 충치 불소 어린이 펌핑 치약 300g,"13,900원",26%,4.9,300g,"[유효성분] 덴탈타입실리카, 일불소인산나트륨 [기타첨가제] 글리세린, 녹차추출액, 사카린나트륨, 셀룰로오스검, 소듐엔-라우로일-엘-글루타메이트, 시클로덱스트린시럽, 아르기닌, 알긴산나트륨, 정제수, 코코알킬디메틸글리신액, 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61799
플렉스 이펙션 칫솔 4입,"4,950원",50%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54982
키즈 365DAYS step3 칫솔 12입,"13,900원",26%,4.9,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=27182
잇몸과학 칫솔 4입,"6,950원",50%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47913
골드와이드 칫솔 10입,"8,900원",35%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47962
365DAYS 고밀도 초극세모 딥클린 칫솔 16입,"13,900원",26%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61800
성인용 365DAYS 칫솔 12입,"13,900원",26%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57431
소금의 명작 칫솔 4입,"5,950원",45%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65576
그린프로폴리스 잇몸케어 칫솔 4+1입,"7,450원",50%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57279
키즈 365DAYS step3 칫솔 6입,"6,950원",26%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65571
키즈 365DAYS step2 칫솔 12입,"13,900원",26%,4.9,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47906
송천염 미세모 칫솔 4입,"4,950원",50%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54981
젠티스트 치약 핑크 100g,"7,900원",20%,4.8,100g,"[유효성분] 녹차추출액, 일불소인산나트륨, 질산칼륨, 탄산칼슘 [기타첨가제] DL-사과산, L-멘톨, 글리세린, 라우릴황산나트륨, 사카린나트륨, 석류추출물/부틸렌글리콜, 센텔라정량추출물, 셀룰로오스검, 소르비톨액(비결정성), 아르기닌, 알긴산나트륨, 알로에추출물(2), 약용탄, 에리스리톨, 자일리톨, 잔탄검, 정제수, 치자적색소, 칼슘포스페이트하이드록사이드, 프로폴리스추출물*부틸렌글리콜, 함수규산(점증용), 향료, 히드로라이즈드콜라겐액(4)/부틸렌글리콜, 히알루론산",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56469
녹차의 명작 칫솔 4입,"5,950원",45%,4.6,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65575
젠티스트 치약 핑크 4입+쇼핑백 증정 (100gx4),"27,800원",29%,5.0,100g*4입,"[유효성분] 녹차추출액, 일불소인산나트륨, 질산칼륨, 탄산칼슘 [기타첨가제] DL-사과산, L-멘톨, 글리세린, 라우릴황산나트륨, 사카린나트륨, 석류추출물/부틸렌글리콜, 센텔라정량추출물, 셀룰로오스검, 소르비톨액(비결정성), 아르기닌, 알긴산나트륨, 알로에추출물(2), 약용탄, 에리스리톨, 자일리톨, 잔탄검, 정제수, 치자적색소, 칼슘포스페이트하이드록사이드, 프로폴리스추출물*부틸렌글리콜, 함수규산(점증용), 향료, 히드로라이즈드콜라겐액(4)/부틸렌글리콜, 히알루론산",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67032
치석케어 치약 오리지널/구취/화이트/잇몸 (120g x3),"6,450원",50%,4.8,120g*3,"[유효성분] 녹차추출액, 덴탈타입실리카,일불소인산나트륨, 피로인산나트륨 [기타 첨가제] I-멘톨,사카린나트륨, 산화티탄, 셀룰로오스검, 소듐라우릴설페이트, 소르비톨액(비결정성), 수크랄로스, 정제수, 제올라이트*실리카, 중질탄산칼슘, 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21522
