상품명,가격,할인율,평점,용량,전성분,URL
올뉴 쉽고 빠른 거품 염색 80g,"10,900원",31%,4.8,더 보기,더 보기,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61090
퍼펙트 세럼 80ml,"8,900원",40%,4.7,80ml,"사이클로펜타실록세인, 다이메티콘올, 다이실록세인, C12-15알킬벤조에이트, 향료, 아르간커넬오일, 호호바씨오일, 코코넛야자오일, 리모넨, 살구씨오일, 올리브오일, 마룰라씨오일, 동백나무씨오일, 코코-카프릴레이트/카프레이트, 리날룰, 시트로넬올, 카프릴릭/카프릭트라이글리세라이드, 제라니올, 고추추출물, 베타-카로틴, 토코페롤, 글라이코리피드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20510
파워 스윙 왁스 9 80g,"7,900원",21%,4.8,80g,"정제수, 마이크로크리스탈린왁스, 다이프로필렌글라이콜, 글리세릴스테아레이트, 솔비탄세스퀴올리에이트, 칸데릴라왁스, 1,2-헥산다이올, 세테아릴알코올, 폴리솔베이트60, 하이드로제네이티드폴리아이소부텐, 에틸올리베이트, 폴리아크릴레이트-13, 글리세린, 세테아레스-30,소듐벤조에이트, 말티톨, 카보머, 향료, 폴리아이소부텐, 트로메타민, 솔비톨, 부틸렌글라이콜, 카프릴릴글라이콜, 비즈왁스, 에틸헥실글리세린, 카올린, 폴리솔베이트20, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 숯가루,올리브나무잎추출물,리모넨, 토코페롤, 리날룰,헥실신남알, 생강추출물,검정콩추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=24739
NEW 헬로크림 더블커버 (컬러&새치 겸용) 120g,"11,900원",25%,4.8,120 g,"1제: 미네랄오일, 정제수, 피이지-8, 암모늄하이드록사이드, 스테아레스-21, 스테아릴알코올, 글리세릴스테아레이트, P-페닐렌디아민, 베헤닐알코올, 세틸에스터, 레조시놀, 세트리모늄클로라이드, 폴리쿼터늄-6, 염산2,4-디아미노페녹시에탄올, M-아미노페놀, 소듐설파이트, 에리소빅애씨드, 향료, 트로메타민, 트라이소듐에이치이디티에이, 프로판다이올, 리모넨, 리날룰, 헥실신남알, 아르간커넬오일, 호호바씨오일, 부틸렌글라이콜, 검정콩추출물, 1,2-헥산다이올, 녹차추출물, 에틸헥실글리세린, 다이소듐이디티에이, 하이드롤라이즈드콜라겐 / 2제: 정제수, 세테아릴알코올, 하이드로젠퍼옥사이드, 스테아레스-21, 글라이콜다이스테아레이트, 세테아레스-30, 소듐스타네이트, 포스포릭애씨드, 소듐포스페이트, 소듐라우릴설페이트, 에티드로닉애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65011
헤어앤스칼프 부스터 샴푸 800g,"4,900원",16%,4.8,800g,"정제수, 소듐라우레스설페이트, 암모늄라우릴설페이트, 코카미도프로필베타인, 향료, 소듐벤조에이트, 라우릭애씨드, 세틸알코올, 코카마이드엠이에이, 소듐살리실레이트, 시트릭애씨드, 페녹시에탄올, 소듐클로라이드, 트라이하이드록시스테아린, 구아하이드록시프로필트라이모늄클로라이드, 다이메티콘, 소듐시트레이트, 다이소듐이디티에이, 리모넨, 라우레스-23, 라우레스-3, 카보머, 부틸렌글라이콜, 아르간커넬오일, 다마스크장미꽃추출물, 1,2-헥산다이올, 바이오틴, 락틱애씨드, 덱스트린, 인삼추출물, 에틸헥실글리세린, 변성알코올",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62827
살롱10 단백질 에센스 팩 (손상/극손상) 990ml,"19,900원",9%,4.8,990ml,"정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 다이메티콘, 세틸알코올, 스테아릴알코올, 베헨트라이모늄메토설페이트, 향료, 다이메티콘올, 아모다이메티콘, 트라이메틸실록시실리케이트, 폴리프로필실세스퀴옥세인, 카프릴릴메티콘, 리날룰, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 제라니올, 하이드롤라이즈드식물성단백질(200 ppm), 1,2-헥산다이올, 스테아트라이모늄클로라이드, 다마스크장미꽃추출물, 락틱애씨드, 만니톨, 소듐벤조에이트, 알지닌, 세린, 수크로오스, 피씨에이, 시트룰린, 덱스트린, 글라이코젠, 히스티딘에이치씨엘, 알라닌, 트레오닌, 인삼추출물, 글루타믹애씨드, 라이신에이치씨엘, 하이드롤라이즈드콜라겐, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47884
컬링 에센스 2X 내추럴/볼륨 150ml,"6,500원",35%,4.7,150ml,"정제수, 다이프로필렌글라이콜, 사이클로펜타실록세인, 세테아릴알코올, 브이피/메타크릴아마이드/비닐이미다졸코폴리머, 에탄올, 글리세린, 코코-카프릴레이트/카프레이트, 다이카프릴릴카보네이트, 폴리솔베이트60, 솔비탄세스퀴올리에이트, 다이메티콘올, 글리세릴스테아레이트, 피이지-100스테아레이트, 카보머, 트로메타민, 카프릴릴글라이콜, 향료, 브이피/브이에이코폴리머, 에틸헥실글리세린, 리날룰, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 제라니올, 시트로넬올, 헥실신남알, 벤질살리실레이트, 석류추출물, 1,2-헥산다이올, 스쿠알란, 아르간커넬오일, 살구씨오일, 프로판다이올, 토코페롤, 소듐하이알루로네이트, 동백나무잎추출물, 테트라소듐이디티에이, 동백나무꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 피씨에이, 락틱애씨드, 글루코오스, 하이알루로닉애씨드, 글라이신, 우레아, 소듐글리세로포스페이트, 세린, 글루타믹애씨드, 포타슘마그네슘아스파테이트, 아스파틱애씨드, 류신, 소듐클로라이드, 알라닌, 라이신, 알지닌, 칼슘글루코네이트, 마그네슘글루코네이트, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 시트릭애씨드, 소듐아세틸레이티드하이알루로네이트, 히스티딘, 아세틸글루코사민, 시스테인, 크레아틴, 우릭애씨드, 메티오닌",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=18633
퍼펙트 오리지널 세럼 샴푸 680ml,"8,900원",40%,4.8,680ml,"정제수, 소듐라우레스설페이트, 글리세린, 코카미도프로필베타인, 라우레스-6카복실릭애씨드, 향료, 소듐클로라이드, 폴리쿼터늄-10, 피이지-60하이드로제네이티드캐스터오일, 다이메티콘올, 피피지-7, 소듐라우로일사코시네이트, 티이에이-도데실벤젠설포네이트, 소듐벤조에이트, 페녹시에탄올, 소듐시트레이트, 소듐살리실레이트, 시트릭애씨드, 테트라소듐이디티에이, 에틸헥실글리세린, 리모넨, 다이소듐이디티에이, 리날룰, 아르간커넬오일, 호호바씨오일, 코코넛야자오일, 토코페롤, 살구씨오일, 올리브오일, 동백나무씨오일, 마룰라씨오일, 코코-카프릴레이트/카프레이트, 카프릴릴글라이콜, 변성알코올, 피이지-150펜타에리스리틸테트라스테아레이트, 피피지-2하이드록시에틸코카마이드, 글라이코리피드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19505
살롱10 단백질 샴푸 (손상/극손상) 990ml,"19,900원",9%,4.8,990ml,"정제수, 소듐라우레스설페이트, 코카미도프로필베타인, 다이소듐라우레스설포석시네이트, 다이메티콘올, 코코-글루코사이드, 향료, 소듐클로라이드, 하이드록시프로필구아하이드록시프로필트라이모늄클로라이드, 페녹시에탄올, 소듐벤조에이트, 라우릭애씨드, 세틸알코올, 코카마이드엠이에이, 피이지-60하이드로제네이티드캐스터오일, 카프릴릭/카프릭트라이글리세라이드, 아모다이메티콘, 라우레스-2, 트라이하이드록시스테아린, 시트릭애씨드, 멘톨, 폴리쿼터늄-10, 소듐살리실레이트, 소듐시트레이트, 피피지-7, 티이에이-도데실벤젠설포네이트, 리날룰, 부틸렌글라이콜, 테트라소듐이디티에이, 리모넨, 제라니올, 하이드롤라이즈드식물성단백질(210 ppm), 1,2-헥산다이올, 다이소듐이디티에이, 다마스크장미꽃추출물, 스테아트라이모늄클로라이드, 만니톨, 알지닌, 세린, 락틱애씨드, 수크로오스, 피씨에이, 시트룰린, 덱스트린, 에틸헥실글리세린, 글라이코젠, 히스티딘에이치씨엘, 알라닌, 트레오닌, 인삼추출물, 글루타믹애씨드, 라이신에이치씨엘, 하이드롤라이즈드콜라겐, 변성알코올, 피이지-150펜타에리스리틸테트라스테아레이트, 피피지-2하이드록시에틸코카마이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47883
퍼펙트 베이스업 에센스 200ml,"8,900원",40%,4.8,200ml,"정제수, 다이프로필렌글라이콜, 세틸에틸헥사노에이트, 세틸알코올, 다이카프릴릴카보네이트, 다이메티콘, 세테아릴알코올, 스테아라미도프로필다이메틸아민, 향료, 세틸에스터, 다이메티콘올, 락틱애씨드, 부틸렌글라이콜, 다마스크장미꽃수, 에틸헥실글리세린, 다이소듐이디티에이, 폴리쿼터늄-51, 리모넨, 리날룰, 1,2-헥산다이올, 시트로넬올, 제라니올, 당잔대뿌리추출물, 하이드록시시트로넬알, 긴병꽃풀추출물, 왜광대수염꽃추출물, 토코페롤, 퉁퉁마디추출물, 아르간커넬오일, 인동덩굴꽃추출물, 호호바씨오일, 코코넛야자오일, 수국잎추출물, 살구씨오일, 올리브오일, 동백나무씨오일, 마룰라씨오일, 코코-카프릴레이트/카프레이트, 글라이코리피드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=27143
