상품명,가격,할인율,평점,용량,전성분,URL
웨이크업 생기 립밤 3g,"10,450원",18%,4.8,3 g,"[공통-보습] 스쿠알란, 하이드로제네이티드캐스터오일다이머다이리놀레에이트, 다이아이소스테아릴말레이트, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-2트라이아이소스테아레이트, 합성왁스, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 비스-다이글리세릴폴리아실아디페이트-2, 펜타에리스리틸테트라아이소스테아레이트, 하이드로제네이티드폴리아이소부텐, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 마이크로크리스탈린왁스, 합성플루오르플로고파이트, 시어버터, 페녹시에탄올, 토코페롤, 아르간커넬오일, 에틸렌/프로필렌코폴리머, 피마자씨오일, 호호바씨오일, 에틸헥실팔미테이트, 페퍼민트오일, 실리카, 리모넨, 트라이하이드록시스테아린, 소듐하이알루로네이트 [코어: 01 Lively] 스쿠알란, 하이드로제네이티드캐스터오일다이머다이리놀레에이트, 다이아이소스테아릴말레이트, 합성왁스, 폴리글리세릴-2트라이아이소스테아레이트, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 비스-다이글리세릴폴리아실아디페이트-2, 펜타에리스리틸테트라아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리아이소부텐, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 마이크로크리스탈린왁스, 합성플루오르플로고파이트, 시어버터, 스테아랄코늄헥토라이트, 적색산화철, 적색202호, 페녹시에탄올, 토코페롤, 아르간커넬오일, 에틸렌/프로필렌코폴리머, 피마자씨오일, 프로필렌카보네이트, 호호바씨오일, 에틸헥실팔미테이트, 페퍼민트오일, 적색201호, 실리카, 리모넨, 트라이하이드록시스테아린, 소듐하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=29001
트루톤 로션 (하이드로/에어리) 40ml,"27,200원",15%,4.8,40ml,"정제수, 호모살레이트, 글리세린, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실살리실레이트, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), C12-15알킬벤조에이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 다이아이소프로필세바케이트, 테레프탈릴리덴디캠퍼설포닉애씨드, 1,2-헥산다이올, 포타슘세틸포스페이트, 세테아릴알코올, 트로메타민, 글리세릴스테아레이트, 황색산화철, 베헤닐알코올, 트라이메틸실록시실리케이트, 폴리아크릴레이트크로스폴리머-6, 잔탄검, 소듐폴리아크릴로일다이메틸타우레이트, 마이카, 적색산화철, 하이드로제네이티드레시틴, 카프릴릴글라이콜, 폴리C10-30알킬아크릴레이트, 글리세릴운데실다이메티콘, 에틸헥실글리세린, 알루미늄하이드록사이드, 폴리에스터-1, 향료, 스테아릭애씨드, 실리카다이메틸실릴레이트, 트라이에톡시카프릴릴실레인, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 다이소듐이디티에이, 아데노신, 흑색산화철, 에탄올, 마트리카리아꽃추출물, 미리스틱애씨드, 시트릭애씨드, 프로판다이올, 락틱애씨드, 글라이콜릭애씨드, 라우릭애씨드, 말라카이트추출물, 소듐하이알루로네이트, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66573
블루 수분 선크림 1+1 기획세트 SPF50+PA++++ (50ml+50ml),"21,250원",15%,4.9,50ml+50ml,"정제수, 부틸렌글라이콜, 호모살레이트, 에칠헥실살리실레이트, 변성알코올, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 디에칠아미노하이드록시벤조일헥실벤조에이트, 실리카, 세틸에틸헥사노에이트, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 트로메타민, 메틸트라이메티콘, 다이아이소프로필세바케이트, 세테아릴알코올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 포타슘세틸포스페이트, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, 하이드로제네이티드레시틴, 향료, 에틸헥실글리세린, 스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 티타늄디옥사이드 (CI 77891), 마이카, 징크옥사이드, 에탄올, 인디고잎추출물, 마트리카리아꽃추출물, 미리스틱애씨드, 프로판다이올, 라우릭애씨드, 말라카이트추출물, 소듐하이알루로네이트, 틴옥사이드, 토코페롤, 소듐라우로일글루타메이트, 하이드롤라이즈드하이알루로닉애씨드, 라이신, 소듐하이알루로네이트크로스폴리머, 마그네슘클로라이드, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65559
블루 파운데이션 SPF27/PA++ 35ml,"22,040원",24%,4.9,35ml,"정제수, 메틸트라이메티콘, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 아이소도데케인, 다이페닐실록시페닐트라이메티콘, 사이클로펜타실록세인, 글리세린, 변성알코올, 라우릴피이지-8다이메티콘, 부틸렌글라이콜, 글리세레스-26, 실리카, 나일론-12, 다이페닐다이메티콘/비닐다이페닐다이메티콘/실세스퀴옥세인크로스폴리머, 황색산화철, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 다이스테아다이모늄헥토라이트, 카프릴릴메티콘, 아크릴레이트/다이메티콘코폴리머, 1,2-헥산다이올, 피이지-10다이메티콘, 폴리메틸실세스퀴옥세인, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 카프릴릭/카프릭트라이글리세라이드, 다이메티콘, 알루미늄하이드록사이드, 트라이하이드록시스테아린, 소듐클로라이드, 피토스테릴/옥틸도데실라우로일글루타메이트, 트라이에톡시카프릴릴실레인, 적색산화철, 카프릴릴글라이콜, 향료, 프로필렌카보네이트, 흑색산화철, 글리세릴카프릴레이트, 폴리실리콘-11, 다이소듐이디티에이, 쌀겨왁스, 징크옥사이드, 에탄올, 비에이치티, 마트리카리아꽃추출물, 프로판다이올, 말라카이트추출물, 소듐하이알루로네이트, 토코페롤, 키토산, 소듐라우로일글루타메이트, 하이드롤라이즈드하이알루로닉애씨드, 라이신, 소듐하이알루로네이트크로스폴리머, 마그네슘클로라이드, 하이알루로닉애씨드, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트, 리파아제",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56132
블루쿠션 SPF34/PA++ 15g,"19,920원",20%,4.9,15g,"정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 실리카, 사이클로헥사실록세인, 피이지-10다이메티콘, 트라이메틸실록시실리케이트, 마이카, 변성알코올, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-8다이메티콘, 아이소도데케인, 다이스테아다이모늄헥토라이트, 다이메티콘, 보론나이트라이드, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 황색산화철, 1,2-헥산다이올, 소듐클로라이드, 피씨에이다이메티콘, 아크릴레이트/다이메티콘코폴리머, 알루미늄하이드록사이드, 트라이하이드록시스테아린, 폴리솔베이트80, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 적색산화철, 스테아릭애씨드, 하이드로제네이티드레시틴, 라우로일라이신, 향료, 에틸헥실글리세린, 흑색산화철, 다이소듐이디티에이, 에탄올, 비에이치티, 마트리카리아꽃추출물, 프로판다이올, 말라카이트추출물, 소듐하이알루로네이트, 토코페롤, 소듐라우로일글루타메이트, 하이드롤라이즈드하이알루로닉애씨드, 라이신, 소듐하이알루로네이트크로스폴리머, 마그네슘클로라이드, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63934
무드업 듀얼 아이섀도우 브러쉬,"8,000원",20%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=35006
블루쿠션 SPF34/PA++ 15g,"25,000원",24%,4.9,15g,"정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 실리카, 사이클로헥사실록세인, 피이지-10다이메티콘, 트라이메틸실록시실리케이트, 마이카, 변성알코올, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-8다이메티콘, 아이소도데케인, 다이스테아다이모늄헥토라이트, 다이메티콘, 보론나이트라이드, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 황색산화철, 1,2-헥산다이올, 소듐클로라이드, 피씨에이다이메티콘, 아크릴레이트/다이메티콘코폴리머, 알루미늄하이드록사이드, 트라이하이드록시스테아린, 폴리솔베이트80, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 적색산화철, 스테아릭애씨드, 하이드로제네이티드레시틴, 라우로일라이신, 향료, 에틸헥실글리세린, 흑색산화철, 다이소듐이디티에이, 에탄올, 비에이치티, 마트리카리아꽃추출물, 프로판다이올, 말라카이트추출물, 소듐하이알루로네이트, 토코페롤, 소듐라우로일글루타메이트, 하이드롤라이즈드하이알루로닉애씨드, 라이신, 소듐하이알루로네이트크로스폴리머, 마그네슘클로라이드, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62820
시카페인 트러블리셋 세럼 40ml,"26,600원",30%,4.7,40ml,"편백수, 정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 베타인, 변성알코올, 나이아신아마이드, 스쿠알란, 카페인, 다이에톡시에틸석시네이트, 1,2-헥산다이올, 수크로오스스테아레이트, 소듐폴리아크릴로일다이메틸타우레이트, 글리세릴폴리메타크릴레이트, 폴리글리세릴-10스테아레이트, 폴리메틸메타크릴레이트, 메틸트라이메티콘, 하이드로제네이티드레시틴, 하이드로제네이티드포스파티딜콜린, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 티몰트라이메톡시신나메이트, 카보머, 트로메타민, 잔탄검, 글루코노락톤, 소듐시트레이트, 다이소듐이디티에이, 말라카이트추출물, 잇꽃꽃추출물, 덱스트린, 시트릭애씨드, 피토스테롤, 알지닌, 사이클로덱스트린, 하이드록시프로필사이클로덱스트린, 말토덱스트린, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60517
블루 수분 선크림 SPF50+/PA++++ 50ml,"20,000원",20%,4.8,50ml,"정제수, 부틸렌글라이콜, 호모살레이트, 에칠헥실살리실레이트, 변성알코올, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 디에칠아미노하이드록시벤조일헥실벤조에이트, 실리카, 세틸에틸헥사노에이트, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 트로메타민, 메틸트라이메티콘, 다이아이소프로필세바케이트, 세테아릴알코올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 포타슘세틸포스페이트, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, 하이드로제네이티드레시틴, 향료, 에틸헥실글리세린, 스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 티타늄디옥사이드 (CI 77891), 마이카, 징크옥사이드, 에탄올, 인디고잎추출물, 마트리카리아꽃추출물, 미리스틱애씨드, 프로판다이올, 라우릭애씨드, 말라카이트추출물, 소듐하이알루로네이트, 틴옥사이드, 토코페롤, 소듐라우로일글루타메이트, 하이드롤라이즈드하이알루로닉애씨드, 라이신, 소듐하이알루로네이트크로스폴리머, 마그네슘클로라이드, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57466
프라이드업 아이브로우(다크브라운) 0.6G,"12,900원",,0.6,0.6 g,"[펜슬] 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈, 하이드로제네이티드식물성오일, 징크스테아레이트, 스테아릭애씨드, 카나우바왁스, 폴리글리세릴-2트라이아이소스테아레이트, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 아스코빌팔미테이트, 헥실렌글라이콜, 마이카, 흑색산화철, 황색산화철, 적색산화철 / [파우더] 탤크, 옥틸도데실스테아로일스테아레이트, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 옥틸도데칸올, 다이메티콘, 페녹시에탄올, 마그네슘미리스테이트, 호호바씨오일, 카프릴릴글라이콜, 비사보롤, 헥실렌글라이콜, 마이카, 흑색산화철, 황색산화철, 적색산화철",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=32460
