상품명,가격,할인율,평점,용량,전성분,URL
자음2종 세트 (150ml+125ml),"135,000원",10%,4.9,자음수 150ml / 자음유액 125ml,"[자음수] 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 베타인, 글리세린, 트레할로오스, 피이지/피피지-17/6코폴리머, 글리세레스-26, 피이지-60하이드로제네이티드캐스터오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 에틸헥실글리세린, 대추추출물, 비스-피이지-18메틸에터다이메틸실레인, 카르노신, 황금추출물, 프로판다이올, 알란토인, 향료, 소듐메타포스페이트, 리모넨, 구기자추출물, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 칡뿌리추출물, 바이오사카라이드검-1, 펜틸렌글라이콜, 글루타티온, 뽕나무잎추출물, 지황뿌리추출물, 리날룰, 매실나무꽃추출물, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 연꽃추출물, 참나리비늘줄기추출물, 토코페롤, 메톡시피이지-114/폴리엡실론카프로락톤, 하이드롤라이즈드콩추출물, 베타-글루칸, 매실추출물, 참깨추출물, 잣나무씨추출물, 모과추출물, 찔레꽃열매추출물 [자음유액] 정제수, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 옥틸도데실미리스테이트, 글리세린, 세틸에틸헥사노에이트, 메도우폼씨오일, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 트레할로오스, 하이드로제네이티드식물성오일, 1,2-헥산다이올, 세테아릴알코올, 글리세릴스테아레이트, 망고씨버터, 다이메티콘, 팔미틱애씨드, 스테아릭애씨드, 글리세릴스테아레이트시트레이트, 프로판다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 에틸헥실글리세린, 카보머, 대추추출물, 글리세릴카프릴레이트, 카르노신, 황금추출물, 트로메타민, 향료, 메톡시피이지-114/폴리엡실론카프로락톤, 리모넨, 알란토인, 소듐메타포스페이트, 구기자추출물, 매실추출물, 참깨추출물, 잣나무씨추출물, 모과추출물, 찔레꽃열매추출물, 칡뿌리추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 베타-글루칸, 리날룰, 글루타티온, 레시틴, 뽕나무잎추출물, 지황뿌리추출물, 매실나무꽃추출물, 작약뿌리추출물, 시트로넬올, 둥굴레뿌리줄기추출물, 시트랄, 연꽃추출물, 제라니올, 세라마이드엔피, 참나리비늘줄기추출물, 토코페롤, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 티비에이치큐, 하이드롤라이즈드콩추출물, 레스베라트롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63917
순행클렌징폼 200ml,"37,800원",10%,4.9,200ml,"정제수, 포타슘코코일글리시네이트, 다이소듐코코암포다이아세테이트, 코카미도프로필베타인, 아크릴레이트/베헤네스-25메타크릴레이트코폴리머, 피이지-200하이드로제네이티드글리세릴팔메이트, 소듐클로라이드, 펜틸렌글라이콜, 1, 2-헥산다이올, 소듐메틸코코일타우레이트, 카프릴릴/카프릴글루코사이드, 피이지-7글리세릴코코에이트, 아이소스테아릭애씨드, 포타슘하이드록사이드, 향료, 부틸렌글라이콜, 리모넨, 다이소듐이디티에이, 에틸헥실글리세린, 소듐벤조에이트, 테트라소듐이디티에이, 율무씨추출물, 귤껍질추출물, 밤껍질추출물, 리날룰, 개구리밥추출물(부평추출물), 참마뿌리추출물, 덱스트린, 카카오추출물, 라즈베리추출물, 당느릅나무뿌리추출물, 퉁퉁마디추출물, 뽕나무잎추출물, 신선초추출물, 시트릭애씨드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56822
탄력3종 세트 (150ml+125ml+50ml),"193,500원",10%,4.9,자음수 150ml / 자음유액 125ml / 탄력크림 50ml,"[자음수] 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 베타인, 글리세린, 트레할로오스, 피이지/피피지-17/6코폴리머, 글리세레스-26, 피이지-60하이드로제네이티드캐스터오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 에틸헥실글리세린, 대추추출물, 비스-피이지-18메틸에터다이메틸실레인, 카르노신, 황금추출물, 프로판다이올, 알란토인, 향료, 소듐메타포스페이트, 리모넨, 구기자추출물, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 칡뿌리추출물, 바이오사카라이드검-1, 펜틸렌글라이콜, 글루타티온, 뽕나무잎추출물, 지황뿌리추출물, 리날룰, 매실나무꽃추출물, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 연꽃추출물, 참나리비늘줄기추출물, 토코페롤, 메톡시피이지-114/폴리엡실론카프로락톤, 하이드롤라이즈드콩추출물, 베타-글루칸, 매실추출물, 참깨추출물, 잣나무씨추출물, 모과추출물, 찔레꽃열매추출물 [자음유액] 정제수, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 옥틸도데실미리스테이트, 글리세린, 세틸에틸헥사노에이트, 메도우폼씨오일, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 트레할로오스, 하이드로제네이티드식물성오일, 1,2-헥산다이올, 세테아릴알코올, 글리세릴스테아레이트, 망고씨버터, 다이메티콘, 팔미틱애씨드, 스테아릭애씨드, 글리세릴스테아레이트시트레이트, 프로판다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 에틸헥실글리세린, 카보머, 대추추출물, 글리세릴카프릴레이트, 카르노신, 황금추출물, 트로메타민, 향료, 메톡시피이지-114/폴리엡실론카프로락톤, 리모넨, 알란토인, 소듐메타포스페이트, 구기자추출물, 매실추출물, 참깨추출물, 잣나무씨추출물, 모과추출물, 찔레꽃열매추출물, 칡뿌리추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 베타-글루칸, 리날룰, 글루타티온, 레시틴, 뽕나무잎추출물, 지황뿌리추출물, 매실나무꽃추출물, 작약뿌리추출물, 시트로넬올, 둥굴레뿌리줄기추출물, 시트랄, 연꽃추출물, 제라니올, 세라마이드엔피, 참나리비늘줄기추출물, 토코페롤, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 티비에이치큐, 하이드롤라이즈드콩추출물, 레스베라트롤 [탄력크림] 정제수, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 부틸렌글라이콜, 세틸에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 카프릴릴메티콘, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 1,2-헥산다이올, 다이아이소스테아릴말레이트, 다이메티콘, 트레할로오스, 스쿠알란, C9-12알케인, 피이지-100스테아레이트, 세테아릴알코올, 하이드로제네이티드폴리아이소부텐, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아크릴레이트-13, 하이드로제네이티드캐스터오일아이소스테아레이트, 알란토인, 폴리아이소부텐, 향료, 구기자추출물, 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 대추추출물, 글리세릴카프릴레이트, 코코-카프릴레이트/카프레이트, 리모넨, 카르노신, 황금추출물, 칡뿌리추출물, 솔비탄아이소스테아레이트, 풀루란, 에틸헥실글리세린, 아데노신, 폴리솔베이트60, 폴리솔베이트20, 소듐메타포스페이트, 리날룰, 다이메티콘올, 시트로넬올, 덱스트린, 카카오추출물, 뽕나무잎추출물, 시트랄, 지황뿌리추출물, 제라니올, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 연꽃추출물, 벤질벤조에이트, 참나리비늘줄기추출물, 하이드롤라이즈드콩추출물, 토코페롤, 베타-글루칸",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63919
탄력크림 단품세트 75ml,"121,500원",10%,4.9,75ml,"정제수, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 부틸렌글라이콜, 세틸에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 카프릴릴메티콘, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 1,2-헥산다이올, 다이아이소스테아릴말레이트, 다이메티콘, 트레할로오스, 스쿠알란, C9-12알케인, 피이지-100스테아레이트, 세테아릴알코올, 하이드로제네이티드폴리아이소부텐, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아크릴레이트-13, 하이드로제네이티드캐스터오일아이소스테아레이트, 알란토인, 폴리아이소부텐, 향료, 구기자추출물, 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 대추추출물, 글리세릴카프릴레이트, 코코-카프릴레이트/카프레이트, 리모넨, 카르노신, 황금추출물, 칡뿌리추출물, 솔비탄아이소스테아레이트, 풀루란, 에틸헥실글리세린, 아데노신, 폴리솔베이트60, 폴리솔베이트20, 소듐메타포스페이트, 리날룰, 다이메티콘올, 시트로넬올, 덱스트린, 카카오추출물, 뽕나무잎추출물, 시트랄, 지황뿌리추출물, 제라니올, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 연꽃추출물, 벤질벤조에이트, 참나리비늘줄기추출물, 하이드롤라이즈드콩추출물, 토코페롤, 베타-글루칸",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63921
순행클렌징오일 200ml,"42,300원",10%,4.9,200ml,"C12-15알킬벤조에이트, 펜타에리스리틸테트라에틸헥사노에이트, 아이소프로필팔미테이트, 펜타에리스리틸테트라아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 피이지-20글리세릴트라이아이소스테아레이트, 피이지-8아이소스테아레이트, 코코넛야자오일, 덱스트린팔미테이트, 향료, 리모넨, 글리세릴베헤네이트/에이코사디오에이트, 코코-카프릴레이트/카프레이트, 스쿠알란, 리날룰, 정제수, 부틸렌글라이콜, 살구씨오일, 잣나무씨오일, 참깨오일, 동백나무씨오일, 율무씨추출물, 귤껍질추출물, 밤껍질추출물, 개구리밥추출물(부평추출물), 매실나무씨추출물, 연꽃씨추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56898
본윤 데일리 루틴(설화수맨2종) (140ml+90ml),"112,500원",10%,4.9,[본품]: 본윤에센스140ml / 본윤유액90ml,"[본윤에센스] 정제수, 부틸렌글라이콜, 변성알코올, 베타인, 1,2-헥산다이올, 나이아신아마이드, 피이지/피피지-17/6코폴리머, 글리세릴폴리메타크릴레이트, 피이지-60하이드로제네이티드캐스터오일, 비스-피이지-18메틸에터다이메틸실레인, 카보머, 향료, 트로메타민, 프로판다이올, 에틸헥실글리세린, 사카라이드하이드롤리세이트, 아데노신, 리모넨, 다이소듐이디티에이, 리날룰, 메틸트라이메티콘, 페녹시에탄올, 소엽맥문동뿌리추출물, 카라기난, 벤질벤조에이트, 인삼추출물, 가시오갈피뿌리추출물, 황벽나무껍질추출물, 생강뿌리줄기추출물, 황금추출물, 프로필렌글라이콜, 펜틸렌글라이콜, 감초뿌리추출물, 영지버섯추출물, 신나밀알코올, 쌀발효여과물, 낫토검, 하이드로제네이티드레시틴, 토코페롤, 시트릭애씨드 [본윤유액] 정제수, 프로판다이올, 글리세린, 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 펜타에리스리틸테트라에틸헥사노에이트, 베헤닐알코올, 다이메티콘, 부틸렌글라이콜, 1, 2-헥산다이올, 글리세릴스테아레이트, 스테아릭애씨드, 하이드로제네이티드레시틴, 콜레스테롤, 팔미틱애씨드, 합성플루오르플로고파이트, 향료, 티타늄디옥사이드 (CI 77891), 하이드록시프로필비스팔미타마이드엠이에이, 잔탄검, 글리세릴카프릴레이트, 카보머, 트로메타민, 다이소듐이디티에이, 리모넨, 에틸헥실글리세린, 아데노신, 리날룰, 페녹시에탄올, 비타민나무열매추출물, 원추리꽃추출물, 감초뿌리추출물, 소엽맥문동뿌리추출물, 벤질벤조에이트, 인삼추출물, 틴옥사이드, 가시오갈피뿌리추출물, 황벽나무껍질추출물, 생강뿌리줄기추출물, 황금추출물, 미리스틱애씨드, 아라키딕애씨드, 신나밀알코올, 영지버섯추출물, 쌀발효여과물, 시트랄, 제라니올, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56947
탄력크림 단품세트 75ml,"121,500원",10%,4.9,75ml,"정제수, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 부틸렌글라이콜, 세틸에틸헥사노에이트, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 카프릴릴메티콘, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 1,2-헥산다이올, 다이아이소스테아릴말레이트, 다이메티콘, 트레할로오스, 스쿠알란, C9-12알케인, 피이지-100스테아레이트, 세테아릴알코올, 하이드로제네이티드폴리아이소부텐, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아크릴레이트-13, 하이드로제네이티드캐스터오일아이소스테아레이트, 알란토인, 폴리아이소부텐, 향료, 구기자추출물, 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 대추추출물, 글리세릴카프릴레이트, 코코-카프릴레이트/카프레이트, 리모넨, 카르노신, 황금추출물, 칡뿌리추출물, 솔비탄아이소스테아레이트, 풀루란, 에틸헥실글리세린, 아데노신, 폴리솔베이트60, 폴리솔베이트20, 소듐메타포스페이트, 리날룰, 다이메티콘올, 시트로넬올, 덱스트린, 카카오추출물, 뽕나무잎추출물, 시트랄, 지황뿌리추출물, 제라니올, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 연꽃추출물, 벤질벤조에이트, 참나리비늘줄기추출물, 하이드롤라이즈드콩추출물, 토코페롤, 베타-글루칸",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65121
자음생2종 세트,"202,500원",10%,4.9,(150ml+125ml),"[자음생수] 정제수, 글리세린, 부틸렌글라이콜, 인삼수, 변성알코올, 1,2-헥산다이올, 글리세릴폴리메타크릴레이트, 나이아신아마이드, 메틸글루세스-20, 피피지-13-데실테트라데세스-24, 비스-피이지-18메틸에터다이메틸실레인, 카보머, 트로메타민, 프로판다이올, 만니톨, 에틸헥실글리세린, 소듐메타포스페이트, 향료, 아데노신, 소듐하이알루로네이트, 잔탄검, 셀룰로오스검, 구기자추출물, 칡뿌리추출물, 리날룰, 소듐클로라이드, 인삼추출물, 베타-글루칸, 하이드롤라이즈드홍삼사포닌, 뽕나무잎추출물, 지황뿌리추출물, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 리모넨, 연꽃추출물, 참나리비늘줄기추출물, 토코페롤, 아세틸테트라펩타이드-11, 카프릴릴글라이콜, 하이드롤라이즈드콩추출물, 아세틸헵타펩타이드-4, 헥사펩타이드-9, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 아세틸옥타펩타이드-3 [자음생유액] 정제수, 부틸렌글라이콜, 인삼수, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 다이메티콘, 1,2-헥산다이올, 시어버터, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 다이메티콘/비닐다이메티콘크로스폴리머, 글리세릴스테아레이트, 카보머, 세테아릴알코올, 글리세릴스테아레이트시트레이트, 하이드로제네이티드식물성오일, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 향료, 스테아릭애씨드, 트로메타민, 메톡시피이지-114/폴리엡실론카프로락톤, 잔탄검, 글리세릴카프릴레이트, 팔미틱애씨드, 에틸헥실글리세린, 소듐메타포스페이트, 아데노신, 하이드롤라이즈드홍삼사포닌, 리날룰, 구기자추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 페녹시에탄올, 세라마이드엔피, 만니톨, 칡뿌리추출물, 소듐클로라이드, 인삼추출물, 리모넨, 뽕나무잎추출물, 지황뿌리추출물, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 연꽃추출물, 참나리비늘줄기추출물, 토코페롤, 카프릴릴글라이콜, 하이드롤라이즈드콩추출물, 아세틸헵타펩타이드-4, 아세틸테트라펩타이드-11, 헥사펩타이드-9, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 아세틸옥타펩타이드-3",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62165
윤조에센스 6세대 단품세트 90ml,"126,000원",10%,4.9,90ml,"정제수, 변성알코올, 부틸렌글라이콜, 베타인, 1,2-헥산다이올, 비스-피이지-18메틸에터다이메틸실레인, 글리세릴폴리메타크릴레이트, 프로판다이올, 카보머, 피피지-13-데실테트라데세스-24, 트로메타민, 글리세릴카프릴레이트, 황금추출물, 에틸헥실글리세린, 향료, 아데노신, 리모넨, 덱스트린, 카카오추출물, 메틸트라이메티콘, 다이소듐이디티에이, 잔탄검, 셀룰로오스검, 카라기난, 꿀, 마데카소사이드, 지황뿌리추출물, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 3-O-에틸아스코빅애씨드, 타우린, 소엽맥문동뿌리추출물, 작약뿌리추출물, 마돈나백합비늘줄기추출물, 리날룰, 둥굴레뿌리줄기추출물, 바이오사카라이드검-1, 프로필렌글라이콜, 인삼추출물, 연꽃추출물, 낫토검, 대추추출물, 호두추출물, 매실추출물, 시트로넬올, 시트랄, 제라니올, 하이드로제네이티드레시틴, 토코페롤, 시트릭애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62214
Sold out,"206,100원",10%,4.9,윤조에센스 60ml / 자음수 150ml / 자음유액 125ml,"[윤조에센스] 정제수, 변성알코올, 부틸렌글라이콜, 베타인, 1,2-헥산다이올, 비스-피이지-18메틸에터다이메틸실레인, 글리세릴폴리메타크릴레이트, 프로판다이올, 카보머, 피피지-13-데실테트라데세스-24, 트로메타민, 글리세릴카프릴레이트, 황금추출물, 에틸헥실글리세린, 향료, 아데노신, 리모넨, 덱스트린, 카카오추출물, 메틸트라이메티콘, 다이소듐이디티에이, 잔탄검, 셀룰로오스검, 카라기난, 꿀, 마데카소사이드, 지황뿌리추출물, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 3-O-에틸아스코빅애씨드, 타우린, 소엽맥문동뿌리추출물, 작약뿌리추출물, 마돈나백합비늘줄기추출물, 리날룰, 둥굴레뿌리줄기추출물, 바이오사카라이드검-1, 프로필렌글라이콜, 인삼추출물, 연꽃추출물, 낫토검, 대추추출물, 호두추출물, 매실추출물, 시트로넬올, 시트랄, 제라니올, 하이드로제네이티드레시틴, 토코페롤, 시트릭애씨드 [자음수] 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 베타인, 글리세린, 트레할로오스, 피이지/피피지-17/6코폴리머, 글리세레스-26, 피이지-60하이드로제네이티드캐스터오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 에틸헥실글리세린, 대추추출물, 비스-피이지-18메틸에터다이메틸실레인, 카르노신, 황금추출물, 프로판다이올, 알란토인, 향료, 소듐메타포스페이트, 리모넨, 구기자추출물, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 칡뿌리추출물, 바이오사카라이드검-1, 펜틸렌글라이콜, 글루타티온, 뽕나무잎추출물, 지황뿌리추출물, 리날룰, 매실나무꽃추출물, 작약뿌리추출물, 둥굴레뿌리줄기추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 연꽃추출물, 참나리비늘줄기추출물, 토코페롤, 메톡시피이지-114/폴리엡실론카프로락톤, 하이드롤라이즈드콩추출물, 베타-글루칸, 매실추출물, 참깨추출물, 잣나무씨추출물, 모과추출물, 찔레꽃열매추출물 [자음유액] 정제수, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 옥틸도데실미리스테이트, 글리세린, 세틸에틸헥사노에이트, 메도우폼씨오일, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 트레할로오스, 하이드로제네이티드식물성오일, 1,2-헥산다이올, 세테아릴알코올, 글리세릴스테아레이트, 망고씨버터, 다이메티콘, 팔미틱애씨드, 스테아릭애씨드, 글리세릴스테아레이트시트레이트, 프로판다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 에틸헥실글리세린, 카보머, 대추추출물, 글리세릴카프릴레이트, 카르노신, 황금추출물, 트로메타민, 향료, 메톡시피이지-114/폴리엡실론카프로락톤, 리모넨, 알란토인, 소듐메타포스페이트, 구기자추출물, 매실추출물, 참깨추출물, 잣나무씨추출물, 모과추출물, 찔레꽃열매추출물, 칡뿌리추출물, 솔비탄아이소스테아레이트, 폴리솔베이트60, 베타-글루칸, 리날룰, 글루타티온, 레시틴, 뽕나무잎추출물, 지황뿌리추출물, 매실나무꽃추출물, 작약뿌리추출물, 시트로넬올, 둥굴레뿌리줄기추출물, 시트랄, 연꽃추출물, 제라니올, 세라마이드엔피, 참나리비늘줄기추출물, 토코페롤, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 티비에이치큐, 하이드롤라이즈드콩추출물, 레스베라트롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63920
