상품명,가격,할인율,평점,용량,전성분,URL
듀얼 코튼 면봉 150매,"2,400원",20%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59332
프리티 눈썹칼 2입,"3,150원",10%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64179
순면 5겹 화장솜 50매 / 120매,"2,570원",4%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59331
그린티 오일 컨트롤 페이퍼 70매,"3,150원",10%,4.9,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64180
토너 아껴주는 1/2 스킨팩 화장솜 400매,"8,400원",20%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59330
물광 메이크업 씨앗 스펀지 2ea,"4,050원",10%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59334
애프터 마스카라 히팅 속눈썹 고데기 (건전지 별도 구매),"25,200원",10%,4.2,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64178
4.7,"5,500원",,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59329
컴팩트 아이래쉬 컬러,"6,800원",20%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64177
아모레베이직 X 벤자민무어 더 에센셜 배쓰밤 2입세트,"13,500원",10%,4.8,150 g x 2개,"소듐바이카보네이트, 시트릭애씨드, 옥수수전분, 향료, 정제수, 올리브오일, 글리세린, 티타늄디옥사이드, 흑색 산화철, 황색산화철, 적색227호, 적색504호, 알루미늄하이드록사이드, 적색산화철, 알파-아이소메틸아이오논, 하이드록시시트로넬알, 리 날룰",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66122
아모레베이직 X 벤자민무어 더 에센셜 세라믹 바디 괄사,"22,500원",10%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66208
프로페셔널 아티스트 브러쉬 8종 키트,"64,000원",20%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67491
Sold out,"20,000원",,4.6,5 g,"카프릴릭/카프릭트라이글리세라이드, 향료, 합성왁스, 폴리글리세릴-2트라이아이소스테아레이트, 피마자씨오일, 해바라기씨오일, 마이크로크리스탈린왁스, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67368
데일리 메이크업 조각 스펀지 20ea / 60ea,"3,140원",4%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59333
