상품명,가격,할인율,평점,용량,전성분,URL
슈퍼바이탈 기초 2종 세트 (150ml+150ml),"87,570원",37%,4.9,[소프너] 150ml [에멀젼] 150ml,"[소프너] 정제수, 부틸렌글라이콜, 글리세레스-26, 글리세린, 변성알코올,나이아신아마이드, 1,2-헥산다이올, 다이메티콘, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 피이지-60하이드로제네이티드캐스터오일, 에탄올, 글리세릴카프릴레이트, 프로판다이올,하이드로제네이티드레시틴, 에틸헥실글리세린, 만니톨, 아데노신,향료, 다이소듐이디티에이, 바이오사카라이드검-1, 펜틸렌글라이콜, 녹차뿌리추출물, 덱스트린, 카카오추출물, 소듐메틸스테아로일타우레이트, 코질메틸렌다이옥시신나메이트, 아세틸테트라펩타이드-11, 토코페롤 [에멀젼] 정제수, 프로판다이올, 하이드로제네이티드폴리아이소부텐, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 다이메티콘, 변성알코올, 다이아이소스테아릴말레이트, 나이아신아마이드, 폴리글리세린-3, 피이지-60글리세릴아이소스테아레이트, 피씨에이다이메티콘, 1,2-헥산다이올, C14-22알코올, 스테아릭애씨드, 글리세릴스테아레이트, 시어버터, 글리세릴스테아레이트시트레이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리실리콘-11, 팔미틱애씨드, 아라키딜알코올, C12-20알킬글루코사이드, 카보머, 글리세릴카프릴레이트, 베헤닐알코올,트로메타민, 아라키딜글루코사이드, 소듐메타포스페이트, 에틸헥실글리세린, 만니톨, 향료, 아데노신, 솔비탄아이소스테아레이트, 폴리솔베이트60, 덱스트린, 카카오추출물, 녹차뿌리추출물, 글루코오스, 코질메틸렌다이옥시신나메이트, 토코페롤, 아세틸테트라펩타이드-11",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21456
비타민C 엑스퍼트25% 토닝앰플 23ml,"34,650원",37%,4.7,23ml,"정제수, 아스코빅애씨드, 프로필렌글라이콜, 프로판다이올, 베타인, 변성알코올, 3-O-에틸아스코빅애씨드, 아이소펜틸다이올, 판테놀, 다이메틸아이소소바이드, 부틸렌글라이콜, 피피지-13-데실테트라데세스-24, 글루코노락톤, 포타슘하이드록사이드, 펜틸렌글라이콜, 글루타티온, 아세틸글루코사민, 소듐메타포스페이트, 향료, 치자추출물, 아스코빌글루코사이드, 아스코빌테트라이소팔미테이트, 잔탄검, 페룰릭애씨드, 리모넨, 덱스트린, 서양톱풀추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57204
바이오 컨디셔닝 에센스 하이드로 인핸싱 마스크 5매,"11,250원",25%,4.8,5매,"효모발효여과물, 프로판다이올, 정제수, 1,2-헥산다이올, 베타인, 나이아신아마이드, 부틸렌글라이콜, 글리세린, 폴리글리세린-3, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 에틸헥실글리세린, 아데노신, 덱스트린, 다이소듐이디티에이, 맥주효모추출물, 소듐파이루베이트, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46025
맨 올데이 퍼펙트 올인원 120ml,"24,700원",35%,4.8,120ml,"정제수, 글리세린, 베타인, 변성알코올, 다이프로필렌글라이콜, 사이클로펜타실록세인, 나이아신아마이드, 1,2-헥산다이올, 실리카, 사이클로헥사실록세인, 세테아릴알코올, 다이메티콘올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, 트로메타민, 향료, 하이드로제네이티드레시틴, 토코페롤, 글리세릴카프릴레이트, 프로판다이올, 스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 에틸헥실글리세린, 멘톡시프로판다이올, 아데노신, 펜틸렌글라이콜, 덱스트린, 다이소듐이디티에이, 페퍼민트추출물, 바이오사카라이드검-1, 맥주효모추출물, 미리스틱애씨드, 라우릭애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19691
슈퍼바이탈 크림 세트 50ml,"91,000원",30%,4.9,50ml,"정제수, 부틸렌글라이콜, 글리세린 , 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리아이소부텐, 코코넛야자오일, 나이아신아마이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 베헤닐알코올, 카프릴릭/ 카프릭/미리스틱/스테아릭트라이글리세라이드,피이지-60글리세릴아이소스테아레이트, 다이메티콘, 글리세릴스테아레이트, 세테아릴알코올, 1, 2-헥산다이올, 폴리아크릴레이트-13, 향료, 폴리아이소부텐, 글리세릴카프릴레이트, 소듐 폴리아크릴레이트, 다이소듐이디티에이, 코질메틸렌다이옥시신나메이트, 에틸헥실글리세린, 만니톨, 폴리솔베이트20, 솔비탄아이소스테아레이트, 잇꽃꽃추출물, 덱스트린, 녹차뿌리추출물, 적색산화철, 토코페롤, 아세틸테트라펩타이드-11",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=22205
바이오 컨디셔닝 에센스 168ml,"39,000원",35%,4.8,168ml,"효모발효여과물, 부틸렌글라이콜, 프로판다이올, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 다이에톡시에틸석시네이트, 소듐파이루베이트, 에틸헥실글리세린, 아데노신, 덱스트린, 다이소듐이디티에이, 맥주효모추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46016
XMD 스템3 스페셜 2종 세트,"66,500원",30%,4.8,[본품] 소프너130ml / 에멀전130ml [증정] 소프너 15ml / 에멀전 15ml / 세럼 5ml,"[소프너] 정제수, 부틸렌글라이콜, 글리세린, 베타인, 나이아신아마이드, 1,2-헥산다이올, 글리세릴폴리메타크릴레이트, 다이메티콘, 프로판다이올, 에탄올, 알란토인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴카프릴레이트, 만니톨, 하이드로제네이티드레시틴, 클로렐라 프로토테코이데스추출물, 에틸헥실글리세린, 아데노신, 소듐메타포스페이트, 하이드롤라이즈드디엔에이, 소듐하이알루로네이트, 하이알루로닉애씨드, 소듐메틸스테아로일타우레이트, 덱스트린, 카카오추출물, 양파추출물, 아세틸테트라펩타이드-11, 토코페롤 [에멀전] 정제수, 부틸렌글라이콜, 글리세린, 하이드로제네이티드폴리아이소부텐, 하이드로제네이티드폴리(C6-14올레핀), 다이아이소스테아릴말레이트, 나이아신아마이드, C14-22알코올, 페닐트라이메티콘, 피씨에이다이메티콘, 1,2-헥산다이올, 비스-하이드록시에톡시프로필다이메티콘, 글리세릴스테아레이트시트레이트, 판테놀, 프로판다이올, 하이드로제네이티드식물성오일, C12-20알킬글루코사이드, 글리세릴스테아레이트, 세테아릴알코올, 알란토인, 카보머, 잔탄검, 글리세릴카프릴레이트, 만니톨, 트로메타민, 클로렐라 프로토테코이데스추출물, 에틸헥실글리세린, 소듐메타포스페이트, 아데노신, 덱스트린, 카카오추출물, 하이드롤라이즈드디엔에이, 하이알루로닉애씨드, 베타-글루칸, 레시틴, 양파추출물, 토코페롤, 아세틸테트라펩타이드-11",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65869
맨 프로 레티놀 올인원 기획세트 120ml,"28,500원",25%,4.8,[본품] 아이오페 맨 프로 레티놀 올인원 120g [증정] 아이오페 맨 프로 레티놀 올인원 30g,"정제수, 부틸렌글라이콜, 다이카프릴릴카보네이트, 글리세린, 메틸트라이메티콘, 나이아신아마이드, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 세테아릴알코올, 글리세릴스테아레이트, 스테아릭애씨드, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 트로메타민, 돌콩오일, 향료, 해바라기씨오일, 실리카, 글리세릴카프릴레이트, 소듐스테아로일글루타메이트, 하이드로제네이티드레시틴, 하이드록시프로필스타치포스페이트, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 당근추출물, 에칠아스코빌에텔, 덱스트린, 레티놀, 리모넨, 솔비탄아이소스테아레이트, 맥주효모추출물, 리날룰, 토코페롤, 미리스틱애씨드, 비에이치티, 아라키딕애씨드, 베타-카로틴, 펜틸렌글라이콜, 라우릭애씨드, 카보머, 아라비아고무나무검, 프로필렌글라이콜알지네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=51660
슈퍼바이탈 아이크림 25ml,"59,500원",30%,4.8,25ml,"정제수, 글리세린, 다이메티콘, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 하이드로제네이티드폴리(C6-14올레핀), 판테놀, 베헤닐알코올, 나이아신아마이드, 하이드로제네이티드식물성오일, 세테아릴알코올, 포타슘세틸포스페이트, 락틱애씨드, 다이팔미토일하이드록시프롤린,폴리C10-30알킬아크릴레이트, 글리세릴스테아레이트, 카나우바왁스, 합성플루오르플로고파이트, 트로메타민, 포타슘하이드록사이드, 소듐폴리아크릴로일다이메틸타우레이트, 폴리아크릴레이트크로스폴리머-6, 티타늄디옥사이드 (CI 77891),살리실릭애씨드, 카보머, 향료, 스쿠알란, 소듐메타포스페이트, 코질메틸렌다이옥시신나메이트, 만니톨, 아데노신, 티몰트라이메톡시신나메이트, 녹차뿌리추출물, 레시틴, 틴옥사이드, 적색산화철, 토코페롤, 아세틸테트라펩타이드-11",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=15999
골든 글로우 페이스 오일 40ml,"31,500원",25%,4.8,40ml,"정제수, 글리세린, 프로판디올, 디프로필렌글라이콜, 에탄올, 폴리글리세린-3, 메칠글루세스-20, 디에톡시에칠석시네이트, 아마인추출물, 황금추출물, 원추리꽃추출물, 권백추출물, 호호바씨오일, 판테놀, 매실추출물, 산자나무열매추출물, 스쿠알란, 아데노신, 연꽃추출물, 카카오추출물, 키토산, 글리세릴폴리메타크릴레이트, 덱스트린, 부틸렌글라이콜, 비스-피이지-18메칠에텔디메칠실란, 에칠헥실글리세린, 옥틸도데세스-16, 잔탄검, 피이지-60하이드로제네이티드캐스터오일, 피이지/피피지-17/6코폴리머, 디소듐이디티에이, 향료, 시트랄, 리날룰, 리모넨",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19777
