"상품명","가격","할인율","평점"
"수면양말 1EA","7,000","","4.8"
"인형 파우치","14,000","","4.9"
"APBADAs스티커 1EA","2,500","","4.7"
"APBADAs X KBP 스트링 파우치","8,000","","4.8"
"APBADAs 아모레까뮈 지비츠","6,000","","5.0"
"APBADAs 돌풍이 마우스패드 1EA","3,500","","4.8"
"APBADAs 아모레까뮈 인형파우치 1EA","14,000","","4.9"
"APBADAs 돌풍이 캐릭터인형 L","17,500","30","4.9"
"앞바다즈 인형키링 8종","15,000","","4.9"
"돌풍이/돌풍E 캐릭터 인형","27,000","","5.0"
"무릎담요","29,000","","4.8"
"APBADAs X KBP 랩탑 파우치 1EA","49,000","","4.7"
"[2입] 무릎담요","40,600","30","5.0"
"APBADAs 돌풍E 캐릭터인형 L","25,000","","5.0"
"APBADAs 인형 키링 아모레까뮈 1EA","15,000","","4.8"
"APBADAs 아모레까뮈 캐릭터인형 1EA","23,000","","5.0"
"캐릭터 지비츠","15,000","","4.9"
"스노우 메이커","19,000","","4.9"
"APBADAs 인형 6종","16,800","20","4.9"
"APBADAs캐릭터실리콘참(8종SET) 8EA","21,000","","4.6"
"APBADAs스마트톡 1EA","13,000","","4.8"
