상품명,가격,할인율,평점,용량,전성분,URL
수분가득 콜라겐 시트 마스크 25ml,"2,130원",14%,4.8,1매/25ml,"정제수, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 에탄올, 글리세린, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 잔탄검, 폴리글리세릴-10미리스테이트, 에틸헥실글리세린, 다이소듐이디티에이, 하이드롤라이즈드루핀단백질, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59901
드로잉 아이 브로우 0.25g,"3,400원",15%,0.2,0.25g,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈, 황색산화철, 마이카, 하이드로제네이티드식물성오일, 적색산화철, 징크스테아레이트, 스테아릭애씨드, 카나우바왁스, 폴리글리세릴-2트라이아이소스테아레이트, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 아스코빌팔미테이트, 헥실렌글라이콜",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53224
진저슈가 립케어 2종 기획세트,"11,780원",38%,4.9,23g + 3.7g,"립마스크 : 폴리부텐, 하이드로제네이티드폴리아이소부텐, 피토스테릴이소스테아릴다이머디리놀리에이트, 다이아이소스테아릴말레이트, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 덱스트린팔미테이트, 시어버터, 마이크로크리스탈린왁스, 폴리에틸렌, 글리세린, 비즈왁스, 토코페릴아세테이트, 칸데릴라왁스, 야자씨버터, 에틸렌/프로필렌/스타이렌코폴리머, 트라이에틸헥사노인, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 오조케라이트, 폴리하이드록시스테아릭애씨드, 리모넨, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 다이스테아다이모늄헥토라이트, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 솔비탄아이소스테아레이트, 향료, 폴리글리세릴-3폴리리시놀리에이트, 데하이드로아세틱애씨드, 부틸렌/에틸렌/스타이렌코폴리머, 리날룰, 트레할로오스, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트, 시트랄, 정제수, 부틸렌글라이콜, 생강추출물, 비에이치티. -립밤스틱 : 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 비스-다이글리세릴폴리아실아디페이트-2, 하이드로제네이티드캐스터오일아이소스테아레이트, 브이피/헥사데센코폴리머, 펜타에리스리틸테트라아이소스테아레이트, 다이아이소스테아릴말레이트, 합성왁스, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 합성플루오르플로고파이트, 야자씨버터, 시어버터, 세레신, 수크로오스테트라스테아레이트트라이아세테이트, 토코페릴아세테이트, 마이크로크리스탈린왁스, 1,2-헥산다이올, 에틸렌/프로필렌코폴리머, 리모넨, 라우로일라이신, 향료, 에틸헥실글리세린, 실리카, 리날룰, 시트랄, 제라니올, 에리스리톨, 정제수, 부틸렌글라이콜, 생강추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67468
왓츠 인 마이 아이즈,"5,400원",10%,4.8,2g,"탤크, 마이카, 티타늄디옥사이드 (CI 77891), 트라이에틸헥사노인, 징크스테아레이트, 합성플루오르플로고파이트, 실리카, 폴리글리세릴-2트라이아이소스테아레이트, 망가니즈바이올렛, 페닐트라이메티콘, 하이드로제네이티드폴리아이소부텐, 카프릴릴글라이콜, 에틸헥실글리세린, 다이메티콘, 트라이에톡시카프릴릴실레인, 울트라마린, 적색226호, 황색산화철, 알루미늄하이드록사이드, 메티콘, 틴옥사이드, 황색4호, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64004
디어 달링 워터젤 틴트,"8,000원",,4.6,5g,"정제수, 글리세린, 글리세릴폴리메타크릴레이트, 프로판다이올, 트레할로오스, 펜틸렌글라이콜, 1,2-헥산다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리아크릴레이트-13, 트로메타민, 적색218호, 폴리아이소부텐, 글리세릴카프릴레이트, 폴리글리세릴-10라우레이트, 황색5호, 향료, 부틸렌글라이콜, 폴리솔베이트20, 솔비탄아이소스테아레이트, 푸니카그라나툼프룻추출물, 페녹시에탄올, 사핀두스트리폴리아투스푸룻추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62614
왓츠 인 마이 아이즈 카페 더블,"6,400원",20%,4.7,1.6g,"[좌] 탤크, 마이카, 티타늄디옥사이드 (CI 77891), 실리카, 헥실라우레이트, 보론나이트라이드, 라우로일라이신, 징크스테아레이트, 다이아이소스테아릴말레이트, 황색산화철, 펜타에리스리틸테트라에틸헥사노에이트, 페닐트라이메티콘, 적색산화철, 다이메티콘, 카프릴릴글라이콜, 에틸헥실글리세린, 트라이에톡시카프릴릴실레인, 흑색산화철, 황색4호, 알루미늄하이드록사이드, 적색226호, 메티콘, 토코페롤 [우] 마이카, 탤크, 티타늄디옥사이드 (CI 77891), 헥실라우레이트, 알루미늄전분옥테닐석시네이트, 다이아이소스테아릴말레이트, 페닐트라이메티콘, 비닐다이메티콘, 합성플루오르플로고파이트, 다이메티콘, 마그네슘미리스테이트, 징크스테아레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 적색산화철, 트라이에톡시카프릴릴실레인, 황색4호, 틴옥사이드, 황색5호, 실리카, 적색202호, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66617
수분가득 콜라겐 딥시트 마스크 37ml,"2,980원",14%,4.8,37ml,"정제수, 하이드롤라이즈드콜라겐(60,056ppm), 다이프로필렌글라이콜, 세틸에틸헥사노에이트, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 글리세레스-26, 폴리글리세릴-3다이스테아레이트, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 부틸렌글라이콜, 트레할로오스, 판테놀, 글리세릴스테아레이트시트레이트, 스페인감초뿌리추출물, 녹차추출물, 생강추출물, 콥티스뿌리추출물, 카보머, 알지닌, 잔탄검, 에틸헥실글리세린, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이소듐이디티에이, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 솔비탄아이소스테아레이트, 세라마이드엔피, 콜레스테롤, 하이드롤라이즈드루핀단백질",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59902
순정 디렉터 수분 선크림 기획세트 SPF50+/PA++++ (50ml+50ml),"15,000원",40%,4.8,50ml*2,"정제수, 다이부틸아디페이트, 프로판다이올, 부틸렌글라이콜, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리글리세릴-3다이스테아레이트, 트로메타민, 1,2-헥산다이올, 펜틸렌글라이콜, 세테아릴알코올, 디에칠아미노하이드록시벤조일헥실벤조에이트, 폴리실리콘-15, 글리세릴스테아레이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 포타슘세틸포스페이트, 메틸프로판다이올, 실리카, 카보머, 병풀추출물, 글리세릴스테아레이트시트레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리에터-1, 다이소듐이디티에이, 바이오사카라이드검-1, 알란토인, 판테놀, 토코페롤, 마데카소사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58930
닥터 마스카라 픽서 포 래쉬 (퍼펙트/슈퍼롱) 6g,"6,400원",20%,4.7,6g,"아이소도데케인, 브이피/에이코신코폴리머, 사이클로펜타실록세인, 트라이메틸실록시실리케이트, 실리카, 다이스테아다이모늄헥토라이트, 합성왁스, 아이소부틸메타크릴레이트/비스-하이드록시프로필다이메티콘아크릴레이트코폴리머, 프로필렌카보네이트, 에틸렌/프로필렌코폴리머, 흑색산화철, 트라이에톡시카프릴릴실레인",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58927
프루프 10 젤 방수 펜슬 0.3 g,"7,200원",10%,0.3,0.3 g,"흑색산화철, 트리메칠실록시실리케이트, 사이클로펜타실록산, 이소도데칸, 폴리에칠렌, 합성왁스, 세레신, 마이카, 합성칸데릴라왁스, 폴리이소부텐, 티타늄디옥사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53287
순정 디렉터 선크림 (톤업 수정/수분/무기자차),"15,000원",40%,4.7,40ml+20ml,"[전성분] 정제수, 다이부틸아디페이트, C12-15알킬벤조에이트, 다이프로필렌글라이콜, 티타늄디옥사이드 (CI 77891), 코코-카프릴레이트/카프레이트, 아이소노닐아이소노나노에이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 나이아신아마이드, 펜틸렌글라이콜, 1,2-헥산다이올, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 에칠헥실트리아존, 글리세린, 폴리실리콘-15, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리하이드록시스테아릭애씨드, 폴리C10-30알킬아크릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 폴리메틸실세스퀴옥세인, 포타슘세틸포스페이트, 트로메타민, 아이소도데케인, 옥틸도데칸올, 알루미늄하이드록사이드, 소듐폴리아크릴로일다이메틸타우레이트, 판테놀, 스테아릭애씨드, 폴리글리세릴-6스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-4아이소스테아레이트, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 아이소프로필티타늄트라이아이소스테아레이트, 하이드록시프로필메틸셀룰로오스스테아록시에터, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 폴리글리세릴-6베헤네이트, 토코페롤, 베헤닐알코올, 잔탄검, 황색산화철 (CI 77492), 적색산화철 (CI 77491)[전성분] 정제수, 소듐코코일이세티오네이트, 글리세린, 하이드록시프로필스타치포스페이트, 소듐메틸코코일타우레이트, 데실글루코사이드, 포타슘코코일글리시네이트, 세테아릴알코올, 글리세릴스테아레이트, 솔비탄올리베이트, 글라이콜다이스테아레이트, 포타슘코코에이트, 카프릴릴글라이콜, 시트릭애씨드, 폴리쿼터늄-67, 글리세릴카프릴레이트, 다이소듐이디티에이, 소듐아세테이트, 소듐클로라이드, 판테놀, 펜틸렌글라이콜, 마데카소사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65684
뽀오얀 미소 발효 립&아이 리무버 250ml (대용량),"12,750원",15%,4.8,250ml,"정제수, 세틸에틸헥사노에이트, C9-12알케인, C18-21알케인, 글리세린, 아이소도데케인, 헥실렌글라이콜, 소듐클로라이드, 코코-카프릴레이트/카프레이트, 카프릴릴/카프릴글루코사이드, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 1,2-헥산다이올, 다이포타슘포스페이트, 소듐메타포스페이트, 에틸헥실글리세린, 부틸렌글라이콜, 포타슘포스페이트, 효모/보리씨발효여과물, 프로판다이올, 쌀겨오일, 모나스커스/쌀발효물, 돌콩지질, 토코페롤, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59263
님프 광채볼류머 투명한 물광 24g,"15,000원",25%,4.6,24g,"하이드로제네이티드폴리데센, 하이드로제네이티드폴리아이소부텐, 피마자씨오일, 에틸렌/프로필렌코폴리머, 에틸헥실올리베이트, 폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 향료, 카프릴릴글라이콜, 다이아이소스테아릴말레이트, 아르간커넬오일, 옥틸도데실스테아로일스테아레이트, 에틸헥실글리세린, 아보카도오일, 티타늄디옥사이드 (CI 77891), 1,2-헥산다이올, 울트라마린, 적색산화철, 하이드롤라이즈드하이알루로닉애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61744
청순거짓 브라우카라 대용량 기획세트 (9g+4.5g),"7,650원",15%,4.5,9g+4.5g,"정제수, 사이클로펜타실록세인, 트라이메틸실록시실리케이트, 아이소도데케인, 탤크, 메틸트라이메티콘, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 피이지-10다이메티콘, 적색산화철, 오조케라이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 황색산화철, 흑색산화철, 부틸렌글라이콜, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 마이카, 티타늄디옥사이드 (CI 77891), 소듐클로라이드, 에틸헥산다이올, 펜틸렌글라이콜, 다이스테아다이모늄헥토라이트, 1,2-헥산다이올, 프로필렌카보네이트, 트라이에톡시카프릴릴실레인, 아이소프로필티타늄트라이아이소스테아레이트, 다이소듐이디티에이, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 알루미늄하이드록사이드, 피이지-2소이아민, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60224
컬 픽스 마스카라 (뷰러증정 기획세트),"13,600원",15%,4.8,"본품 1ea (8g), 뷰러 1ea","아이소도데케인, 트라이메틸실록시실리케이트, 세레신, 덱스트린팔미테이트/에틸헥사노에이트, 탤크, 부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머, 마이크로크리스탈린왁스, 흑색산화철, 다이스테아다이모늄헥토라이트, 폴리프로필실세스퀴옥세인, 프로필렌카보네이트, 하이드로제네이티드폴리아이소부텐, 트라이에톡시카프릴릴실레인, 비에이치티",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61748
블링블링 아이스틱 1.4g,"5,850원",10%,1.4,1.4g,"트라이에틸헥사노인, 합성플루오르플로고파이트, 마이카, 페닐트라이메티콘, 티타늄디옥사이드 (CI 77891), 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 세레신, 스쿠알란, 폴리에틸렌, 비스머스옥시클로라이드, 보론나이트라이드, 나일론-12, 네오펜틸글라이콜다이카프레이트, 카프릴릭/카프릭트라이글리세라이드, 칼슘소듐보로실리케이트, 솔비탄세스퀴올리에이트, 칸데릴라왁스, 카프릴릴글라이콜, 토코페릴아세테이트, 해바라기씨오일, 포도씨오일, 글리세릴카프릴레이트, 페녹시에탄올, 스테아랄코늄헥토라이트, 헥실렌글라이콜, 프로필렌카보네이트, 틴옥사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53248
라인 픽스 브러쉬 라이너 0.5g,"11,200원",20%,0.5,0.5 g,"정제수, 암모늄스타이렌/아크릴레이트코폴리머, 카본블랙, 부틸렌글라이콜, 암모늄아크릴레이트코폴리머, 스타이렌/아크릴레이트코폴리머, 펜틸렌글라이콜, 페녹시에탄올, 1,2-헥산다이올, 카프릴릴글라이콜, 소듐데하이드로아세테이트, 에틸헥실글리세린, 다이소듐이디티에이, 트라이데세스-6포스페이트, 다이프로필렌글라이콜, 바나나추출물, 글리세릴카프릴레이트, 바오밥나무씨추출물, 검정콩추출물, 흑미추출물, 검은깨추출물, 시메티콘",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59634
팡팡 헤어 섀도우 3.5g,"12,800원",20%,3.5,3.5g,"탤크, 마그네슘포타슘플루오로실리케이트, 흑색산화철, 폴리메틸메타크릴레이트, 마이카, 폴리에틸렌, 다이페닐실록시페닐트라이메티콘, 황색산화철, 옥틸도데실스테아로일스테아레이트, 트라이에톡시카프릴릴실레인, 적색산화철, 트라이메틸실록시실리케이트, 다이메티콘, 에틸헥실글리세린, 폴리프로필실세스퀴옥세인, 카프릴릴메티콘, 데하이드로아세틱애씨드, 정제수, 에탄올, 부틸렌글라이콜, 녹차추출물, 덱스트린, 마트리카리아꽃수, 글리세린, 락토바실러스발효물, 토코페롤, 프로판다이올, 동백나무씨오일, 판테놀, 세라마이드엔피, 1,2-헥산다이올, 검정콩추출물, 피토스핑고신, 하이드로제네이티드레시틴, 락토바실러스발효용해물, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56329
픽싱틴트 4g,"8,400원",30%,4.7,4g,"정제수,아이소도데케인,다이메티콘,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,부틸렌글라이콜,다이스테아다이모늄헥토라이트,트라이칼슘포스페이트,다이메티콘/비닐다이메티콘크로스폴리머,솔비탄아이소스테아레이트,라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,다이아이소스테아릴말레이트,다이글리세린,세틸피이지/피피지-10/1다이메티콘,스테아릴다이메티콘,마그네슘설페이트,다이페닐실록시페닐트라이메티콘,1,2-헥산다이올,프로필렌카보네이트,티타늄디옥사이드 (CI 77891),적색202호,폴리글리세릴-3다이아이소스테아레이트,옥타데센,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,황색4호,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,향료,솔비탄올리베이트,실리카다이메틸실릴레이트,적색산화철,황색5호,트라이에톡시카프릴릴실레인,적색104호의(1),솔비탄세스퀴올리에이트,에틸헥실글리세린,청색1호,적색201호,토코페롤,펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53296
진저슈가 립밤스틱 3.7g,"8,000원",,3.7,3.7g,"스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 비스-다이글리세릴폴리아실아디페이트-2, 하이드로제네이티드캐스터오일아이소스테아레이트, 브이피/헥사데센코폴리머, 펜타에리스리틸테트라아이소스테아레이트, 다이아이소스테아릴말레이트, 합성왁스, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 합성플루오르플로고파이트, 야자씨버터, 시어버터, 세레신, 수크로오스테트라스테아레이트트라이아세테이트, 토코페릴아세테이트, 마이크로크리스탈린왁스, 1,2-헥산다이올, 에틸렌/프로필렌코폴리머, 리모넨, 라우로일라이신, 향료, 에틸헥실글리세린, 실리카, 리날룰, 시트랄, 제라니올, 에리스리톨, 정제수, 부틸렌글라이콜, 생강추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55140
진저슈가 에센셜 립밤 15ml,"7,500원",,4.8,15ml,"다이아이소스테아릴말레이트, 폴리부텐, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 피토스테릴이소스테아릴다이머디리놀리에이트, 하이드로제네이티드폴리아이소부텐, 덱스트린팔미테이트/에틸헥사노에이트, 시어버터, 글리세린, 토코페릴아세테이트, 야자씨버터, 트라이에틸헥사노인, 에틸렌/프로필렌/스타이렌코폴리머, 칸데릴라왁스, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 리모넨, 수크로오스테트라스테아레이트트라이아세테이트, 해바라기씨왁스, 오조케라이트, 합성왁스, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 폴리하이드록시스테아릭애씨드, 향료, 다이스테아다이모늄헥토라이트, 레시틴, 솔비탄아이소스테아레이트, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 데하이드로아세틱애씨드, 폴리글리세릴-3폴리리시놀리에이트, 리날룰, 부틸렌/에틸렌/스타이렌코폴리머, 시트랄, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트, 제라니올, 에리스리톨, 정제수, 부틸렌글라이콜, 생강추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55141
