상품명,가격,할인율,평점,용량,전성분,URL
비벨벳 커버쿠션 기획세트 SPF42/PA++ (본품 13g + 리필 13g),"28,000원",30%,4.8,본품 13g + 리필 13g,"정제수, 티타늄디옥사이드 (CI 77891), 메틸트라이메티콘, 다이메티콘, 호모살레이트, 부틸렌글라이콜, 티타늄디옥사이드, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 실리카, 아이소도데케인, 다이아이소프로필세바케이트, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 트라이실록세인, 글리세린, 소듐클로라이드, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 브이피/헥사데센코폴리머, 1,2-헥산다이올, 변성알코올, 마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드, 다이메티콘크로스폴리머, 알루미늄하이드록사이드, 아크릴레이트/다이메티콘코폴리머, 황색산화철, 다이스테아다이모늄헥토라이트, 트라이하이드록시스테아린, 트라이에톡시카프릴릴실레인, 스테아릭애씨드, 카프릴릴글라이콜, 폴리실리콘-11, 향료, 적색산화철, 글리세릴카프릴레이트, 쌀겨왁스, 글리세릴운데실다이메티콘, 소듐코코일글루타메이트, 흑색산화철, 하이알루로닉애씨드, 라우로일라이신, 알지닌, 토코페롤, 하이드롤라이즈드식물성단백질",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65333
노웨어 립스틱 바밍글로우 3g,"20,400원",15%,4.8,3g,"다이펜타에리스리틸펜타아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 옥틸도데칸올, 피토스테릴/옥틸도데실라우로일글루타메이트, 글리세릴운데실다이메티콘, 다이페닐다이메티콘, 합성왁스, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 폴리글리세릴-2트라이아이소스테아레이트, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 적색202호, 적색201호, 황색5호, 에틸렌/프로필렌코폴리머, 다이메티콘, 적색산화철, 향료, 토코페롤, 흑색산화철",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60808
더 브로우 밸런스 펜슬 0.1g,"12,800원",20%,0.1,0.1g,"흑색산화철, 하이드로제네이티드코코-글리세라이즈, 마이카, 황색산화철, 티타늄디옥사이드 (CI 77891), 징크스테아레이트, 검양옻나무열매왁스, 팔미틱애씨드, 적색산화철, 스테아릭애씨드, 카나우바왁스, 마이크로크리스탈린왁스, 합성비즈왁스, 합성왁스, 폴리글리세릴-2트라이아이소스테아레이트, 폴리부텐, 폴리하이드록시스테아릭애씨드, 다이메티콘, 레시틴, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 폴리글리세릴-3폴리리시놀리에이트, 카프릴릴글라이콜, 글리세릴카프릴레이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53360
꾸뛰르 립 틴트 글레이즈 4g,"13,200원",40%,4.8,4g,"정제수, 다이아이소스테아릴말레이트, 비스-다이글리세릴폴리아실아디페이트-2, 비스-베헤닐/아이소스테아릴/피토스테릴다이머다이리놀레일다이머다이리놀리에이트, 하이드로제네이티드폴리아이소부텐, 다이글리세린, 다이페닐다이메티콘, 세틸피이지/피피지-10/1다이메티콘, 트라이메틸실록시페닐다이메티콘, 폴리솔베이트60, 펜틸렌글라이콜, 솔비탄아이소스테아레이트, 폴리글리세릴-4아이소스테아레이트, 페녹시에탄올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 세테아레스-20, 스쿠알란, 향료, 황색5호, 소듐다이라우미도글루타미드라이신, 에틸헥실글리세린, 적색227호, 트라이소듐에틸렌다이아민다이석시네이트, 황색4호, 적색104호의(1)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63667
비글로우 볼륨쿠션 에어 퍼프 1ea,"2,000원",,4.8,1EA,해당사항없음,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62434
리얼 아이 애교살 스틱,"12,750원",25%,4.6,0.5g,"[champagne beam-7mm] C12-15알킬에틸헥사노에이트, 마이카, 티타늄디옥사이드 (CI 77891), 폴리글리세릴-2트라이아이소스테아레이트, 트라이에틸헥사노인, 합성플루오르플로고파이트, 합성왁스, 폴리페닐실세스퀴옥세인, 하이드로제네이티드코코넛오일, 폴리아이소부텐, 옥틸도데칸올, 검양옻나무열매왁스, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 마이크로크리스탈린왁스, 합성비즈왁스, 적색산화철, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 세레신, 스테아릭애씨드, 다이스테아다이모늄헥토라이트, 카민, 프로필렌카보네이트, 다이메티콘, 비에이치티 [champagne beam-3mm] 티타늄디옥사이드 (CI 77891), C12-15알킬에틸헥사노에이트, 페닐트라이메티콘, 폴리글리세릴-2트라이아이소스테아레이트, 합성왁스, 마이카, 칸데릴라왁스, 브이피/헥사데센코폴리머, 폴리아이소부텐, 황색산화철, 흑색산화철, 적색산화철, 카나우바왁스, 폴리하이드록시스테아릭애씨드, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 폴리글리세릴-3폴리리시놀리에이트, 카프릴릴글라이콜, 글리세릴카프릴레이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53359
비글로우 파운데이션 SPF27/PA++ 30g,"35,700원",15%,4.8,30g,"정제수, 다이페닐실록시페닐트라이메티콘, 티타늄디옥사이드 (CI 77891), 메틸트라이메티콘, 에칠헥실메톡시신나메이트, 글리세린, 부틸렌글라이콜, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 아이소도데케인, 트라이메틸실록시실리케이트, 아이소노닐아이소노나노에이트, 실리카, 폴리페닐실세스퀴옥세인, 다이아이소스테아릴말레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 1,2-헥산다이올, 하이드로제네이티드폴리아이소부텐, 다이스테아다이모늄헥토라이트, 소듐클로라이드, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 다이메티콘, 트라이에틸헥사노인, 트라이하이드록시스테아린, 알루미늄하이드록사이드, 향료, 적색산화철, 트라이에톡시카프릴릴실레인, 카프릴릴글라이콜, 비닐다이메티콘/라우릴다이메티콘크로스폴리머, 아크릴레이트/다이메티콘코폴리머, 에틸헥실글리세린, 황색산화철, 다이소듐이디티에이, 프로필렌카보네이트, 흑색산화철, 비에이치티, 토코페롤, 프로판다이올, 소듐하이알루로네이트, 수용성콜라겐, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 아세틸헵타펩타이드-4, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 아세틸옥타펩타이드-3",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63661
아이 오프닝 펜슬 0.3g,"15,300원",15%,0.3,0.3g,"메틸트라이메티콘, 트라이메틸실록시실리케이트, 흑색산화철, 합성왁스, 마이카, 티타늄디옥사이드 (CI 77891), 마이크로크리스탈린왁스, C13-15알케인, 세틸피이지/피피지-10/1다이메티콘, 폴리글리세릴-3폴리리시놀리에이트, 황색산화철, 트라이에톡시카프릴릴실레인, 페녹시에탄올, 적색산화철, 다이스테아다이모늄헥토라이트, 알루미늄하이드록사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64501
스트로빙 하이라이터 8g,"24,000원",20%,4.8,8g,"다이메티콘, 실리카, 알루미나, 마이카, 티타늄디옥사이드 (CI 77891), 합성플루오르플로고파이트, 하이드로제네이티드폴리아이소부텐, 다이메티콘/비닐다이메티콘크로스폴리머, 다이아이소스테아릴말레이트, 마그네슘미리스테이트, 징크스테아레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 틴옥사이드, 적색산화철, 라우레스-4, 정제수, 황색산화철, 코코-카프릴레이트/카프레이트, 토코페롤, 글리세린, 캐스터오일/아이피디아이코폴리머, 카프릴릭/카프릭/석시닉트라이글리세라이드, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 소듐하이알루로네이트, 수용성콜라겐, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66542
꾸뛰르 립 틴트 피팅 블러 4g,"13,200원",40%,4.7,4g,"다이메티콘, 아이소도데케인, 폴리실리콘-11, 폴리글리세릴-2트라이아이소스테아레이트, 합성왁스, 다이메티콘/폴리글리세린-3크로스폴리머, 다이메티콘크로스폴리머, 브이피/헥사데센코폴리머, 다이메티콘/비닐다이메티콘크로스폴리머, 적색226호, 티타늄디옥사이드 (CI 77891), 적색104호의(1), 적색202호, 폴리하이드록시스테아릭애씨드, 다이스테아다이모늄헥토라이트, 황색5호, 적색산화철, 레시틴, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 프로필렌카보네이트, 폴리글리세릴-3폴리리시놀리에이트, 향료, 실리카, 다이프로필렌글라이콜, 청색1호, 알루미늄하이드록사이드, 트라이에톡시카프릴릴실레인, 소듐시트레이트, 토코페롤, 흑색산화철",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64316
