상품명,가격,할인율,평점,용량,전성분,URL
로맨틱 에멀전 130ml,"18,540원",37%,4.9,130ml,"정제수, 하이드로제네이티드폴리(C6-14올레핀), 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 부틸렌글라이콜, 메틸트라이메티콘, 1,2-헥산다이올, 폴리솔베이트60, 스쿠알란, 하이드로제네이티드식물성오일, 글리세릴스테아레이트, 세테아릴알코올, 다이메티콘, 향료, 팔미틱애씨드, 스테아릭애씨드, 피이지-100스테아레이트, 솔비탄스테아레이트, 수크로오스스테아레이트, 호호바에스터, 마트리카리아꽃수, 카보머, 트로메타민, 글리세릴카프릴레이트, 녹차수, 리날룰, 에틸헥실글리세린, 리모넨, 다이소듐이디티에이, 프로판다이올, 헥실신남알, 제라니올, 시트로넬올, 쿠마린, 레시틴, 하이드록시시트로넬알, 시트랄, 토코페롤, 낫토검, 베타-글루칸",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59820
로맨틱 스킨 리파이너 130ml,"18,540원",37%,4.9,130ml,"정제수, 변성알코올, 부틸렌글라이콜, 피이지-60하이드로제네이티드캐스터오일, 향료, 옥틸도데세스-16, 베타인, 마트리카리아꽃수, 1,2-헥산다이올, 리날룰, 녹차수, 리모넨, 에틸헥실글리세린, 글리세린, 헥실신남알, 다이소듐이디티에이, 프로판다이올, 제라니올, 시트로넬올, 쿠마린, 하이드록시시트로넬알, 시트랄, 낫토검, 베타-글루칸, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59819
챕터파이브 생츄어리 2종 세트,"49,200원",40%,4.9,"토너 140ml, 모이스처라이저 110ml","[토너] 정제수, 프로판다이올, 글리세린, 변성알코올, 나이아신아마이드, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 트레할로오스, 베타인, 피피지-13-데실테트라데세스-24, 향료, 해수, 에틸헥실글리세린, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이소듐이디티에이, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아데노신, 트로메타민, 빌베리열매추출물, 리모넨, 사탕수수추출물, 3-O-에틸아스코빅애씨드, 솔비탄아이소스테아레이트, 폴리솔베이트60, 오렌지추출물, 레몬추출물, 벤질벤조에이트, 설탕단풍추출물, 토코페롤, 편백잎추출물 / [모이스처라이저] 정제수, 부틸렌글라이콜, 글리세린, 다이카프릴릴카보네이트, 메틸트라이메티콘, 나이아신아마이드, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 세테아릴알코올, 글리세릴스테아레이트, 카페인, 향료, 팔미틱애씨드, 스테아릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 실리카, 해수, 글리세릴카프릴레이트, 소듐스테아로일글루타메이트, 하이드록시프로필스타치포스페이트, 트로메타민, 하이드로제네이티드레시틴, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 리모넨, 솔비탄아이소스테아레이트, 바쿠치올, 프로판다이올, 벤질벤조에이트, 토코페롤, 미리스틱애씨드, 라우릭애씨드, 편백잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60523
블랙 스킨 리파이너 130ml,"24,740원",37%,4.8,130ml,"정제수, 변성알코올, 글리세린, 나이아신아마이드, 부틸렌글라이콜, 피이지-60하이드로제네이티드캐스터오일, 1,2-헥산다이올, 베타인, 피이지/피피지-17/6코폴리머, 향료, 비스-피이지-18메틸에터다이메틸실레인, 옥틸도데세스-16, 아세로라추출물, 프로판다이올, 아사이팜열매추출물, 에틸헥실글리세린, 다이소듐이디티에이, 카보머, 아데노신, 트로메타민, 리모넨, 헥실신남알, 시트로넬올, 리날룰, 하이드록시시트로넬알, 벤질벤조에이트, 소듐마그네슘실리케이트, 토코페롤, 글루타티온",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59823
MMY 콜라보레이션 토트백,"25,500원",15%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67782
블랙 에멀전 130ml,"24,740원",37%,4.9,130ml,"정제수, 글리세린, 부틸렌글라이콜, 변성알코올, 세틸에틸헥사노에이트, 나이아신아마이드, 다이메티콘, 메틸트라이메티콘, 피씨에이다이메티콘, 1,2-헥산다이올, 실리카, 다이메티콘/비닐다이메티콘크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 향료, 폴리솔베이트20, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C14-22알코올, 아세로라추출물, 프로판다이올, 스테아릭애씨드, 글리세릴스테아레이트, 글리세릴카프릴레이트, 폴리아크릴레이트-13, 폴리실리콘-11, 아사이팜열매추출물, 팔미틱애씨드, 아라키딜알코올, C12-20알킬글루코사이드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리아이소부텐, 아데노신, 솔비탄아이소스테아레이트, 베헤닐알코올, 폴리솔베이트60, 아라키딜글루코사이드, 리모넨, 헥실신남알, 시트로넬올, 리날룰, 하이드록시시트로넬알, 벤질벤조에이트, 소듐마그네슘실리케이트, 글루코오스, 글루타티온, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59824
MMY 콜라보레이션 크로스백,"17,000원",15%,4.0,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67781
챕터파이브 라이트하우스 2종 세트,"49,200원",40%,4.9,"토너 140ml, 모이스처라이저 110ml","[토너] 정제수, 프로판다이올, 글리세린, 변성알코올, 나이아신아마이드, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 트레할로오스, 베타인, 피피지-13-데실테트라데세스-24, 향료, 해수, 에틸헥실글리세린, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 만다린껍질추출물, 다이소듐이디티에이, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아데노신, 트로메타민, 빌베리열매추출물, 리모넨, 사탕수수추출물, 펜틸렌글라이콜, 솔비탄아이소스테아레이트, 폴리솔베이트60, 오렌지추출물, 레몬추출물, 비터오렌지꽃추출물, 리날룰, 설탕단풍추출물, 토코페롤 / [모이스처라이저] 정제수, 부틸렌글라이콜, 글리세린, 다이카프릴릴카보네이트, 메틸트라이메티콘, 나이아신아마이드, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 세테아릴알코올, 글리세릴스테아레이트, 카페인, 프로판다이올, 향료, 팔미틱애씨드, 스테아릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 실리카, 해수, 글리세릴카프릴레이트, 소듐스테아로일글루타메이트, 하이드록시프로필스타치포스페이트, 트로메타민, 하이드로제네이티드레시틴, 만다린껍질추출물, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 리모넨, 솔비탄아이소스테아레이트, 바쿠치올, 펜틸렌글라이콜, 리날룰, 비터오렌지꽃추출물, 토코페롤, 미리스틱애씨드, 라우릭애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60522
블랙 스페셜 2종 신년기획세트 (130ml+130ml),"49,470원",38%,4.9,스킨 리파이너 130ml + 에멀젼 130ml + 스킨 리파이너 30ml + 에멀젼 30ml + 클렌징폼 30ml,"[스킨 리파이너] 정제수, 변성알코올, 글리세린, 나이아신아마이드, 부틸렌글라이콜, 피이지-60하이드로제네이티드캐스터오일, 1,2-헥산다이올, 베타인, 피이지/피피지-17/6코폴리머, 향료, 비스-피이지-18메틸에터다이메틸실레인, 옥틸도데세스-16, 아세로라추출물, 프로판다이올, 아사이팜열매추출물, 에틸헥실글리세린, 다이소듐이디티에이, 카보머, 아데노신, 트로메타민, 리모넨, 헥실신남알, 시트로넬올, 리날룰, 하이드록시시트로넬알, 벤질벤조에이트, 소듐마그네슘실리케이트, 토코페롤, 글루타티온 / [에멀젼] 정제수, 글리세린, 부틸렌글라이콜, 변성알코올, 세틸에틸헥사노에이트, 나이아신아마이드, 다이메티콘, 메틸트라이메티콘, 피씨에이다이메티콘, 1,2-헥산다이올, 실리카, 다이메티콘/비닐다이메티콘크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 향료, 폴리솔베이트20, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C14-22알코올, 아세로라추출물, 프로판다이올, 스테아릭애씨드, 글리세릴스테아레이트, 글리세릴카프릴레이트, 폴리아크릴레이트-13, 폴리실리콘-11, 아사이팜열매추출물, 팔미틱애씨드, 아라키딜알코올, C12-20알킬글루코사이드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리아이소부텐, 아데노신, 솔비탄아이소스테아레이트, 베헤닐알코올, 폴리솔베이트60, 아라키딜글루코사이드, 리모넨, 헥실신남알, 시트로넬올, 리날룰, 하이드록시시트로넬알, 벤질벤조에이트, 소듐마그네슘실리케이트, 글루코오스, 글루타티온, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59825
로맨틱 스페셜 2종 세트 신년기획세트 (130ml+130ml),"37,070원",38%,4.9,스킨 리파이너 130ml + 에멀젼 130ml + 스킨 리파이너 30ml + 에멀젼 30ml + 클렌징폼 30ml,"[스킨 리파이너] 정제수, 변성알코올, 부틸렌글라이콜, 피이지-60하이드로제네이티드캐스터오일, 향료, 옥틸도데세스-16, 베타인, 마트리카리아꽃수, 1,2-헥산다이올, 리날룰, 녹차수, 리모넨, 에틸헥실글리세린, 글리세린, 헥실신남알, 다이소듐이디티에이, 프로판다이올, 제라니올, 시트로넬올, 쿠마린, 하이드록시시트로넬알, 시트랄, 낫토검, 베타-글루칸, 토코페롤 / [에멀젼] 정제수, 하이드로제네이티드폴리(C6-14올레핀), 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 부틸렌글라이콜, 메틸트라이메티콘, 1,2-헥산다이올, 폴리솔베이트60, 스쿠알란, 하이드로제네이티드식물성오일, 글리세릴스테아레이트, 세테아릴알코올, 다이메티콘, 향료, 팔미틱애씨드, 스테아릭애씨드, 피이지-100스테아레이트, 솔비탄스테아레이트, 수크로오스스테아레이트, 호호바에스터, 마트리카리아꽃수, 카보머, 트로메타민, 글리세릴카프릴레이트, 녹차수, 리날룰, 에틸헥실글리세린, 리모넨, 다이소듐이디티에이, 프로판다이올, 헥실신남알, 제라니올, 시트로넬올, 쿠마린, 레시틴, 하이드록시시트로넬알, 시트랄, 토코페롤, 낫토검, 베타-글루칸",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59822
