상품명,가격,할인율,평점,용량,원재료명 및 함량,영양성분,URL
프리미엄 티 컬렉션 10종 (원산지:상세설명참조),"22,400원",30%,4.9,40입(10종x4입),"•제품명 : 오설록 제주 순수녹차 •원재료명 : 녹차(제주산) 100% •제품명 : 오설록 삼다 꿀배 티 •원재료명 : 후발효차(제주산),설탕,배향향료제제(합성향료,주정,천연향료,젖산,프로필렌글리콜,정제수),꿀분말(꿀(국산)),배농축혼합분말(배(국산)) •제품명 : 오설록 피치 블랙티 •원재료명 : 홍차(제주산53.85%,인도산46.15%),후발효차(제주산),설탕,천연향료,산복숭아원액(산복숭아(국산)) [복숭아 함유] •제품명 : 제주 삼다 영귤 티 •원재료명 : 후발효차(제주산),설탕,천연향료,후발효차열수추출물(제주산),영귤분말(제주산) •제품명 : 오설록 제주 동백꽃 티 •원재료명 : 후발효차(제주산),홍차(제주산),설탕,향료(동백꽃향),후발효차열수추출물(제주산),동백꽃(제주산) •제품명 : 오설록 마롱 글라세 블랙티 •원재료명 : 홍차(인도산88.1%,제주산11.9%),설탕,향료(단팥향),밀크향향료제제(주정,합성향료,젖산),밤분말(밤(국산)),향료(알밤향) •제품명 : 오설록 유자 얼그레이 •원재료명 : 홍차(인도산82.88%,제주산17.12%),후발효차(제주산),천연향료(시트러스 베르가못향),후발효차열수추출물(제주산),유자필분말(국산) •제품명 : 오설록 피치 캐모마일 •원재료명 : 캐모마일(크로아티아산),레몬그라스(이집트산),설탕,히비스커스(나이지리아산),기타가공품(함수결정포도당,효소처리스테비아,잔탄검),건조레몬,향료(백도향),복숭아과즙분말(복숭아과즙농축액(국산)) [복숭아 함유] •제품명 : 오설록 스윗 히비스커스 •원재료명 : 히비스커스(나이지리아산),기타가공품(함수결정포도당,효소처리스테비아,잔탄검),건조레몬(제주산),스피어민트(미국산),페퍼민트,시나몬 •제품명 : 오설록 무화과 쇼콜라 블랙티 •원재료명 : 홍차(인도산65.36%,제주산34.64%),후발효차(제주산),설탕,카카오닙스(페루산),향료1(무화과향),향료2(무화과향),무화과분말(무화과(국산))",해당사항없음,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58962
제주 말차 밀크티 10입 (원산지:상세설명참조),"11,700원",10%,4.9,200g(20gx10입),"라떼베이스[설탕,식물성크림1{야자경화유(외국 산)}, 식물성크림2{야자경화유(외국산)}, 혼합분유(네덜란드산), 식물성크림3], 녹차(제주산), 정제소금, 향료(말차향) [우유, 대두 함유]",내용물 중량 스틱 1포 20g 카페인 54.7mg 열량 84.76 kcal 탄수화물 16.47g 당류 13.08g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63136
그린티 딸기 랑드샤 (원산지:상세설명참조) 90g,"13,300원",5%,4.8,90g (9g*10입),"설탕, 박력분(밀:미국산), 마가린[식물성유지(팜유:말레이시아산),가공유지(팜스테아린에스테르화유:말레이시아산),유화제,정제소금,레시틴], 난백액(계란:국산), 아몬드분말, 혼합분유(전지분유,유청분말,우유단백질), 버터, 쇼트닝(가공유지,동물성유지,식물성유지,유화제), 식물성유지, 녹차가루(제주산), 딸기분말(딸기:국산), 정제소금, 향료1(바닐라향), 향료2(딸기향), 혼합제제[정제수,프로필렌글리콜,혼합제제(코치닐추출색소,적양배추색소),치자황색소], 구연산 / 달걀, 우유, 대두, 밀, 쇠고기 함유","총 내용량 90g(515kcal), 나트륨 170mg(9%), 탄수화물 48g(15%), 당류 24g(24%), 지방 33g(61%), 트랜스지방 0.5g 미만, 포화지방 17g(113%), 콜레스테롤 25mg(8%), 단백질 7g(13%)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66052
말차 프레첼 70g (원산지:상세설명참조),"5,400원",10%,4.8,70g,"식물성크림[설탕, 가공유지(수소첨가유/말레이시아산), 혼합분유(벨기에산), 유당, 말차가루(녹차100%/제주산)], 과자(루마니아산/밀가루, 팜유, 옥수수전분, 요오드화소금, 엿기름추출물)   / 밀, 대두, 우유, 아황산류 함유","총 내용량 70g(330kcal), 나트륨 320mg(16%), 탄수화물 47g(15%), 당류 19g(19%), 지방 13g(24%), 트랜스지방 0g, 포화지방 13g(87%), 콜레스테롤 0mg (0%), 단백질 5g(9%)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60830
티 베리에이션 O 6종 (원산지:상세설명참조),"22,500원",25%,4.9,총 72g / 36입 (6종 x 6입),"•제품명 : 오설록 제주 순수녹차•원재료명 : 녹차(제주산) 100%•제품명 : 오설록 삼다 꿀배 티•원재료명 : 후발효차(제주산), 설탕, 배향향료제제(합성향료, 주정, 천연향료, 젖산, 프로필렌글리콜, 정제수), 꿀분말(꿀(국산)), 배농축혼합분말(배(국산))•제품명 : 오설록 제주 삼다 영귤 티•원재료명 : 후발효차(제주산), 설탕, 후발효차열수추출물(제주산), 향료(영귤향), 제주영귤분말(제주귤피(제주산), 제주영귤(제주산))•제품명 : 오설록 제주 동백꽃 티•원재료명 : 후발효차( 제주산), 홍차(제주산),설탕, 향료 (동백꽃향), 후발효차열수추출물(제주산), 동백꽃(제주산)•제품명 : 오설록 트로피컬 블랙티•원재료명 : 녹차(제주산), 홍차(제주산), 후발효차(제주산), 향료(복숭아향), 망고과즙분말•제품명 : 오설록 바닐라 허니 블랙티•원재료명 : 홍차(인도산83.7%, 제주산16.3%),후발효차(제주산), 꿀과립(포도당, 효소처리스테비아, 사양벌꿀(국산)), 향료(프렌치바닐라향), 후발효차열수추출물, 바닐라추출물, 스테비아",해당사항없음,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61654
프리미엄 말차 40g (원산지:상세설명참조),"21,850원",5%,4.8,40 g,유기농 녹차 (제주산) 100%,해당사항없음,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56053
그린티 웨하스 100g (원산지:상세설명참조),"5,700원",5%,4.8,100g,"밀가루(밀:호주산, 미국산), 야자유, (외국 산/말레이시아, 필리핀, 인도네시아 등), 설탕, 유청(프랑스산), 포도당, 덱스트린, 전지분유, 유당, 녹차가루(국산), 유화제, 해바라기유, 정제소금, 산도조절제1, 산도 조절제2 밀,대두,우유함유","총 내용량 100g(520kcal), 나트륨 165mg(8%), 탄수화물 65g(20%), 당류 30g(30%), 지방 26g(48%), 트랜스지방 0g, 포화지방 20.2g(135%), 콜레스테롤 2.9mg(1%), 단백질 6.6g(12%)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52994
말차 비스코티 칩 100g (원산지:상세설명참조),"12,600원",10%,4.6,100g (50g*2개),"우유(원유 100%,국산),우리밀통밀 (밀:국산),비정제유기농사탕수수 11.6%,코코넛분말(필리핀산),아몬드,호두분태,해바라기씨앗,캐슈넛,유기농아가베시럽 2.6%,유기농 말차가루 1.8%(녹차:국산),혼합제제1(덱스트린,홍화황색소,L-아스코브산나트륨,치자청색소,비타민C,폴리인산나트륨),혼합제제2(탄산수소나트륨,옥수수전분),식염 / 밀, 우유, 호두 함유","총 내용량:100 g(495 kcal) 나트륨 435mg(22%), 탄수화물 60g(19%), 당류 25g(25%), 지방 22g(41%), 트랜스지방 0g, 포화지방 10g(67%), 콜레스테롤 7mg(2%), 단백질 14g(25%)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64109
그린티 랑드샤 10입 (원산지:상세설명참조),"13,300원",5%,4.8,100g(10g X 10ea),"식물성크림[백설탕, 혼합식용유(채종유(호주산)), 채종유(호주산), 전지분유, 탈지분유, 유청분말, 녹차가루(제주산), 레시틴, 글리세린지방산에스테르, 바닐린], 박력분(밀: 미국산), 백설탕, 마가린[식물성유지(팜유(말레이시아산)), 가공유지(야자에스테르화유(외국산:인도네시아, 필리핀, 말레이시아 등)), 정제수, 가공버터, 기타가공품, 유화제, 레시틴, 혼합제제(식물성유지, 베타카로틴(착색료), DL-알파-토코페롤), 합성향료(버터향, 바닐라향), 구연산], 난백액, 아몬드분말, 무염버터, 녹차가루(제주산), 정제소금, 바닐린, 계란, 대두, 밀, 우유 함유",상세페이지참고,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53004
제주 순수 녹차 20입 (원산지:상세설명참조),"9,900원",10%,4.9,2 gx20입 (40g),원재료명 : 유기농 녹차 (제주산) 100% 유기농인증번호 : 제 12800178호,해당사항없음,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53002
