상품명,가격,할인율,평점,용량,전성분,URL
레티놀 PDRN 앰플 겔 마스크 1매,"2,800원",30%,4.9,25ml/1매,"정제수, 부틸렌글라이콜, 락토바실러스발효용해물(36,975 ppm), 나이아신아마이드, 글리세릴글루코사이드, 1,2-헥산다이올, 글리세린, 세틸에틸헥사노에이트, 아이소펜틸다이올, 폴리글리세릴-10스테아레이트, 프로판다이올, 하이드로제네이티드폴리(C6-14올레핀), 네오펜틸글라이콜다이헵타노에이트, 에리스리톨, 글리세릴스테아레이트에스이, 카보머, 판테놀, 알지닌, 풀루란, 황련뿌리추출물, 돌콩오일, 에틸헥실글리세린, 잔탄검, 아데노신, 소듐폴리아크릴레이트, 소듐파이테이트, 알란토인, 다이메틸아이소소바이드, 레티놀(200IU/g), 하이드록시피나 콜론레티노에이트, 스쿠알란, 코질메틸렌다이옥시신나메이트, 병풀잎추출물, 비피다발효용해물, 락토코쿠스발효용해물, 다이프로필렌글라이콜, 돌외잎/줄기추출물, 겔리듐 카르틸라기네움 추출물, 톳추출물, 하이드로제네이티드레시틴, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 소듐하이알루로네이트, 노나펩타이드-1, 베타-글루칸, 세라마이드엔피, 아세틸헥사펩타이 드-8, 팔미토일펜타펩타이드-4, 팔미토일테트라펩타이드-7, 헥사펩타이드-9, 팔미토일트라이펩타이드-1, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이 알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘하이알루로네이트, 펜틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64490
한란 핸드 크림 50ml,"4,900원",30%,4.8,50ml,"정제수, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 펜타에리스리틸테트라에틸헥사노에이트, 베헤닐알코올, 다이아이소프로필세바케이트, 세테아릴알코올, 시어버터, 펜틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 글리세릴스테아레이트, 피이지-100스테아레이트, 향료, 세테아릴글루코사이드, 프로판다이올, 카보머, 트로메타민, 글리세릴카프릴레이트, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 글루코오스, 난추출물 (5 ppm), 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60063
그린티 아미노 수분 클렌징 폼 150g,"13,000원",,4.8,150g,"정제수, 글리세린, 미리스틱애씨드, 라우릭애씨드, 포타슘하이드록사이드, 스테아릭애씨드, 글리세릴스테아레이트, 글라이콜다이스테아레이트, 팔미틱애씨드, 라우릴하이드록시설테인, 폴리쿼터늄-22, 라우릴글루코사이드, 프로판다이올, 향료, 포타슘코코일글리시네이트, 1,2-헥산다이올, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 다이소듐이디티에이, 부틸렌글라이콜, 알지닌*, 아스파틱애씨드*, 글루타믹애씨드*, 에틸헥실글리세린, 녹차추출물(31ppm), 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 테트라소듐이디티에이, 하이알루로닉애씨드, 잔탄검, 세라마이드엔피, 창포뿌리추출물 * 아미노산 콤플렉스 300ppm 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57038
NEW 세럼/앰플 겔 마스크 (비타C 세럼/레티놀 시카 흔적 앰플/레티놀 PDRN 앰플),"2,800원",30%,4.8,25mL/1매,"정제수, 부틸렌글라이콜, 나이아신아마이드(40,000 ppm), 프로판다이올, 1,2-헥산다이올, 글리세릴글루코사이드, 글리세린, 에리스리톨, 카보머, 알지닌, 하이 드로제네이티드레시틴, 3-O-에틸아스코빅애씨드(1,000 ppm), 만다린껍질추출물, 잔탄검, 알란토인, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 글루타티온, 황련뿌리추출물, 치자추출물, 소듐하이알루로네이트, 소듐파이테이트, 덱스트린, 아스코빌테트라이소팔미테이트(10 ppm), 글루코노락톤, 페룰릭애씨드, 다이소듐이디 티에이, 병풀잎추출물, 세라마이드엔피, 사이클로덱스트린, 비피다발효용해물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 다이프로필렌글라이콜, 프로테아제(0.5 ppm)*, 판테놀, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 베타-글루칸, 소듐아스코빌포스페이트(1 ppb), 하이알루로닉애씨드, 소듐하이알루로네이트크로스 폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘하이알루로네이트, 펜틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트, 아스코빅애씨드(0.01 ppb), 사이아노코발아민, 바이오틴, 폴릭애씨드, 리보플라빈, 피리독신, 티아민에이치씨엘",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64484
비타C 그린티 엔자임 세럼 겔 마스크 1매,"2,800원",30%,4.8,25ml/1매,"정제수, 부틸렌글라이콜, 나이아신아마이드(40,000 ppm), 프로판다이올, 1,2-헥산다이올, 글리세릴글루코사이드, 글리세린, 에리스리톨, 카보머, 알지닌, 하이 드로제네이티드레시틴, 3-O-에틸아스코빅애씨드(1,000 ppm), 만다린껍질추출물, 잔탄검, 알란토인, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 글루타티온, 황련뿌리추출물, 치자추출물, 소듐하이알루로네이트, 소듐파이테이트, 덱스트린, 아스코빌테트라이소팔미테이트(10 ppm), 글루코노락톤, 페룰릭애씨드, 다이소듐이디 티에이, 병풀잎추출물, 세라마이드엔피, 사이클로덱스트린, 비피다발효용해물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 다이프로필렌글라이콜, 프로테아제(0.5 ppm)*, 판테놀, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 베타-글루칸, 소듐아스코빌포스페이트(1 ppb), 하이알루로닉애씨드, 소듐하이알루로네이트크로스 폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘하이알루로네이트, 펜틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트, 아스코빅애씨드(0.01 ppb), 사이아노코발아민, 바이오틴, 폴릭애씨드, 리보플라빈, 피리독신, 티아민에이치씨엘",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64488
마이 퍼퓸드 핸드크림 30ml,"4,200원",30%,4.8,30ml,"정제수, 글리세린, 프로판다이올, 세테아릴알코올, 하이드로제네이티드코코-글리세라이즈, 글리세릴스테아레이트, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 1,2-헥산다이올, 세테아릴글루코사이드, 카프릴릭/카프릭트라이글리세라이드, 향료, 카보머, 트로메타민, 팔미틱애씨드, 스테아릭애씨드, 카프릴릴글라이콜, 소듐스테아로일글루타메이트, 에틸헥실글리세린, 다이소듐이디티에이, 알파-아이소메틸아이오논, 소듐하이알루로네이트, 하이알루로닉애씨드, 시어버터, 부틸렌글라이콜, 병풀추출물, 시트릭애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60007
고급 종이 면봉 150P,"2,500원",,4.9,150p,상세 참조,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60069
New 납작 아이브로우 펜슬,"5,500원",,4.7,0.3g,"적색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈, 마이카, 하이드로제네이티드식물성오일, 황색산화철, 징크스테아레이트, 흑색산화철, 티타늄디옥사이드 (CI 77891), 스테아릭애씨드, 카나우바왁스, 폴리글리세릴-2트라이아이소스테아레이트, 토코페롤, 카프릴릴글라이콜, 글리세릴카프릴레이트, 아스코빌팔미테이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58419
레티놀 시카 리페어 앰플 겔 마스크 1매,"2,800원",30%,4.9,23ml/1매,"정제수, 부틸렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 병풀추출물(10,000 ppm), 에리스리톨, 글리세린, 카보머, 알지닌, 알란토인, 소듐하이알루로네 이트, 시어버터, 올리브오일, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 스쿠알란, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 잔탄검, 아데 노신, 돌콩오일, 황련뿌리추출물, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이소듐이디티에이, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 레티 놀(100IU/g), 세라마이드엔피, 콜레스테롤, 병풀잎추출물(5,498 ppb), 피토스핑고신, 비피다발효용해물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 다이프로필렌 글라이콜, 판테놀, 아시아티코사이드(40 ppb), 아시아틱애씨드(30 ppb), 마데카식애씨드(30 ppb), 베타-글루칸, 시트릭애씨드, 살리실릭애씨드, 락토바이오닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드록시프로필트라이 모늄하이알루로네이트, 포타슘하이알루로네이트, 펜틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64489
그린티 아미노 수분 클렌징 오일 150ml,"24,000원",,4.8,150ml,"세틸에틸헥사노에이트, 아이소프로필팔미테이트, 솔베스-30테트라올리에이트, 카프릴릭/카프릭트라이글리세라이드, 데실코코에이트, C9-12알케인, 다이아이소스테아릴말레이트, 향료, 코코-카프릴레이트/카프레이트, 살구씨오일, 호호바씨오일, 쌀겨오일, 녹차씨오일(1,100ppm), 스위트아몬드오일, 정제수, 알지닌(50ppm), 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 창포뿌리추출물, 에틸헥실글리세린, 소듐메타포스페이트, 녹차추출물(0.02ppm)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59777
노세범 미네랄 파우더 5g,"6,300원",30%,4.8,5g,"실리카, 알루미늄전분옥테닐석시네이트, 다이메티콘/비닐다이메티콘크로스폴리머, 카프릴릭/카프릭트라이글리세라이드, 마이카, 메티콘, 에틸헥실글리세린, 다이메티콘, 글리세릴카프릴레이트, 미네랄솔트, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57032
그린티 아미노 수분 클렌징 워터 320ml,"18,000원",,4.7,320ml,"정제수, 프로판다이올, 글리세린, 폴리솔베이트20, 글리세레스-26, 헥실렌글라이콜, 1,2-헥산다이올, 다이소듐코코암포다이아세테이트, 소듐시트레이트, 다이소듐이디티에이, 에틸헥실글리세린, 소듐클로라이드, 향료, 시트릭애씨드, 녹차추출물(172ppm), 알지닌*, 아스파틱애씨드*, 글루타믹애씨드*, 리날룰, 리모넨, 다이소듐코코일글루타메이트, 부틸렌글라이콜, 창포뿌리추출물, 토코페롤 * 아미노산 콤플렉스 300ppm 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57039
블랙티 유스 인핸싱 앰플 마스크 28ml,"3,500원",30%,4.9,28ml,"정제수, 글리세린, 부틸렌글라이콜, 다이프로필렌글라이콜, 나이아신아마이드, 글리세릴폴리메타크릴레이트, 스쿠알란, 에리스리톨, 폴리글리세릴-10미리스테이트, 1,2-헥산다이올, 잔탄검, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 알란토인, 폴리글리세릴-10라우레이트, 글리세릴카프릴레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 병풀추출물, 아데노신, 에틸헥실글리세린, 모란뿌리추출물, 마트리카리아꽃추출물, 다이소듐이디티에이, 향료, 서양톱풀추출물, 덱스트린, 카카오추출물, 하이드로제네이티드레시틴, 리모넨, 소듐하이알루로네이트, 홍차추출물(10 ppm), 세라마이드엔피, 하이알루로닉애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57999
"유채꿀 립밤 (립밤,초보습립밤) 3.5g","10,000원",,3.5,3.5g,"페트롤라툼, 폴리글리세릴-2트라이아이소스테아레이트, 다이아이소스테아릴말레이트, 미네랄오일, 호호바에스터, 하이드로제네이티드폴리아이소부텐, 폴리에틸렌, 메도우폼델타-락톤, 피토스테릴하이드록시스테아레이트, 하이드로제네이티드코코-글리세라이즈, 칸데릴라왁스, 마이크로크리스탈린왁스, 망고씨버터, 세레신, 스 위트아몬드오일, 트라이하이드록시스테아린, 페녹시에탄올, 카프릴릴글라이콜, 향료,글리세릴카프릴레이트, 토코페릴아세테이트, 황색4호, 황색5호, 토코페롤, 티비에이치큐, 서양유채씨오일(1ppm),정제수, 부틸렌글라이콜, 꿀추출물(0.03ppm), 에틸헥실글리세린",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66584
