상품명,가격,할인율,평점,용량,전성분,URL
NEW  세라마이드 아토 로션 564ml,"18,300원",30%,4.9,564ml,"정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=38800
울트라 리페어 로션 528ml,"16,400원",34%,4.8,528ml,"정제수, 글리세린, 부틸렌글라이콜, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 판테놀, 시어버터, C14-22알코올, 다이메티콘, 세테아릴알코올, 비스-다이글리세릴폴리아실아디페이트-2, 글리세릴스테아레이트, 향료, C12-20알킬글루코사이드, 1,2-헥산다이올, 스테아릭애씨드, 팔미틱애씨드, 카보머, 폴리아크릴레이트-13, 토코페릴아세테이트, 잔탄검, 글리세릴카프릴레이트, 인삼수, 폴리아이소부텐, 다이소듐이디티에이, 에틸헥실글리세린, 포타슘하이드록사이드, 호호바씨오일, 폴리솔베이트20, 솔비탄아이소스테아레이트, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 마데카소사이드, 미리스틱애씨드, 아라키딕애씨드, 7-데하이드로콜레스테롤, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=42237
히알루론 모이스춰 수분크림 100ml,"8,900원",35%,4.8,100ml,"정제수, 부틸렌글라이콜, 다이카프릴릴카보네이트, 글리세린, 하이드로제네이티드폴리(C6-14올레핀), 메틸트라이메티콘, 1,2-헥산다이올, 세테아릴알코올, 피씨에이다이메티콘, 스테아릭애씨드, 글리세릴스테아레이트, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 향료, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 소듐하이알루로네이트, 글리세릴카프릴레이트, 하이드로제네이티드레시틴, 인삼수, 하이드록시프로필스타치포스페이트, 다이소듐이디티에이, 에틸헥실글리세린, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 녹차씨오일, 솔비탄아이소스테아레이트, 폴리솔베이트60, 리모넨, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 미리스틱애씨드, 아라키딕애씨드, 리날룰, 토코페롤, 돌콩오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20447
세라마이드 아토 집중 크림 230ml,"14,900원",31%,5.0,230ml,"정제수, 부틸렌글라이콜, 글리세린, 에틸헥실스테아레이트, 다이메티콘, 다이카프릴릴카보네이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 7622ppm), 폴리아크릴레이트-13, 만니톨, 아라키딜글루코사이드, C12-20알킬글루코사이드, 하이드로제네이티드폴리아이소부텐, 글리세릴카프릴레이트, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 다이메티콘올, 인삼수, 카보머, 솔비탄아이소스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 황금추출물, 프로판다이올, 콜레스테롤, 실리카, 매실추출물, 아라키딕애씨드, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 토코페롤, 세라마이드엔피(4ppm), 올레익애씨드, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65577
세라마이드 아토 6.0 탑투토워시 500ml,"6,800원",31%,6.0,500ml,"정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46647
세라마이드 아토 로션 350ml,"11,800원",30%,4.8,350ml,"정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=17792
세라마이드 아토 6.0 탑투토워시 500ml,"8,800원",36%,6.0,500ml,"정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19673
울트라 리페어 로션 350ml,"11,800원",34%,4.8,350ml,"정제수, 글리세린, 부틸렌글라이콜, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 판테놀, 시어버터, C14-22알코올, 다이메티콘, 세테아릴알코올, 비스-다이글리세릴폴리아실아디페이트-2, 글리세릴스테아레이트, 향료, C12-20알킬글루코사이드, 1,2-헥산다이올, 스테아릭애씨드, 팔미틱애씨드, 카보머, 폴리아크릴레이트-13, 토코페릴아세테이트, 잔탄검, 글리세릴카프릴레이트, 인삼수, 폴리아이소부텐, 다이소듐이디티에이, 에틸헥실글리세린, 포타슘하이드록사이드, 호호바씨오일, 폴리솔베이트20, 솔비탄아이소스테아레이트, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 마데카소사이드, 미리스틱애씨드, 아라키딕애씨드, 7-데하이드로콜레스테롤, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19469
세라마이드 아토 집중 크림 500ml,"26,400원",21%,4.7,500ml,"정제수, 부틸렌글라이콜, 글리세린, 에틸헥실스테아레이트, 다이메티콘, 다이카프릴릴카보네이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 7622ppm), 폴리아크릴레이트-13, 만니톨, 아라키딜글루코사이드, C12-20알킬글루코사이드, 하이드로제네이티드폴리아이소부텐, 글리세릴카프릴레이트, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 다이메티콘올, 인삼수, 카보머, 솔비탄아이소스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 황금추출물, 프로판다이올, 콜레스테롤, 실리카, 매실추출물, 아라키딕애씨드, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 토코페롤, 세라마이드엔피(4ppm), 올레익애씨드, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19239
프레쉬 모이스춰 바디워시 500ml,"8,800원",36%,4.8,500ml,"정제수, 소듐C14-16올레핀설포네이트, 아크릴레이트코폴리머, 라우릴하이드록시설테인, 솔비톨, 향료, 소듐살리실레이트, 소듐클로라이드, 말티톨, 포타슘하이드록사이드, 리모넨, 소듐벤조에이트, 리날룰, 에틸헥실글리세린, 다이소듐이디티에이, 옥수수전분, 시트로넬올, 마이크로크리스탈린셀룰로오스, 락토오스, 헥실신남알, 수크로오스, 부틸렌글라이콜, 아스코빅애씨드, 인삼수, 카프릴릭/카프릭트라이글리세라이드, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페릴아세테이트, 유자껍질추출물, 토코페롤, 로즈힙꽃오일, 오렌지오일, 라벤더오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20431
