상품명,가격,할인율,평점,용량,원재료명및함량,URL
메타그린 칼로리컷 젤리(10입) 다이어트 기능성 젤리 혈당탄수화물컷 (원산지:상세설명참조),"15,000원",40%,4.7,적당해요,"난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)), 가르시니아캄보지아추출물(인도산), 건조효모(크롬함유), 정제수, 말티톨시럽(감미료), 곤약프로틴볼(곤약분말(중국산), 완두단백(프랑스산), 수산화칼슘), 혼합제제(로커스트콩검, 잔탄검, 포도당, 한천, 타마린드검), 구연산, 오렌지향, 자일리톨(감미료), 오렌지농축액, β-시클로덱스트린, 구연산나트륨, 스테비올배당체(감미료), 리치향, 수크랄로스(감미료), 흰강낭콩추출물분말, 알로에베라겔동결건조분말",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61196
메타그린 부스터샷 7일 (원산지:상세설명참조),"23,800원",15%,4.6,적당해요,"APIC대두배아열수추출물등복합물(대두배아추출물분말(대두(미국산)), L-카르니틴), 녹차추출물, 판토텐산칼슘, 비타민C, 정제수, 난소화성말토덱스트린(옥수수: 외국산(러시아, 헝가리, 세르비아 등)) ,시트러스농축액(시트러스혼합액(풋귤착즙액 국산))), 푸룬농축액, 구연산, 치커리뿌리추출물, 혼합제제(정제수, 덱스트린, 아라비아검, 유자후레바베이스, 유자향, 레몬라임향, 레몬오일, 합성향료), 구연산삼나트륨, 효소처리스테비아, 프탈산히드록시프로필메틸셀룰로오스, 목화씨유분말(경화유), 젖산칼슘, 펙틴, 함초소금, 제삼인산칼슘, 젤란검, 글리세린지방산에스테르, 구아검 대두함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64246
메타그린 슬림업(30일) 다이어트 비건 기능성 (원산지:상세설명참조),"28,800원",20%,4.8,적당해요,"녹차추출물분말(인도산), 판토텐산칼슘, 비타민C, 치커리뿌리추출물(벨기에산), 프탈산히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 제삼인산칼슘, 글리세린초산지방산에스테르, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=36142
메타그린 클린티 10입 (원산지:상세설명참조),"15,000원",40%,4.8,적당해요,"구연산, 구연산칼륨, 용성비타민P, 향료(레몬향), 올리브잎추출물(올리브잎추출물, 말토덱스트린)(스페인산), 파인애플추출분말(인도산), 향료(복숭아향분말), 레몬농축분말(레몬농축액: 이탈리아산), 함초소금, 산화마그네슘, 수크랄로스(감미료), 아세설팜칼륨(감미료), 스테비올배당체(감미료), 레몬농축분말, 필발추출물, 구아검",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64198
녹차에서 온 유산균(60일) (원산지:상세설명참조),"19,600원",30%,4.8,적당해요,"프로바이오틱스(Lactiplantibacillus plantarum APsulloc331261, Bifidobacterium animalis ssp.lactis, Lacticaseibacillus rhamnosus, Bifidobacterium breve, Bifidobacterium bifidum, Lactobacillus gasseri), 비타민 D3혼합제제 (비타민D3, 덱스트린, 에틸셀룰 로스, d-토코페롤, 중쇄중성지방), 산화아연, 자일리톨혼합분말(자일리톨, 에리스리톨, 유 당혼합분말(유당(미국산), 덱스트린), 무수구연산, 청포도향혼합제제(덱스트린, 합성향료 (청포도향), 아라비아검), 요거트혼합분말(요구르트향(이탈리아산), 요거트분말(이탈리아산))), 치커리뿌리추출물, 코코넛분말(코코넛 밀크, 말토덱스트린, 카제인나트륨)(말레이시 아산), 프락토올리고당, 스테아린산마그네슘, 제삼인산칼슘, 효소처리스테비아, 청포도향혼합제제(덱스트린, 합성향료(청포도향), 아라비아검) 대두, 우유 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=33827
슈퍼콜라겐 28입 (원산지:상세설명참조),"52,500원",30%,4.8,적당해요,"정제수, 저분자피쉬콜라겐펩타이드, 믹스베리농축액 (포도농축액(칠레산), 블루베리농축액(미국산)), 비오틴, 니코틴산아미드, 히알루론산, 엘라스틴펩타이드, 밀크세라마이드, 효모추출물 GT, 비타민C, AP콜라겐효소분해펩타이드, 글루코노델타락톤, 레몬농축액(이스라엘산), 구연산, 자일리톨(감미료), 연어추출물(DNA-Na), 락토바이탈 PDRN, 향료(믹스베리향), 향료(마스킹향), 향료(자몽향), 저분자콜라 겐펩타이드 타입 1,3, 콜라겐펩타이드-type II, 난각막콜라겐, 함초소금(천일염(국내산),퉁퉁마디추출액(국내산)), 젤란검, 수크랄로스(감미료), 아세설팜칼륨(감미료), 스테비올배당체(감미료), 울금추출물분말, 녹차다당분말 [난류(가금류), 닭고기, 우유 함유]",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64165
멀티비타민미네랄(50일)  (원산지:상세설명참조),"31,500원",10%,4.7,용량 넉넉해요,"비타민C, 비타민E혼합제제(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 니코틴산아미드, 셀레늄혼합제제(아셀렌산나트륨, 덱스트린), 베타카로틴혼합제제(베타카로틴, 젤라틴, 옥수수전분, 설탕, L-아스코르빈산나트륨, 정제수, d-토코페롤, 제삼인산칼슘), 판토텐산칼슘, 산화아연, 비타민B12혼합분말(비타민B12, 덱스트린, 구연산삼나트륨, 구연산), 황산망간, 비타민D3혼합제제(비타민D3, 아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민E), 비타민B6염산염, 비타민B1염산염, 비타민B2, 엽산, 분말 말티톨시럽, 유당혼합분말(유당(미국산), 덱스트린), 무수포도당, 이소말트, 옥수수전분(미국산), 함수포도당, 자일리톨, 코코넛밀크분말(말레이시아산), 망고과즙분말, 구연산, 망고향(정제수,덱스트린, 아라비아검, 주정, 프로필렌글리콜, 합성향료, 트리아세틴, 합성향료), 스테아린산마그네슘, 히드록시프로필메틸셀룰로스, 효소처리스테비아, 식물혼합추출물분말, 치자황색소, 산화마그네슘, 건조효모(크롬함유) 우유, 토마토, 대두, 돼지고기 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=14931
메타그린 효소 14입 (원산지:상세설명참조),"19,550원",15%,4.8,적당해요,"메타프로효소포뮬라{노란콩(국산), 탈지 대두(인도산), 백미, 효소식품, 기타가공품}, 락티톨 29%, 식물성크림[물엿, 식물성경화유지{코코넛오일 (외국산 : 인도네시아산, 말레이시아산, 필리핀산 등)}, 농축우유단백분말(오스트리아산), 제이인산칼륨, 제 삼인산칼슘, 정제소금, 글리세린지방산에스테르, 글리세린디아세틸주석산지방산에스테르, 탄산수소나트륨, 무지방우유], 자일리톨 9%, 오곡분말{현미, 보리, 조, 수수, 찰현미 국산}, 효소식품 1, 분리대두단백, 곡물 향혼합제제{혼합제제(덱스트린, 주정, 아라비아검, 합성향료, 프로필렌글리콜, 젖산), 덱스트린}, 6종혼합유산균, 이산화규소, 효소식품 2, 푸룬과즙분말, 귀리식이섬유, 이눌린치커리추출물, 난소화성말토덱스트린, 효소처리스테비아, 건조맥주효모, 아미노산혼합분말(L-페닐알라닌, L-로이신, L-메티오닌, L-라이신염산 염, 팔라티노스, L-이소로이신, L-발린, L-히스티딘, L-트레오닌, L-트립토판), 비타민무기질혼합제제{제이인산칼슘, 비타민C, 비타민E혼합제제(dl-α-토코페릴초산염, 변성전분, 포도당시럽분말, 이산화규소), 푸마르산제일철, 니코틴산아미드, 산화아연, 비타민A혼합제제(포도당시럽분말, 아라비아검, 옥수수전분, 비타민A아세테이트, dl-α-토코페롤), 판토텐산칼슘, 비타민B6염산염, 비타민B1염산염, 비타민B2, 엽산, 비오 틴}, 향료(천연티분말향) 우유, 대두, 밀, 메밀, 토마토 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64882
슈퍼레티놀 30포 (원산지:상세설명참조),"23,800원",15%,4.8,용량 넉넉해요,"리포좀 레티놀+비타민C(비타민C, 자일리톨, L-시스틴, 효소처리저분자오크라뮤신(오크라분말(중국산)), L-트레오닌, 시트러스추출분말(중국산), 판토텐산칼슘, 모링가추출물 (레티놀 5%), 말티톨시럽, 니코틴산아미드, 비타민E혼합제제분말(dl-α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민D혼합제제 (변성전분, 설탕, L-아스코브산나트륨, 해바라기유, 비타민E, 비타민D2), 레몬과즙분말(레몬과즙, 덱스트린, 아라비아검), 레시틴, 펄스에너지처리녹차분말, 울금추출물분말, 히알루론산), 자일리톨, 비타민C, 효소처리스테비아, 망고과즙분말(망고퓌레(필리핀산)), 향료(레몬라임향), 함초소금(천일염(국내산), 퉁퉁마디추출액(국내산)), 제삼인산칼슘, 구연산, 향료(자몽분말향), 스테아린산마그네슘, 산화마그네슘, 당류가공품",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64166
액티브 멀티팩(30일) (원산지:상세설명참조),"54,000원",10%,4.8,부족했어요,"비타민C혼합제제(아스코르빈산칼슘, DL-트레오닌), 글루콘산아연, 판토텐산칼슘, 푸마르산제일철, 니코틴산아미드, 건조효모(셀렌)(캐나다산), 비타민E혼합제제(dl α-토코페릴아세테이트, 옥테닐호박산나트륨전분, 정제수, 이산화규소), 비타민B1염산염, 비타민B2, 비타민B6염산염, 비타민D3혼합제제(비타민D3, 설탕, 아라비아검, 옥수수전분, 가공유지, 이산화규소, 비타민E), 건조효모(크롬), 황산망간, 비타민B12혼합분말(비타민B12, 덱스트린, 구연산삼나트륨, 구연산), 엽산, D-비오틴, 결정셀룰로스, 제삼인산칼슘, 펄스에너지처리녹차분말(국산), 프탈산히드록시프로필메틸셀룰로오스, 히드록시프로필메틸셀룰로스, 산화마그네슘, 스테아린산마그네슘, 혼합제제(히드록시프로필셀룰로스, 이산화규소), 옥수수전분(미국산), 스테아린산, 가교카르복시메틸셀룰로스나트륨, 카르복시메틸셀룰로오스칼슘, 글리세린지방산에스테르, 석류농축액분말, 울금추출물, 덱스트린, 혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, 비타민E) 대두 함유",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=18819
