상품명,가격,할인율,평점,용량,전성분,URL
NEW 나이아시카 수딩 글로우 워터리 크림30ml,"23,720원",14%,4.8,30 ml,"정제수, 글리세린, 부틸렌글라이콜, 스쿠알란, 비스-하이드록시에톡시프로필다이메티콘, 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 다이카프릴릴에터, 폴리글리세릴-3다이스테아레이트, 메틸트라이메티콘, 1,2-헥산다이올, 카카오씨버터, 카프릴릭/카프릭트라이글리세라이드, 글리세릴스테아레이트, 세테아릴알코올, 락토바실러스발효용해물, C10-18트라이글리세라이즈, 판테놀(0.5%), 피토스테롤, 팔미틱애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 스테아릭애씨드, 나이아신아마이드(0.11%), 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트시트레이트, 잔탄검, 글리세릴카프릴레이트, 에틸헥실글리세린, 트로메타민, 솔비탄아이소스테아레이트, 소듐메타포스페이트, 마데카소사이드(0.01%), 콩폴리펩타이드, 토코페롤, 징크클로라이드, 프로필렌글라이콜, 소듐하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63601
마일드 앤 퍼펙트 클렌징 오일 투 폼 200ml,"22,100원",15%,4.8,200 ml,"정제수, 글리세린, 다이프로필렌글라이콜, 라우릴베타인, 포타슘코코일글리시네이트, 라우릴글루코사이드, 폴리글리세릴-6카프릴레이트, 다이소듐코코암포다이아세테이트, 1,2-헥산다이올, 라우릴하이드록시설테인, 코코-글루코사이드, 폴리글리세릴-10라우레이트, 아크릴레이트코폴리머, 소듐클로라이드, 데실글루코사이드, 피피지-7, 향료, 카프릴릭/카프릭트라이글리세라이드, 호호바씨오일, 폴리글리세릴-10다이아이소스테아레이트, 에틸헥실글리세린, 알지닌, 아스파틱애씨드, 글루타믹애씨드, 콩폴리펩타이드, 덱스트린, 카카오추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54433
NEW 비타티놀 바운시 리프트 세럼 30g*2입,"51,660원",18%,4.8,30gX2 ( 30g+ 30g),"정제수, 부틸렌글라이콜, 글리세린, 메틸글루세스-20, 아스코빌글루코사이드, 나이아신아마이드, 카프릴릴메티콘, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리아이소부텐, 1,2-헥산다이올, 트로메타민, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리솔베이트20, 폴리아크릴레이트-13, 다이메티콘, 판테놀, 소듐스테아로일글루타메이트, 소듐시트레이트, 폴리아이소부텐, 폴리아크릴레이트크로스폴리머-6, 다이메틸아이소소바이드, 락토바실러스/콩추출물발효여과물, 해바라기씨오일, 옥수수전분, 돌콩오일, 만니톨, 수크로오스, 마이크로크리스탈린셀룰로오스, 글리세릴카프릴레이트, 스핑고모나스발효추출물, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 소듐메타포스페이트, 당근추출물, 아데노신, 하이드록시피나콜론레티노에이트, 시트릭애씨드, 레티놀, 티타늄디옥사이드 (CI 77891), 황색산화철, 엑토인, 하이드로제네이티드레시틴, 아스코빅애씨드, 베타-카로틴, 토코페롤, 펜틸렌글라이콜, 프로필렌글라이콜, 소듐하이알루로네이트, 카보머, 아세틸테트라펩타이드-11, 아라비아고무나무검, 프로필렌글라이콜알지네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66137
후리 앤 후리 200ml,"26,350원",15%,4.8,200ml,"정제수, 부틸렌글라이콜, 하이드록시프로필메틸셀룰로오스, 라우릴베타인, 다이소듐이디티에이, 에틸헥실글리세린, 향료, 시트릭애씨드, 불가리스쑥오일, 덱스트린, 황해쑥잎수, 글리세린, 검정콩오일, 1,2-헥산다이올, 락토바실러스발효용해물, 토코페롤, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 소듐시트레이트, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=18956
마일드 포어 필링 패드 60매(+30매*2개) 기획세트(총120매),"25,350원",35%,4.8,60매(+30매*2),"정제수, 부틸렌글라이콜, 글리세레스-26, 나이아신아마이드, 프로판다이올, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 글리세린, 글루 코노락톤, 에틸헥실글리세린, 스쿠알란, 세틸에틸헥사노에이트, 하이드록시에틸셀룰로오스, 잔탄검, 카프릴로일살리실릭애씨드, 하이드로제네이티 드폴리데센, 올리브오일, 하이드로제네이티드레시틴, 탱자추출물, 폴리글리세릴-3메틸 글루코오스다이스테아레이트, 시트릭애씨드, 다이소듐이디티 에이, 판테놀, 소듐시트레이트, 효모발효물, 카프릴릭/카프릭트라이글리세라이드, 락토바실러스발효물, 리모넨, 베르가모트오일, 브루셀스프라 우트추출물, 리날룰, 토코페롤, 병풀추출물, 약모밀추출물, 콩폴리펩타이드, 향부자 추출물, 소듐아스코빌포스페이트, 칡뿌리추출물, 당느릅나무 뿌리추출물, 달맞이꽃추출물, 대왕소나무잎추출물, 세라마이드엔피, 조추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64394
나이아시카 수딩글로우 워터리 크림 30ml,"19,470원",14%,4.9,30 ml,"정제수, 글리세린, 부틸렌글라이콜, 스쿠알란, 비스-하이드록시에톡시프로필다이메티콘, 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 다이카프릴릴에터, 폴리글리세릴-3다이스테아레이트, 메틸트라이메티콘, 1,2-헥산다이올, 카카오씨버터, 카프릴릭/카프릭트라이글리세라이드, 글리세릴스테아레이트, 세테아릴알코올, 락토바실러스발효용해물, C10-18트라이글리세라이즈, 판테놀(0.5%), 피토스테롤, 팔미틱애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 스테아릭애씨드, 나이아신아마이드(0.11%), 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트시트레이트, 잔탄검, 글리세릴카프릴레이트, 에틸헥실글리세린, 트로메타민, 솔비탄아이소스테아레이트, 소듐메타포스페이트, 마데카소사이드(0.01%), 콩폴리펩타이드, 토코페롤, 징크클로라이드, 프로필렌글라이콜, 소듐하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63713
워터리 에센스 250ml,"27,200원",20%,4.8,250ml,"정제수, 프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 다이소듐이디티에이, 에틸헥실글리세린, 덱스트린, 카카오추출물, 에탄올, 하이알루로닉애씨드, 황금추출물, 약모밀추출물, 글루코노락톤, 사철쑥추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=49308
알파인 베리 워터리 크림 100ml,"49,600원",20%,4.9,100ml,"정제수, 글리세린, 부틸렌글라이콜, 스쿠알란, 비스-하이 드록시에톡시프로필다이메티콘, 카프릴릭/카프릭/미리스틱/스테 아릭트라이글리세라이드, 수크로오스폴리스테아레이트, 나이아신 아마이드, 다이카프릴릴에터, 메틸트라이메티콘, 우레아, 펜타 에리스리틸테트라에틸헥사노에이트, 1,2-헥산다이올, 글리세릴 스테아레이트, 카카오씨버터, 폴리글리세릴-3메틸글루코오스 다이스테아레이트, 스테아릭애씨드, 피토스테롤, 팔미틱애씨드, 하이드로제네이티드폴리아이소부텐, 하이드록시에틸아크릴 레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 세테아릴 알코올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 잔탄검, 글리세릴카프릴레이트, 트로메타민, 에틸헥실글리세린, 향료, 솔비탄아이소스테아레이트, 다이소듐이디티에이, 리모넨, 마데카소사이드, 서양산딸기추출물(40ppm), 리날룰, 미리스틱 애씨드, 아라키딕애씨드, 토코페롤, 야생딸기잎추출물(5ppm), 돌콩오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50191
비타티놀 세럼 메가샷 마스크 34g 1입,"5,950원",15%,4.8,34 g X 1매,"정제수, 글리세린, 다이프로필렌글라이콜, 세틸에틸헥사노에이트, 나이아신아마이드(20,000ppm), 1,2-헥산다이올, 판테놀(13,000ppm), 캐롭검, 카라기난, 다이글리세린, 아이리쉬모스추출물, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 에틸헥실올리베이트, 잔탄검, 셀룰로오스검, 포타슘클로라이드, 폴리아크릴레이트-13, 글리세릴스테아 레이트, 소듐아크릴레이트코폴리머, 수크로오스, 폴리글리세릴-4올리에이트, 에틸헥실글리세린, 하이드로제네이 티드폴리아이소부텐, 아데노신, 다이소듐이디티에이, 아가, 향료, 폴리글리세릴-10라우레이트, 에틸헥실팔미테이트, 구아검, 콩폴리펩타이드, 마그네슘아스코빌포스페이트(98.85ppm), 부틸렌글라이콜, 솔비탄아이소스테아레이트, 레틴알(50ppm), 아스코빅애씨드(10.5ppm), 해바라기씨오일, 돌콩오일, 세라마이드엔피, 하이드로제네이티드 레시틴, 크산토필, 레티놀(1ppm), 포스포릭애씨드(0.65ppm), 소듐아스코빌포스페이트(0.4ppm), 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62715
레티놀 볼륨 립 세럼 12g,"23,780원",18%,4.6,12g,"(스카이코랄) 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리아이소부텐, 카프릴릭/카프릭트라이글리세라이드, 에틸렌/프로필렌/스타이렌코폴리머, 토코페릴아세테이트, 폴리글리세릴-2트라이아이소스테아레이트, 부틸렌/에틸렌/스타이렌코폴리머, 멘톡시프로판다이올, 적색226호, 돌콩오일, 아스코빌테트라이소팔미테이트, 적색산화철, 리모넨, 황색5호, 티타늄디옥사이드 (CI 77891), 레티놀, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트, 정제수, 제라니올, 필리핀오렌지껍질오일, 광곽향오일, 글리세린, 베르가모트오일, 리날룰, 시트로넬올, 마트리카리아꽃오일, 센티드제라늄꽃오일, 프로판다이올, 세라마이드엔피, 콩폴리펩타이드, 팔마로사오일, 락토바실러스발효용해물, 라벤더오일, 오렌지껍질추출물, 피마자씨오일, 흑색산화철, 부틸렌글라이콜, 소듐하이알루로네이트, 하이드롤라이즈드익스텐신, 호호바씨오일, 폴리글리세릴-10라우레이트, 로즈마리잎오일, 1,2-헥산다이올, 하이드롤라이즈드하이알루로닉애씨드, 하이드로제네이티드레시틴, 다마스크장미꽃오일, 토코페롤, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60637
마일드 앤 퍼펙트 클렌징 오일 투 폼 300ml,"28,900원",15%,4.8,300 ml,더 보기,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63011
인리치드 클렌징 티슈 60매 300g,"22,950원",15%,4.8,60매 300g,"정제수, 아이소프로필팔미테이트, 코코-카프릴레이트/카프레이트, 부틸렌글라이콜, 아이소도데케인, 아이소노닐아이소노나노에이트, 1,2-헥산다이올, 다이에톡시에틸석시네이트, 카프릴릴글라이콜, 리모넨, 카프릴릴/카프릴글루코사이드, 향료, 에틸헥실글리세린, 소듐메타포스페이트, 리날룰, 소듐시트레이트, 시트릭애씨드, 동백나무씨오일, 호호바씨오일, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67261
