상품명,가격,할인율,평점,용량,전성분,URL
자연을 닮은 립밤,"9,000원",40%,4.7,3.2g,"카프릴릭/카프릭트라이글리세라이드, 피토스테릴이소스테아릴다이머디리놀리에이트, 호호바씨오일, 다이아이소스테아릴말레이트, 하이드로제네이티드폴리아이소부텐, 비스-다이글리세릴폴리아실아디페이트-2, 하이드로제네이티드캐스터오일다이머다이리놀레에이트, 비즈왁스, 합성왁스, 마이크로크리스탈린왁스, 폴리에틸렌, 야자씨버터, 토코페릴아세테이트, 칸데릴라왁스에스터, 향료, 폴리글리세릴-2트라이아이소스테아레이트, 카나우바왁스, 적색227호, 적색218호, 티타늄디옥사이드 (CI 77891), 폴리글리세릴-2다이아이소스테아레이트, 정제수, 적색산화철, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 비에이치티, 낫토검, 돌콩추출물, 에틸헥실글리세린, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19729
흰감국 광채 선크림 SPF50+/PA++++ 70ml,"28,000원",30%,4.9,70ml,"정제수, C12-15알킬벤조에이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 호모살레이트, 에칠헥실살리실레이트, 티타늄디옥사이드, 다이아이소프로필세바케이트, 글리세린, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 나이아신아마이드, 폴리실리콘-15, 세테아릴알코올, 1,2-헥산다이올, 아이소프로필팔미테이트, 퀸즈랜드넛오일, 폴리C10-30알킬아크릴레이트, 실리카, 티타늄디옥사이드 (CI 77891), 알루미늄스테아레이트, 폴리아크릴레이트크로스폴리머-6, 알루미나, 스테아릭애씨드, 폴리하이드록시스테아릭애씨드, 향료, 글리세릴스테아레이트, 하이드로제네이티드레시틴, 에틸헥실글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 세테아릴글루코사이드, 카프릴릴글라이콜, 생강오일, 리날룰, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 아데노신, 알루미늄하이드록사이드, 리모넨, 트라이에톡시카프릴릴실레인, 소듐메타포스페이트, 락토바실러스발효물, 벤질알코올, 감국꽃추출물, 유제놀, 미리스틱애씨드, 라우릭애씨드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=18417
부들밤 말끔피지 모공팩 기획세트,"18,900원",30%,4.8,[본품] 한율 부들밤 말끔피지 모공팩 100ml [증정] 한율 부들밤 말끔피지 모공팩 15ml 한율 부들밤 모공수축 패드 6ml 1회용 파우치 x 2,"정제수, 카올린(150,000 ppm), 부틸렌글라이콜, 글리세린, 변성알코올, 실리카, 벤토나이트, 씨실트(30,000 ppm), 마이크로크리스탈린셀룰로오스, 1,2-헥산다이올, 밤껍질가루(10,000 ppm), 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 적색산화철, 황색산화철, 향료, 흑색산화철, 셀룰로오스검, 글리세릴카프릴레이트, 소듐메타포스페이트, 에틸헥실글리세린, 프로판다이올, 멘톡시프로판다이올, 솔비탄아이소스테아레이트, 살리실릭애씨드, 밤껍질추출물(100 ppm), 글라이콜릭애씨드, 락토바실러스발효물, 알로에베라잎추출물, 브로콜리추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52582
어린쑥 수분진정 토너 150ml,"18,900원",30%,4.7,150ml,"정제수, 부틸렌글라이콜, 베타인, 글리세린, 황해쑥잎수, 1,2-헥산다이올, 판테놀, 피피지-13-데실테트라데세스-24, 2,3-부탄다이올, 향료, 에틸헥실글리세린, 잔탄검, 다이소듐이디티에이, 프로판다이올, 레시틴, 락토바실러스발효물, 이눌린라우릴카바메이트, 황해쑥잎추출물, 토코페롤, 병풀꽃/잎/줄기추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=17949
랩핑 마스크 기획세트 4매 (+1매 증정),"8,000원",50%,4.9,23g*5,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 황해쑥잎수, 1,2-헥산다이올, 판테놀, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 메틸트라이메티콘, 알란토인, 2,3-부탄다이올, 에틸헥실글리세린, 향료, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아데노신, 트로메타민, 다이소듐이디티에이, 프로판다이올, 레시틴, 락토바실러스발효물, 이눌린라우릴카바메이트, 황해쑥잎추출물, 병풀꽃/잎/줄기추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61586
어린쑥 수분진정 플루이드 125ml,"22,400원",30%,4.8,125ml,"정제수, 프로판다이올, 글리세린, 메틸트라이메티콘, 황해쑥잎수, 1,2-헥산다이올, 피씨에이다이메티콘, 천궁수, 왜당귀뿌리수, 실리카, 판테놀, 부틸렌글라이콜, 폴리메틸실세스퀴옥세인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-6카프릴레이트, 폴리글리세릴-4카프레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 글리세릴카프릴레이트, 향료, 2,3-부탄다이올, 에틸헥실글리세린, 다이소듐이디티에이, 레시틴, 락토바실러스발효물, 이눌린라우릴카바메이트, 황해쑥잎추출물, 병풀꽃/잎/줄기추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=18694
자연을 닮은 핸드크림 50ml,"5,400원",40%,4.7,50ml,"정제수, 글리세린, 부틸렌글라이콜, 에탄올, 디메치콘, 베타인, 폴리메칠실세스퀴옥산, 하이드로제네이티드폴리(C6-14올레핀), 천궁추출물, 일당귀추출물, 애엽수(4,205 ppm), 글리세릴카프릴레이트, 암모늄아크릴로일디메칠타우레이트/베헤네스-25메타크릴레이트크로스폴리머, 에칠헥실글리세린, 폴리소르베이트20, 하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머, 페녹시에탄올, 디소듐이디티에이, 향료, 제라니올, 벤질살리실레이트, 벤질알코올, 리날룰, 리모넨",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=17876
빨간쌀 보습탄력 2종 세트,"58,100원",30%,4.8,에센스 스킨 150ml / 에멀젼 125ml,"[에센스] 정제수, 글리세린, 부틸렌글라이콜, 만니톨, 나이아신아마이드, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 쌀발효여과물, 카보머, 피피지-13-데실테트라데세스-24, 합성왁스, 트로메타민, 식물성스쿠알란, 카프릴릴글라이콜, 에틸헥실글리세린, 아데노신, 하이드로제네이티드레시틴, 향료, 판테놀, 폴리글리세릴-10스테아레이트, 다이소듐이디티에이, 락토바실러스발효물, 세라마이드엔피, 콜레스테롤, 스테아릭애씨드, 하이드롤라이즈드익스텐신, 호호바씨오일, 폴리글리세릴-10라우레이트, 팔미틱애씨드, 토코페롤 [에멀젼] 정제수, 글리세린, 프로판다이올, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리아이소부텐, 폴리글리세린-3, 다이메티콘, 다이아이소스테아릴말레이트, 나이아신아마이드, C14-22알코올, 시어버터, 피씨에이다이메티콘, 천궁수, 왜당귀뿌리수, 1,2-헥산다이올, 글리세릴스테아레이트시트레이트, 글리세릴폴리메타크릴레이트, C12-20알킬글루코사이드, 부틸렌글라이콜, 글리세릴스테아레이트, 세테아릴알코올, 하이드로제네이티드식물성오일, 스테아릭애씨드, 카보머, 쌀발효여과물, 트로메타민, 향료, 잔탄검, 글리세릴카프릴레이트, 팔미틱애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 아데노신, 덱스트린, 합성왁스, 카카오추출물, 식물성스쿠알란, 락토바실러스발효물, 하이드로제네이티드레시틴, 판테놀, 폴리글리세릴-10스테아레이트, 세라마이드엔피, 토코페롤, 하이드롤라이즈드익스텐신, 호호바씨오일, 폴리글리세릴-10라우레이트, 콜레스테롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59290
어린쑥 매끈결 클렌징 오일 기획세트 (200ml+팩폼15ml),"19,600원",30%,4.8,200ml + 어린쑥 클렌징 팩폼 15ml,"카프릴릭/카프릭트라이글리세라이드, 아이소프로필팔미테이트, 에틸헥실팔미테이트, 폴리글리세릴-6다이카프레이트, 폴리글리세릴-10다이아이소스테아레이트, 정제수, 향료, 2,3-부탄다이올, 해바라기씨오일, 프로판다이올, 레시틴, 당근추출물, 락토바실러스발효물, 1,2-헥산다이올, 알지닌, 피토스테롤, 부틸렌글라이콜, 글리세린, 이눌린라우릴카바메이트, 시트릭애씨드, 살리실릭애씨드, 글루코노락톤, 황해쑥잎추출물(10ppm), 황해쑥잎수(8.7ppm), 병풀꽃/잎/줄기추출물, 토코페롤, 에틸헥실글리세린, 베타-카로틴",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19356
부들밤 깔끔각질 모공팩 기획세트,"18,900원",30%,4.8,[본품] 한율 부들밤 깔끔각질 모공팩 100ml [증정] 한율 부들밤 깔끔각질 모공팩 (견 15ml 한율 부들밤 모공수축 패드 1회용 6ml x 2,"정제수, 부틸렌글라이콜, 소듐카복시메틸스타치, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세린, 밤껍질가루(20,000 ppm), 하이드로제네이티드폴리(C6-14올레핀), 다이카프릴릴에터, 1,2-헥산다이올, 세테아릴알코올, 세틸에틸헥사노에이트, 글리세릴스테아레이트, 카보머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 피이지-100스테아레이트, 트로메타민, 잔탄검, 글리세릴카프릴레이트, 덱스트린, 향료, 카카오추출물, 소듐메타포스페이트, 에틸헥실글리세린, 프로판다이올, 솔비탄아이소스테아레이트, 멘톡시프로판다이올, 잇꽃꽃추출물, 밤껍질추출물(100 ppm), 글루코노락톤, 락토바실러스발효물, 알로에베라잎추출물, 브로콜리추출물, 빌베리열매추출물, 사탕수수추출물, 토코페롤, 오렌지추출물, 레몬추출물, 소듐하이알루로네이트, 설탕단풍추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52583
