상품명,가격,할인율,평점,용량,전성분,URL
모이스처 퍼퓸 바디워시 760g,"5,900원",40%,4.8,760g,"정제수, 소듐라우레스설페이트, 코카미도프로필베타인, 암모늄라우릴설페이트, 소듐클로라이드, 솔비톨, 향료(화이트머스크향 0.7%), 소듐벤조에이트, 페녹시에탄올, 시트릭애씨드, 벤질벤조에이트, 다이소듐이디티에이, 리날룰, 헥실신남알, 아르간커넬오일, 올리브오일, 호호바씨오일, 스위트아몬드오일, 퀸즈랜드넛오일, 생강오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52917
오리지널 컬렉션 바디워시 910g,"8,900원",10%,4.8,910g,"정제수, 소듐라우레스설페이트, 코카미도프로필베타인, 소듐클로라이드, 솔비톨, 향료(오리지널향 0.98%), 소듐벤조에이트, 시트릭애씨드, 페녹시에탄올, 벤질벤조에이트, 폴리쿼터늄-7, 다이소듐이디티에이, 헥실신남알, 폴리쿼터늄-10, 리날룰, 리모넨, 판테놀",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=51433
정말 촉촉/순한 바디밀크 400g,"5,900원",25%,4.8,400g,"정제수, 부틸렌글라이콜, 글리세린, 해바라기씨오일, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 다이메티콘, 세테아릴알코올, 시어버터, 글리세릴스테아레이트, 향료 (애플바나나 향 0.3%) , 카보머, 잔탄검, 카프릴릴글라이콜, 글리세릴카프릴레이트, 에틸헥실글리세린, 소듐메타포스페이트, 포타슘하이드록사이드, 벤질벤조에이트, 헥실신남알, 리날룰, 리모넨, 프로판다이올, 바나나추출물, 사과추출물, 바실러스/소이빈발효추출물, 토코페롤, 1,2-헥산다이올, 소듐벤조에이트, 쌀겨추출물, 다이소듐이디티에이, 하이드록시프로필사이클로덱스트린",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20149
PH 4.5 약산성 여성청결제 300ml,"8,900원",25%,4.5,300ml,"정제수, 부틸렌글라이콜, 하이드록시프로필메틸셀룰로오스, 황해쑥잎수(8390ppm), 라우릴베타인, 향료, 다이소듐이디티에이, 에틸헥실글리세린, 시트릭애씨드, 1,2-헥산다이올, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19650
제로퍼센트 저자극 버블핸드워시 500ml,"8,900원",31%,4.8,500ml,"정제수, 글리세린, 라우릴베타인, 다이프로필렌글라이콜, 1,2-헥산다이올, 카프릴릴글라이콜, 시트릭애씨드, 다이소듐이디티에이, 에틸헥실글리세린, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52309
오리지널 컬렉션 바디로션 500g,"8,500원",14%,4.8,500g,"정제수, 부틸렌글라이콜, 글리세린, 해바라기씨오일, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 세테아릴알코올, 다이메티콘, 시어버터, 글리세릴스테아레이트, 향료(오리지널향 0.25%), 카보머, 잔탄검, 카프릴릴글라이콜, 글리세릴카프릴레이트, 다이소듐이디티에이, 에틸헥실글리세린, 포타슘하이드록사이드, 벤질벤조에이트, 헥실신남알, 리날룰, 리모넨, 판테놀, 아르간커넬오일, 올리브오일, 호호바씨오일, 인카르나타시계꽃씨오일, 코코넛야자오일, 토코페롤, 코코-카프릴레이트/카프레이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53240
마이크로 클린 솝베리 버블 클렌징폼 300ml,"8,900원",43%,4.7,300ml,"정제수, 글리세린, 솔비톨, 다이프로필렌글라이콜, 미리스틱애씨드, 라우릭애씨드, 라우릴베타인, 포타슘코코일글리시네이트, 포타슘하이드록사이드, 변성알코올, 살리실릭애씨드, 폴리쿼터늄-7, 향료, 미리스틸알코올, 다이소듐이디티에이, 리날룰, 헥실신남알, 테트라소듐이디티에이, 락토바실러스발효용해물, 부틸렌글라이콜, 소듐벤조에이트, 시트릭애씨드, 1,2-헥산다이올, 트리리프솝베리열매추출물(0.45ppm)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19465
오리지널컬렉션 솝라벤더 비누 4입,"5,950원",50%,4.8,90g*4입,"소듐팔메이트, 소듐팜커넬레이트, 정제수, 팜커넬애씨드, 향료(솝 라벤더향 1.56%), 다이소듐라우릴설포석시 네이트, 소듐클로라이드, 글리세린, 리날룰, 헥실신남알, 하이드록시시트로넬알, 시트로넬올, 리모넨, 테트라 소듐이디티에이, 테트라소듐에티드로네이트, 에티드 로닉애씨드, 코카미도프로필베타인, 적색산화철, 쿠마린, 부틸렌글라이콜, 라벤더꽃추출물, 아르간커넬오일, 코코넛야자오일, 해바라기씨오일, 올리브오일, 호호바씨 오일, 페녹시에탄올, 소듐벤조에이트, 에틸헥실글리세린",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54608
오리지널 컬렉션 샤워 젤리 75g,"9,900원",9%,4.8,75g,"정제수, 글리세린, 소듐라우레스설페이트, 프로판다이올, 카라기난, 향료(대나무향 1%), 소듐벤조에이트, 페녹시에탄올, 소듐메타포스페이트, 리모넨, 시트릭애씨드, 하이드록시시트로넬알, 시트로넬올, 칼슘소듐보로실리케이트, 헥실신남알, 다이소듐이디티에이, 리날룰, 티타늄디옥사이드 (CI 77891), 판테놀, 황색4호, 청색1호, 세라마이드엔피, 틴옥사이드, 밤부사 불가리스추출물(600ppb), 삼나무잎추출물, 소듐하이알루로네이트, 1,2-헥산다이올, 적색227호, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67220
필쏘굿 풋샴푸 500ml,"5,900원",14%,4.8,500ml,"정제수, 라우릭애씨드, 변성알코올, 포타슘하이드록사이드, 미리스틱애씨드, 라우릴하이드록시설테인, 향료, 멘톨, 소듐클로라이드, 스테아릭애씨드, 팔미틱애씨드, 리모넨, 폴리쿼터늄-7, 리날룰, 하이드록시시트로넬알, 알파아이소메틸아이오논, 소듐벤조에이트, 락틱애씨드, 프로판다이올, 하이드 록시프로필사이클로덱스트린, 시트릭애씨드, 글라이콜릭애씨드, 소듐하이 알루로네이트, 1,2-헥산다이올, 하이드롤라이즈드하이알루로닉애씨드, 소듐 하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 에틸헥실글리세린, 소듐메타포스페이트, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64576
