상품명,가격,할인율,평점,용량,전성분,URL
UV프로텍터 톤업 SPF50+/PA++++ 50ml,"40,500원",10%,4.8,50ml,"정제수, 에칠헥실메톡시신나메이트, 글리세린, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 다이부틸아디페이트, 티타늄디옥사이드, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 메틸트라이메티콘, C12-15알킬벤조에이트, 다이메티콘, 실리카, 티타늄디옥사이드 (CI 77891), 나이아신아마이드, 트라이실록세인, 1,2-헥산다이올, 세테아릴알코올, 폴리C10-30알킬아크릴레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 알루미늄스테아레이트, 알루미나, 스테아릭애씨드, 폴리하이드록시스테아릭애씨드, 폴리메틸메타크릴레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐폴리아크릴로일다이메틸타우레이트, 글리세릴스테아레이트, 하이드로제네이티드레시틴, 카프릴릴글라이콜, 티몰트라이메톡시신나메이트, 트로메타민, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 알루미늄하이드록사이드, 적색산화철, 솔비탄아이소스테아레이트, 트라이에톡시카프릴릴실레인, 황색산화철, 토코페릴아세테이트, 3-O-에틸아스코빅애씨드, 락토바실러스/부레옥잠발효물, 만니톨, 프로판다이올, 에틸헥실팔미테이트, 비에이치티, 펜틸렌글라이콜, 미리스틱애씨드, 페녹시에탄올, 라우릭애씨드, 소듐데하이드로아세테이트, 카보머, 소듐시트레이트, 포타슘솔베이트, 토코페롤, 메톡시피이지-114/폴리엡실론카프로락톤, 복사나무잎추출물, 해바라기씨오일, 라이신, 알지닌, 히스티딘, 시트릭애씨드, 베타-카로틴, 글루코오스, 자일로오스, 디엔에이, 바이오틴, 만노오스, 소듐클로라이드, 레시틴, 하이드로제네이티드포스파티딜콜린, 카퍼트라이펩타이드-1, 소듐포스페이트, 덱스트린, 하이드롤라이즈드오크라추출물, 콜레스테롤, 푸코오스, 다이팔미토일하이드록시프롤린, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 포타슘클로라이드, 포타슘포스페이트, 마그네슘클로라이드, 하이드롤라이즈드기장, 칼슘클로라이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50165
NEW 블랙 쿠션 파운데이션 SPF34/PA++ (본품15g+리필15g),"66,600원",10%,4.9,15g*2,"[13N1] 정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 아크릴레이트/다이메티콘코폴리머, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 향료, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에이, 흑색산화철, 콘민트잎추출물, 비스머스옥시클로라이드, 커먼자스민꽃추출물, 아이소도데케인, 1,2-헥산다이올, 비에이치티, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 하이알루로닉애씨드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61257
NEW 블랙 쿠션 파운데이션 SPF34/PA++ 15g,"34,200원",10%,4.9,15g,"[13N1] 정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 아크릴레이트/다이메티콘코폴리머, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 향료, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에이, 흑색산화철, 콘민트잎추출물, 비스머스옥시클로라이드, 커먼자스민꽃추출물, 아이소도데케인, 1,2-헥산다이올, 비에이치티, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 하이알루로닉애씨드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61258
센슈얼 누드 글로스 5g,"36,000원",10%,4.8,5g,"다이펜타에리스리틸펜타아이소스테아레이트, 폴리글리세릴-10데카아이소스테아레이트, 하이드로제네이티드폴리아이소부텐, 다이아이소스테아릴말레이트, 폴리부텐, 트라이데실트라이멜리테이트, 실리카다이메틸실릴레이트, 펜타에리스리틸테트라이소스테아레이트, 다이팔미토일하이드록시프로린, 폴리글리세릴-2트라이아이소스테아레이트, 적색산화철, 멘톨, 티타늄디옥사이드 (CI 77891), 리모넨, 흑색산화철, 레몬껍질오일, 토코페롤, 달맞이꽃오일, 피토스테롤, 시트랄, 적색202호, 알루미나, 시트로넬올, 센티드제라늄꽃오일, 리날룰, 제라니올",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=31573
리프레싱 클렌징 폼 160g,"28,000원",20%,4.8,160g,"글리세린, 정제수, 미리스틱애씨드, 카올린, 스테아릭애씨드, 피이지-32, 포타슘하이드록사이드, 팔미틱애씨드, 라우릭애씨드, 코카미도프로필베타인, 글리세릴스테아레이트, 피이지-100스테아레이트, 올리브오일피이지-8에스터, 향료, 소듐클로라이드, 옥수수전분, 마이크로크리스탈린셀룰로오스, 락토오스, 소듐메타포스페이트, 수크로오스, 부틸렌글라이콜, 락틱애씨드, 리날룰, 알란토인, 소듐벤조에이트, 리모넨, 티타늄디옥사이드 (CI 77891), 알지닌, 티몰트라이메톡시신나메이트, 나이아신아마이드, 3-O-에틸아스코빅애씨드, 시트릭애씨드, 프로판다이올, 글라이콜릭애씨드, 토코페릴아세테이트, 1,2-헥산다이올, 적색산화철, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 하이드롤라이즈드식물성단백질, 황색산화철, 모란추출물, 소듐하이알루로네이트, 잔탄검, 에틸헥실글리세린, 다이소듐이디티에이, 세라마이드엔피, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 작약뿌리추출물, 소듐아세틸레이티드하이알루로네이트, 작약꽃추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61126
실키 스테이 24H 롱웨어 파운데이션 SPF20/PA++ 30g,"63,000원",10%,4.8,30g,"""정제수, 사이클로펜타실록세인, 티타늄디옥사이드 (CI 77891), 트라이메틸실록시실리케이트, 부틸렌글라이콜, 피이지/피피지-18/18다이메티콘, 사이클로헥사실록세인, 티타늄디옥사이드, 아이소도데케인, 나일론-12, 피이지-10다이메티콘, 폴리글리세릴-3다이아이소스테아레이트, 트라이베헤닌, 다이스테아다이모늄헥토라이트, 황색산화철, 소듐클로라이드, 폴리메틸실세스퀴옥세인, 1,2-헥산다이올, 알루미늄하이드록사이드, 펜틸렌글라이콜, 트라이에톡시카프릴릴실레인, 알루미나, 카프릴릴글라이콜, 적색산화철, 향료, 글리세릴카프릴레이트, 실리카다이메티콘실릴레이트, 잔탄검, 다이소듐이디티에이, 시메티콘, 흑색산화철, 프로필렌글라이콜, 소듐하이알루로네이트, 에틸헥실글리세린 """,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=51475
블랙 쿠션 파운데이션 퍼프 2ea,"7,200원",10%,4.9,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61259
센슈얼 누드 밤 3.5g,"36,000원",10%,3.5,3.5g,"하이드로제네이티드캐스터오일다이머다이리놀레에이트, 스쿠알란, 폴리글리세릴-2트라이아이소스테아레이트, 피토스테릴이소스테아릴다이머디리놀리에이트, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 해바라기씨왁스, 콜레스테릴아이소스테아레이트, 에틸헥실하이드록시스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 호호바에스터, 시어버터, 팔미틱애씨드, 폴리하이드록시스테아릭애씨드, 토코페롤, 카나우바왁스, 세라마이드엔피, 콜레스테롤, 스테아릭애씨드, 토코페릴아세테이트, 실리카다이메틸실릴레이트, 시어버터불검화물, 리모넨, 락틱애씨드, 티타늄디옥사이드 (CI 77891), 레몬껍질오일, 다이페닐다이메티콘, 적색104호의(1), 알루미나, 적색223호, 정제수, 시트로넬올, 센티드제라늄꽃오일, 시트랄, 제라니올, 리날룰, 석류씨오일, 레시틴, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 폴리글리세릴-3폴리리시놀리에이트, 프로판다이올, 소듐하이알루로네이트, 1,2-헥산다이올, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55828
센슈얼 틴티드 샤인스틱 3.5g,"40,500원",10%,3.5,3.5g,"다이펜타에리스리틸펜타아이소스테아레이트, 세틸에틸헥사노에이트, 다이페닐다이메티콘, 글리세릴운데실다이메티콘, 피토스테릴/옥틸도데실라우로일글루타메이트, 합성왁스, 옥틸도데칸올, 비스-베헤닐/아이소스테아릴/피토스테릴다이머다이리놀레일다이머다이리놀리에이트, 폴리글리세릴-2트라이아이소스테아레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드 (CI 77891), 적색산화철, 폴리하이드록시스테아릭애씨드, 에틸렌/프로필렌코폴리머, 적색202호, 레시틴, 황색4호, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 다이메티콘, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 벤질벤조에이트, 향료, 스쿠알란, 토코페릴아세테이트, 녹차씨오일, 토코페롤, 글리세린, 콩폴리펩타이드, 리날룰, 하이드록시시트로넬알, 검정콩오일, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64020
NEW 리플렉션 스킨 글로우 파운데이션 SPF15/PA++ 30g,"64,800원",10%,4.8,30g,"정제수, 페닐트라이메티콘, 티타늄디옥사이드 (CI 77891), 아이소도데케인, 변성알코올, 에칠헥실살리실레이트, 트라이메틸실록시실리케이트, 다이메티콘, 피토스테릴/옥틸도데실라우로일글루타메이트, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 옥틸도데실네오펜타노에이트, 카프릴릴메티콘, 락틱애씨드, 티타늄디옥사이드, 다이스테아다이모늄헥토라이트, 세틸피이지/피피지-10/1다이메티콘, 알루미늄하이드록사이드, 포타슘하이드록사이드, 솔비탄세스퀴올리에이트, 흰버드나무껍질추출물, 트로메타민, 황색산화철, 스테아릭애씨드, 보론나이트라이드, 다이소듐스테아로일글루타메이트, 폴리하이드록시스테아릭애씨드, 토코페릴아세테이트, 프로필렌카보네이트, 아크릴레이트/다이메티콘코폴리머, 소듐메타포스페이트, 적색산화철, 레시틴, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 폴리글리세릴-3폴리리시놀리에이트, 프로필렌글라이콜, 아이소프로필미리스테이트, 흑색산화철, 1,2-헥산다이올, 프로판다이올, 소듐하이알루로네이트, 스테아로일글루타믹애씨드, 판테놀, 동백나무씨오일, 동백나무씨추출물, 동백나무꽃추출물, 토코페롤, 에틸헥실글리세린, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59738
