상품명,가격,할인율,평점,용량,전성분,URL
홀리추얼 래디언스 리설페이싱 필 12매,"44,640원",7%,4.9,12매 (1회분 3ml X 2매),"[스텝1] 정제수, 부틸렌글라이콜, 글루코노락톤, 다이프로필렌글라이콜, 트로메타민, 1,2-헥산다이올·폴리솔베이트80, 토코페릴아세테이트, 에틸헥실글리세린, 다이소듐이디티에이, 향료, 리모넨, 얼룩파인애플추출물, 리날룰, 글리세린, 제라니올, 파파야열매추출물, 하이드로제네이티드레시틴, 폴리글리세릴-10스테아레이트, 판테놀, 소듐아스코빌포스페이트, 나이아신아마이드, 바이오틴, 폴릭애씨드, 피리독신, 토코페롤, 사이아노코발아민, 베타-카로틴, 이노시톨, 리놀레익애씨드, 리보플라빈, 티아민에이치씨엘 [스텝2] 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 폴리글리세릴-10미리스테이트, 트레할로오스, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 트로메타민, 향료, 리모넨, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 리날룰, 흑효모발효물, 제라니올, 레스베라트롤, 비피다발효용해물, 소듐하이알루로네이트, 락토코쿠스발효용해물, 에델바이스캘러스배양추출물, 카퍼트라이펩타이드-1, 팔미토일펜타펩타이드-4, 트라이펩타이드-1, 다이펩타이드-2, 올리고펩타이드-1",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=31333
홀리추얼 코어 리프트 액티베이팅 세럼 140ml,"92,400원",12%,4.8,더 보기,"정제수, 프로판다이올, 글리세린, 폴리글리세린-3, 글리세릴폴리메타크릴레이트, 1,2-헥산다이올, 피이지-8, 피이지-7글리세릴코코에이트, 폴리솔베이트20, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 트로메타민, 글리세릴카프릴레이트, 만니톨, 하이드롤라이즈드콜라겐, 에틸헥실글리세린, 아데노신, 부틸렌글라이콜, 향료, 리모넨, 다이소듐이디티에이, 리날룰, 솔비탄아이소스테아레이트, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 금, 제라니올, 흑효모발효물, 레스베라트롤, 마그네슘설페이트, 칼슘클로라이드, 아세틸테트라펩타이드-11, 망가니즈설페이트, 토코페롤, 퀴노아씨추출물, 징크설페이트, 아스코빌글루코사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=31334
홀리추얼 울트라 너리싱 어드밴스드 크림,"193,600원",12%,4.8,더 보기,"정제수, 트라이에틸헥사노인, 글리세린, 부틸렌글라이콜, 스쿠알란, 세틸에틸헥사노에이트, 펜타에리스리틸테트라에틸헥사노에이트, 다이메티콘, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 나이아신아마이드, 트라이실록세인, 피이지-100스테아레이트, 세테아릴알코올, 다이아이소스테아릴말레이트, 펜타에리스리틸다이스테아레이트, 1,2-헥산다이올, 베헤닐알코올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 향료, 카프릴릴글라이콜, 소듐메타포스페이트, 글리세릴카프릴레이트, 엑토인, 해바라기씨오일, 소듐폴리아크릴레이트, 솔비탄아이소스테아레이트, 폴리솔베이트60, 아데노신, 당근추출물, 알파-아이소메틸아이오논, 시트로넬올, 리날룰, 덱스트린, 카카오추출물, 하이드록시시트로넬알, 헥실신남알, 합성왁스, 제라니올, 리모넨, 에틸헥실글리세린, 다이소듐이디티에이, 베타-카로틴, 하이드로제네이티드레시틴, 판테놀, 폴리글리세릴-10스테아레이트, 토코페롤, 세라마이드엔피, 콜레스테롤, 사프란암술머리추출물, 스테아릭애씨드, 팔미틱애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62681
홀리추얼 엘리멘탈 스무딩 로션 110ml,"49,500원",10%,4.8,110ml,"정제수, 글리세린, 프로판다이올, 부틸렌글라이콜, 다이카프릴릴에터, 1,2-헥산다이올, 비스-하이드록시에톡시프로필다이메티콘, 하이드로제네이티드폴리아이소부텐, 트로메타민, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 수크로오스스테아레이트, 피씨에이다이메티콘, 만니톨, 세테아릴올리베이트, 에틸헥실글리세린, 다이소듐이디티에이, 솔비탄올리베이트, 잔탄검, 향료, 폴리메틸실세스퀴옥세인, 소듐스테아로일글루타메이트, 리모넨, 리날룰, 판테놀, 흑효모발효물, 제라니올, 베타-글루칸, 토코페롤, 설퍼콜로이드, 아세틸테트라펩타이드-11, 하이드롤라이즈드콜라겐",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47255
홀리추얼 릴랙스드 풋 트리트먼트 크림 130ml,"32,550원",7%,4.8,넉넉했어요,"정제수, 우레아, 부틸렌글라이콜, 피마자씨오일, 글리세린, 변성알코올, 세테아릴알코올, 하이드로제네이티드폴리아이소부텐, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 글리세릴스테아레이트, 소듐락테이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 피이지-100스테아레이트, 베타인, 1,2-헥산다이올, 하이드로제네이티드캐스터오일, 폴리아크릴레이트-13, 락틱애씨드, 비즈왁스, 폴리아이소부텐, 향료, 리모넨, 카나우바왁스, 리날룰, 카페인, 세테아릴글루코사이드, 알란토인, 글리세릴카프릴레이트, 소듐메타포스페이트, 에틸헥실글리세린, 폴리솔베이트20, 솔비탄아이소스테아레이트, 페퍼민트오일, 제라니올, 흰버드나무껍질추출물, 시트릭애씨드, 글루코노락톤, 해바라기씨오일, 시트로넬올, 시트랄, 프로판다이올, 자일리톨, 삼나무잎추출물, 녹나무잎추출물, 로얄젤리추출물, 토코페롤, 프로폴리스추출물, 은행나무잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63957
홀리추얼 리디파이닝 클렌징 밀크 200ml,"42,780원",7%,4.9,200ml,"정제수, 글리세린, C18-21알케인, 데실코코에이트, 카프릴릭/카프릭트라이글리세라이드, 아이소도데케인, 라우릴글루코사이드, 해바라기씨오일, 1,2-헥산다이올, 하이드레이티드실리카, 폴리글리세릴-6라우레이트, C14-22알코올, 솔비탄세스퀴올리에이트, 미리스틸글루코사이드, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-20알킬글루코사이드, 잔탄검, 향료, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 벤질살리실레이트, 에틸헥실글리세린, 시트릭애씨드, 리날룰, 유제놀, 쌀겨오일, 글루타티온, 프로판다이올, 소듐하이알루로네이트, 토코페롤, 카프릴릴글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 아세틸헵타펩타이드-4, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 소듐아세틸레이티드하이알루로네이트, 아세틸옥타펩타이드-3",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64817
홀리추얼 마이크로 밸런싱 에센스 150ml,"46,800원",10%,4.9,150ml,"정제수, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 글리세린, 피피지-13-데실테트라데세스-24, 에탄올, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 소듐하이알루로네이트, 향료, 리모넨, 라피노오스, 효모/보리씨발효여과물, 락토바실러스발효용해물, 리날룰, 제라니올, 흑효모발효물, 토코페롤, 베타-글루칸",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=39994
홀리추얼 컨센트레이트 시그니처 크림 라이트 80ml,"93,100원",5%,4.8,80ml,"정제수, 시어버터, 글리세린, 프로판다이올, 메틸트라이메티콘, 펜타에리스리틸테트라에틸헥사노에이트, 부틸렌글라이콜, 녹차씨오일, 1,2-헥산다이올, 스쿠알란, 메도우폼씨오일, 소듐카보머, 하이드로제네이티드레시틴, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 토코페롤, 세라마이드엔피, 콜레스테롤, 잔탄검, 글리세릴카프릴레이트, 스테아릭애씨드, 향료, 리모넨, 에틸헥실글리세린, 리날룰, 아데노신, 팔미틱애씨드, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 제라니올, 흑효모발효물, 시트로넬올, 시트랄, 레스베라트롤, 해수, 소듐하이알루로네이트, 미역추출물, 하이드롤라이즈드하이알루로닉애씨드, 시트릭애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=39995
홀리추얼 피토 리쥬브네이팅 컨센트레이트 30ml,"59,500원",15%,4.8,30 ml,"정제수, 부틸렌글라이콜, 자일리톨, 글리세린, 만니톨, 솔비톨, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 잔탄검, 에틸헥실글리세린, 폴리글리세릴-6카프릴레이트, 폴리글리세릴-4카프레이트, 아데노신, 향료, 다이소듐이디티에이, 덱스트린, 카카오추출물, 석류추출물, 프로판다이올, 은행나무잎추출물, 삼나무잎추출물, 녹나무잎추출물, 카프릴릴글라이콜, 토코페롤, 아세틸헵타펩타이드-4, 석류나무꽃추출물, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 아세틸옥타펩타이드-3",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=47176
홀리추얼 울트라 너리싱 어드밴스드 에멀전 120ml,"73,800원",10%,4.9,120ml,"정제수, 프로판다이올, 하이드로제네이티드폴리아이소부텐, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 다이메티콘, 다이아이소스테아릴말레이트, 나이아신아마이드, 폴리글리세린-3, 1,2-헥산다이올, 피이지-60글리세릴아이소스테아레이트, 세테아릴알코올, 알지닌, 아스파틱애씨드, 글루타믹애씨드, 엑토인, 서양톱풀추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 사프란암술머리추출물, 다이메티콘/비닐다이메티콘크로스폴리머, 시어버터, 세테아릴글루코사이드, 글리세릴스테아레이트시트레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 팔미틱애씨드, 스테아릭애씨드, 베헤닐알코올, 카보머, 부틸렌글라이콜, 에틸헥실글리세린, 글리세릴카프릴레이트, 트로메타민, 향료, 아데노신, 다이메티콘올, 펜틸렌글라이콜, 소듐메타포스페이트, 솔비탄아이소스테아레이트, 폴리솔베이트60, 잔탄검, 알파-아이소메틸아이오논, 시트로넬올, 리날룰, 토코페롤, 서양유채씨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66972
