"행정구역(시군구)별","성별","연령별",2024
"전국","계","계",51037252.5
"전국","계","0세",230638
"전국","계","1세",243965.5
"전국","계","2세",260580.5
"전국","계","3세",273215
"전국","계","4세",294502
"전국","계","5세",321698.5
"전국","계","6세",349245.5
"전국","계","7세",389024
"전국","계","8세",429158.5
"전국","계","9세",442885.5
"전국","계","10세",441220
"전국","계","11세",465609.5
"전국","계","12세",482880
"전국","계","13세",474627
"전국","계","14세",460452
"전국","계","15세",457825.5
"전국","계","16세",481359
"전국","계","17세",471367
"전국","계","18세",441107.5
"전국","계","19세",452630.5
"전국","계","20세",480782.5
"전국","계","21세",490860.5
"전국","계","22세",523403
"전국","계","23세",595083.5
"전국","계","24세",625048
"전국","계","25세",625121.5
"전국","계","26세",650511
"전국","계","27세",673043
"전국","계","28세",691213
"전국","계","29세",705414
"전국","계","30세",706657.5
"전국","계","31세",712529.5
"전국","계","32세",708642
"전국","계","33세",666785
"전국","계","34세",631514
"전국","계","35세",624158
"전국","계","36세",617385.5
"전국","계","37세",617994
"전국","계","38세",634833.5
"전국","계","39세",651061
"전국","계","40세",697646
"전국","계","41세",776137.5
"전국","계","42세",820785.5
"전국","계","43세",827306.5
"전국","계","44세",820354.5
"전국","계","45세",763073
"전국","계","46세",738641
"전국","계","47세",757686
"전국","계","48세",762344
"전국","계","49세",808350
"전국","계","50세",857933.5
"전국","계","51세",874642
"전국","계","52세",897394.5
"전국","계","53세",907496.5
"전국","계","54세",897067
"전국","계","55세",899821
"전국","계","56세",868214
"전국","계","57세",813103.5
"전국","계","58세",806642.5
"전국","계","59세",813708.5
"전국","계","60세",783862.5
"전국","계","61세",805257.5
"전국","계","62세",861557
"전국","계","63세",879476
"전국","계","64세",847245.5
"전국","계","65세",776275.5
"전국","계","66세",736563.5
"전국","계","67세",695063
"전국","계","68세",668346.5
"전국","계","69세",625933.5
"전국","계","70세",532718.5
"전국","계","71세",516162
"전국","계","72세",464153
"전국","계","73세",400345
"전국","계","74세",411153
"전국","계","75세",407100
"전국","계","76세",401756
"전국","계","77세",356590.5
"전국","계","78세",293270
"전국","계","79세",279242.5
"전국","계","80세 이상",2390803.5
"전국","계","80세",281437
"전국","계","81세",303837.5
"전국","계","82세",293325
"전국","계","83세",238416
"전국","계","84세",215241
"전국","계","85세 이상",1058547
"전국","계","85세",195960
"전국","계","86세",167611
"전국","계","87세",144487.5
"전국","계","88세",124964.5
"전국","계","89세",104112.5
"전국","계","90세",80925
"전국","계","91세",63563
"전국","계","92세",48531
"전국","계","93세",36108
"전국","계","94세",28238.5
"전국","계","95세",21173
"전국","계","96세",15031
"전국","계","97세",9712.5
"전국","계","98세",6048
"전국","계","99세",3964.5
"전국","계","100세 이상",8117
"전국","남자","계",25400503
"전국","남자","0세",118067
"전국","남자","1세",124834.5
"전국","남자","2세",133387.5
"전국","남자","3세",139887
"전국","남자","4세",150934
"전국","남자","5세",165073
"전국","남자","6세",179433.5
"전국","남자","7세",199542.5
"전국","남자","8세",219701.5
"전국","남자","9세",226860
"전국","남자","10세",225941
"전국","남자","11세",238670.5
"전국","남자","12세",247705
"전국","남자","13세",244000.5
"전국","남자","14세",237135
"전국","남자","15세",235480.5
"전국","남자","16세",247315.5
"전국","남자","17세",242645.5
"전국","남자","18세",227739.5
"전국","남자","19세",233853.5
"전국","남자","20세",248726
"전국","남자","21세",254878.5
"전국","남자","22세",272126.5
"전국","남자","23세",309572.5
"전국","남자","24세",325381
