"상품명","가격","할인율","평점"
"모발강화클리닉 샴푸 430ml","17,000원","15%","4.8"
"모발강화클리닉 트리트먼트 200ml","17,000원","15%","4.8"
"두피강화 클리닉 샴푸 탈모증상완화 400ml","18,000원","25%","4.8"
"모발강화클리닉 에센스 75ml","17,000원","15%","4.7"
"두피강화클리닉 샴푸 탈모증상완화 리필팩 400ml","16,800원","30%","4.8"
"프리미엄 샴푸 브러쉬 1입","5,520원","20%","4.6"
"두피강화 클리닉 앰플 토닉 탈모증상완화 100ml","18,000원","25%","4.8"
"두피강화 클리닉 헤어라인 앰플 탈모증상완화 15ml","18,000원","25%","4.6"
"탈모증상완화 샴푸 두피강화 블랑쉬앤우디/페어앤프리지아 400ml","18,000원","25%","4.8"
"댄드러프클리닉 샴푸 탈모증상완화 400ml","21,600원","20%","4.7"
"두피강화클리닉 쿨링&노세범 샴푸 리필팩 400ml","16,800원","30%","4.8"
"탈모증상완화 샴푸 민감더마 400ml","18,000원","25%","4.7"
"댄드러프클리닉 샴푸 탈모증상완화 리필팩 400ml","17,900원","33%","4.8"
"[2입] 두피강화클리닉 샴푸 탈모증상완화 리필팩 (400mlx2)","29,300원","38%","5.0"
"[2입] 두피강화 클리닉 샴푸 탈모증상완화 (400mlx2)","33,200원","30%","4.9"
"[2입] 댄드러프클리닉 샴푸 탈모증상완화 (400mlx2)","38,700원","28%","5.0"
"[2입] 두피강화클리닉 쿨링&노세범 샴푸 (400mlx2)","32,900원","31%","5.0"
"[2입] 탈모증상완화 샴푸 두피강화 블랑쉬앤우디 (400mlx2)","34,300원","28%",""
"[2입] 두피강화 클리닉 앰플 토닉 탈모증상완화 (100mlx2)","32,400원","32%","4.7"
"[2입] 두피강화 클리닉 헤어라인 앰플 탈모증상완화 (15mlx2)","30,500원","36%","4.9"
"[2입] 두피강화 클리닉 캡슐 탈모증상완화 트리트먼트 (220mlx2)","20,800원","38%","4.9"
"[2입] 탈모증상완화 샴푸 두피강화 페어앤프리지아 (400mlx2)","34,300원","28%","4.9"
"[본품+리필] 두피강화 클리닉 샴푸 탈모증상완화 (400mlx2)","31,400원","34%","4.8"
"두피강화클리닉 샴푸 탈모증상완화 종이리필 400ml","16,800원","30%","4.9"
"댄드러프클리닉 워터스케일러 탈모증상완화 250ml","19,200원","20%","4.9"
"두피강화클리닉 스케일러 탈모증상완화 208g","16,000원","20%","4.9"
"두피강화 클리닉 캡슐 트리트먼트 탈모증상완화 220ml","13,600원","20%","4.8"
"두피강화클리닉 쿨링&노세범 샴푸 400ml","19,200원","20%","4.8"
