"상품명","가격","할인율","평점"
"함빛/청아/흑운/민감 샴푸&컨디셔너 480ml","8,900원","35%","4.8"
"두피 편한 검은콩 염색 120g","9,900원","23%","4.8"
"루트젠 탈모증상전문케어 두피 에센스 80ml","16,900원","15%","4.8"
"자양윤모 9ex 탈모증상전문케어 샴푸 400ml","9,900원","41%","4.8"
"루트젠 여성 맞춤 탈모증상전문케어 샴푸 515ml","19,900원","13%","4.7"
"댄트롤 비듬샴푸 박하/멘톨/애플 820ml","7,450원","40%","4.8"
"헤어쿠션 (짙은갈색/자연갈색) 7g","19,900원","33%","4.6"
"루트젠 여성 맞춤 탈모증상전문케어 샴푸 리필팩 400ml","12,900원","27%","4.8"
"루트젠 남성 맞춤 탈모증상전문케어 샴푸 515ml","19,900원","13%","4.8"
"진생보 두피모발영양 샴푸/컨디셔너 400ml","9,900원","41%","4.7"
"루트젠 여성 맞춤 탈모증상전문케어 트리트먼트 515ml","19,900원","13%","4.8"
"명품 에이치비엑스 탈모증상완화 앰플 샴푸 500ml","29,700원","10%","4.7"
"루트젠 두피코어강화 아쿠아필 두피토닉 100ml","13,900원","17%","4.7"
"루트젠 두피코어강화 두피청정샴푸 515ml","16,900원","10%","4.7"
"자양윤모 9이엑스 탈모증상전문케어 모근강화 트리트먼트 330ml","9,900원","41%","4.8"
"자양윤모 탈모전문케어 경주달밤/여수하늘 트리트먼트 200ml","7,750원","47%","4.7"
"함빛 극손상 앤 영양 트리트먼트 300ml","8,900원","35%","4.8"
"루트젠 탈모증상전문케어 헤어볼륨필러 150ml","17,910원","10%","4.2"
"[2입] 루트젠 두피코어강화 두피 청정샴푸 (515mlx2)","33,900원","10%","5.0"
"[2입] 자양윤모 9이엑스 탈모증상전문케어 모근강화 트리트먼트 (330mlx2)","17,900원","47%","4.9"
"[2입] 자양윤모 탈모증상전문케어 샴푸 지성두피용 (400mlx2)","17,200원","49%","5.0"
"[3입] 루트젠 남성 맞춤 탈모증상전문케어 샴푸 (515mlx3)","56,400원","17%","4.0"
"루트젠 탈모케어 트리플샷 두피리페어 세럼 60ml","16,900원","15%","4.7"
"[2입] 루트젠 두피코어강화 아쿠아필 두피토닉 (100mlx2)","28,900원","14%","4.5"
"[2입] 루트젠 탈모증상전문케어 두피 에센스 (80mlx2)","23,800원","40%","4.7"
"[2입] 진생보 두피모발영양 샴푸 400ml","17,900원","47%","4.9"
"[3입] 루트젠 여성 맞춤 탈모증상전문케어 샴푸 (515mlx3)","52,900원","22%","4.5"
"[2입] 루트젠 여성 맞춤 탈모증상전문케어 샴푸 (515mlx2)","39,000원","14%","4.9"
"루트젠 여성 맞춤 탈모증상전문케어 샴푸+두피에센스 (515ml / 80ml)","32,900원","23%","4.8"
"루트젠 여성 맞춤 탈모증상전문케어 샴푸+리필 (515ml+400ml)","30,900원","24%","4.9"
"루트젠 탈모증상전문케어 여성 샴푸+남성 샴푸 (515ml/515ml)","36,900원","19%","4.7"
"루트젠 여성 맞춤 탈모증상전문케어 샴푸+트리트먼트 (515ml/515ml)","36,900원","19%","4.8"
"우아채 영양새치염색  120g","5,950원","50%","4.7"
