"상품명","가격","할인율","평점"
"솔리드 퍼퓸 디스커버리 3종 키트 (5mlx3)","9,000원","50%","4.8"
"NEW 헤어 오일 (샌달우드/블랙티앤피그) 40ml","21,000원","12%","4.8"
"핸드크림 (샌달우드/블랙티앤피그) 50ml","12,600원","30%","4.8"
"바디로션 (샌달우드/블랙티앤피그) 200ml","21,000원","12%","4.8"
"NEW 솔리드 퍼퓸 (샌달우드/블랙티앤피그/바질앤베티버) 30ml","32,000원","11%","4.8"
"바디워시 (샌달우드/블랙티앤피그/바질앤베티버) 300ml","21,000원","12%","4.8"
"샴푸 (샌달우드/블랙티앤피그/바질앤베티버) 300ml","21,000원","12%","4.8"
"NEW 트리트먼트 (샌달우드/블랙티앤피그) 200ml","21,000원","12%","4.8"
"코어본딩 헤어마스크 (샌달우드/블랙티앤피그) 200ml","24,000원","","5.0"
"[2입] 블랙티앤피그 소프트닝 헤어 오일 (40mlx2)","41,200원","14%","4.7"
"[2입] 샌달우드 인텐시브 헤어 오일 (40mlx2)","41,200원","14%","4.9"
"블랙티앤피그 소프트닝 바디워시+바디로션 (300ml/200ml)","40,000원","16%","4.6"
"샌달우드 인텐시브 바디워시+바디로션 (300ml/200ml)","40,000원","16%","4.9"
"블랙티앤피그 소프트닝 샴푸+트리트먼트 (300ml/200ml)","40,000원","16%","4.6"
"샌달우드 인텐시브 샴푸+트리트먼트 (300ml/200nl)","40,000원","16%","4.8"
"오드 퍼퓸 (샌달우드/블랙티앤피그/바질앤베티버) 20ml","42,000원","6%","4.8"
"샌달우드 인텐시브 3종 트라이얼 키트","5,000원","53%","4.8"
