"상품명","가격","할인율","평점"
"[싱글] BEST 플로라글로우 로즈 리퀴드 마스크 80ml 80ml","21,900원","27%","4.8"
"[싱글] 맨 리차징 올인원 플루이드 180ml","20,520원","24%","4.8"
"[BEST] 프로바이오틱스 세라마이드 2종 세트","29,500원","41%","4.8"
"[1매] 프로바이오틱스 세라마이드 앰플 마스크팩 23ml","2,000원","20%","4.8"
"[1매] 에이지 컨트롤 카멜리아 앰플 마스크팩 23ml","2,000원","20%","4.8"
"플로라 글로우 로즈 워터 토너 500ml 500ml","20,000원","20%","4.8"
"[1매] 플로라글로우 로즈 앰플 마스크팩 23ml","2,000원","20%","4.8"
"어메이징 딥 민트 클렌징 티슈 70매","12,000원","25%","4.8"
"프로바이오틱스 세라마이드 인텐스 크림 60ml","23,400원","35%","4.9"
"[싱글] BEST 카밍 샷 아줄렌 흔적 수분 앰플 50ml","18,900원","21%","4.8"
"[1매] 카밍 샷 아줄렌 앰플 마스크팩 23ml","2,000원","20%","4.8"
"[싱글] 프로바이오틱스 세라마이드 에멀젼 150ml","19,500원","25%","4.8"
"[싱글] 에이지 컨트롤 카멜리아 크림 50ml","43,200원","10%","4.9"
"세라마이드 아미노 폼 120g","9,600원","40%","4.8"
"[싱글] BEST 어메이징 딥 민트 클렌징밤 90ml","17,500원","35%","4.8"
"[BEST] 맨 리차징 2종 세트","29,900원","23%","4.8"
"맨 리차징 로션 150ml","16,000원","20%","4.8"
"[싱글] 맨 리차징 토너 180ml","15,200원","20%","4.8"
"[싱글] 프로바이오틱스 세라마이드 스킨소프너 200ml","18,000원","25%","4.7"
"[대용량] 어메이징 딥 민트 클렌징밤 180ml","30,100원","14%","4.9"
"카밍 샷 아줄렌 크림 60ml","22,040원","24%","4.8"
"★아세페특가★ 플로라글로우 로즈 워터 토너 300ml 300ml","16,000원","20%","4.8"
"[싱글] 어메이징 딥 민트 클렌징폼 120ml","11,900원","30%","4.8"
"에이지 컨트롤 카멜리아 에멀젼 125ml","34,200원","10%","4.9"
"[BEST] 에이지 컨트롤 카멜리아 2종 세트","67,500원","10%","4.9"
"[싱글] 에이지 컨트롤 카멜리아 세럼 50ml","44,100원","10%","4.8"
"에이지 컨트롤 카멜리아 에센스 워터 150ml","33,300원","10%","4.8"
"포어 슈링커 바쿠치올 크림 60ml","28,500원","25%","4.7"
"카밍 샷 아줄렌 선크림 SPF50+PA++++ 35ml","11,200원","30%","4.7"
"플로라 글로우 로즈 스무딩 크림 50ml","25,900원","30%","4.8"
"포어 슈링커 바쿠치올 레티놀 토너 200ml","19,200원","20%","4.8"
"플로라글로우 로즈 틴티드 선세럼 35ml","22,500원","10%","4.7"
"카밍 샷 아줄렌 토너 300ml","16,000원","20%","4.7"
"포어 슈링커 바쿠치올 세럼 50ml","29,630원","24%","4.7"
"[10개입+3개추가증정] 플로라글로우 로즈 볼마스크 3.5ml","20,000원","20%","5.0"
"[6매입+3매추가증정] 플로라글로우 로즈 하이드로겔 마스크","28,500원","20%","5.0"
"[5개입+1개추가증정] 플로라글로우 로즈 볼마스크 3.5ml","10,000원","20%","4.8"
"NEW 플로라글로우 로즈 슬리핑 마스크 80g","18,240원","24%","4.8"
"[1매] 플로라글로우 로즈 하이드로겔 마스크","5,400원","10%","4.8"
"[1개입] 플로라글로우 로즈 볼마스크 3.5ml","2,250원","10%","4.7"
