"상품명","가격","할인율","평점"
"그린프로폴리스 치약 100g*3","7,450원","50%","4.8"
"이지클린 센서티브 칫솔 4입","3,450원","50%","4.8"
"후레쉬 치약 3입 [블루/그린] 120g*3","4,900원","44%","4.8"
"잇몸과학 치약 3입 [스트롱/클린] (120g x3)","6,950원","50%","4.8"
"듀얼이펙션 칫솔 4입 미세모","3,950원","50%","4.8"
"대나무숯 담은 칫솔 미세모 4입","4,950원","50%","4.8"
"NEW 치석케어칫솔 4입","6,450원","50%","4.8"
"닥터메디안 멀티케어 치약 (120gx3입)","4,900원","","4.9"
"[3입] 송천염 치약 (120g*3)","5,950원","39%","4.8"
"소금의 명작 치약 (120gx3입)","5,950원","45%","4.8"
"구취과학 치약 프리징쿨 3입 [민트] 120g*3","7,900원","43%","4.8"
"미백과학 치약 플럼민트향 (1입/100g)","4,200원","40%","4.8"
"그래핀 칫솔 4+1입","7,450원","24%","4.7"
"[구취케어] 젠티스트 치약 핑크 2입 (100gx2)","13,900원","29%","4.8"
"닥터메디안 칫솔 5+5입","4,900원","28%","4.7"
"골드와이드 칫솔 10입","8,900원","35%","4.8"
"녹차의 명작 치약 (120gx3입)","5,950원","45%","4.7"
"잇몸과학 칫솔 4입","6,950원","50%","4.8"
"플렉스 이펙션 칫솔 4입","4,950원","50%","4.7"
"키즈 365DAYS step3 칫솔 12입","13,900원","26%","4.9"
"성인용 365DAYS 칫솔 12입","13,900원","26%","4.8"
"그린프로폴리스 잇몸케어 칫솔 4+1입","7,450원","50%","4.7"
"365DAYS 고밀도 초극세모 딥클린 칫솔 16입","13,900원","26%","4.8"
"365DAYS step3 충치 불소 어린이 펌핑 치약 300g","13,900원","26%","4.9"
"키즈 365DAYS step2 칫솔 12입","13,900원","26%","4.9"
"[구취케어] 젠티스트 치약 핑크 100g","7,900원","20%","4.8"
"키즈 365DAYS step3 칫솔 6입","6,950원","26%","4.8"
"송천염 미세모 칫솔 4입","4,950원","50%","4.7"
"녹차의 명작 칫솔 4입","5,950원","45%","4.6"
"소금의 명작 칫솔 4입","5,950원","45%","4.8"
"[구취케어] 젠티스트 치약 핑크 4입+쇼핑백 증정 (100gx4)","27,800원","29%","5.0"
"[3입세트] 치석케어 치약 오리지널/구취/화이트/잇몸 (120g x3)","6,450원","50%","4.8"
