"상품명","가격","할인율","평점"
"올뉴 쉽고 빠른 거품 염색 80g","10,900원","31%","4.8"
"파워 스윙 왁스 9 80g","7,900원","21%","4.8"
"퍼펙트 세럼 80ml","8,900원","40%","4.7"
"컬링 에센스 2X 내추럴/볼륨 150ml","6,500원","35%","4.7"
"살롱10 프로페셔널 시카 프로틴 샴푸 480ml","12,900원","14%","4.8"
"헤어앤스칼프 부스터 샴푸 800g","4,900원","16%","4.8"
"펄샤이닝 리페어 샴푸/트리트먼트 1000ml","7,900원","21%","4.8"
"퍼펙트 오리지널 세럼 샴푸 680ml","8,900원","40%","4.8"
"NEW 헬로크림 더블커버 (컬러&새치 겸용) 120g","11,900원","25%","4.8"
"[대용량] 살롱10 단백질 에센스 팩 (손상/극손상) 990ml","19,900원","9%","4.8"
"[대용량] 살롱10 단백질 샴푸 (손상/극손상) 990ml","19,900원","9%","4.8"
"올뉴 샤이닝에센스 100g","5,900원","34%","4.8"
"살롱10 프로페셔널 시카 프로틴 트리트먼트 215ml","13,900원","18%","4.8"
"스타일케어 헤어스프레이 300ml","7,500원","25%","4.8"
"퍼펙트 오리지널 세럼 컨디셔너 680ml","8,900원","40%","4.7"
"올뉴 쉽고 빠른 크림염색 80g","11,900원","33%","4.8"
"스칼프케어 그린 시카 샴푸 (680ml/1000ml)","7,900원","39%","4.8"
"볼륨케어 퍼플 콜라겐 샴푸 (680ml/1000ml)","7,900원","39%","4.8"
"퍼펙트 매직 스트레이트 세럼 샴푸 530ml","12,900원","14%","4.8"
"NEW 헬로버블 100g","9,900원","38%","4.8"
"헤어앤스칼프 너리싱 부스터 트리트먼트 300g","4,900원","16%","4.8"
"퍼펙트 매직 스트레이트 세럼 80ml","12,900원","14%","4.7"
"살롱10 단백질 트리트먼트(손상/극손상) 250ml","11,900원","7%","4.8"
"데미지케어 레드 프로틴 컨디셔너 680ml","7,900원","39%","4.9"
"퍼펙트 슈퍼리치 세럼 샴푸 680ml","8,900원","40%","4.7"
"데미지케어 레드 프로틴 헤어크림에센스 140ml","7,900원","39%","4.8"
"이너플렉스 모발강화 샴푸/트리트먼트 (375g/240g)","19,900원","20%","4.8"
"퍼펙트 슈퍼리치 세럼 컨디셔너 680ml","8,900원","40%","4.7"
"퍼펙트 세럼 트리트먼트 (180ml / 330ml)","5,900원","30%","4.8"
"데미지케어 레드 프로틴 트리트먼트 (180ml/330ml/1000ml)","5,900원","21%","4.8"
"쿨링케어 블루멘톨 샴푸 680ml","7,900원","39%","4.7"
"데미지케어 레드 프로틴 샴푸 (680ml/1000ml)","7,930원","39%","4.8"
"볼륨케어 퍼플 콜라겐 트리트먼트 (180ml/330ml)","5,900원","21%","4.8"
"이너플렉스 모발강화제 145g","19,900원","20%","4.7"
"퍼펙트 스타일링 세럼 컨디셔너 680ml","8,900원","40%","4.8"
"퍼펙트 노 워시 워터 트리트먼트 215ml","11,900원","25%","4.8"
"컬링 매트 볼륨 헤어픽서 200ml","11,900원","20%","4.6"
"헬로 젤리팡팡 8g","13,900원","22%","4.6"
"NEW 헬로크림 125g","9,900원","38%","4.7"
"NEW 헬로블리치 프라이머 버블 100g","9,900원","38%","4.7"
