"상품명","가격","할인율","평점"
"메타그린 부스터샷 7일 (원산지:상세설명참조)","25,200원","10%","4.6"
"메타그린 칼로리컷 젤리(10입) 다이어트 기능성 젤리 혈당탄수화물컷 (원산지:상세설명참조)","22,500원","10%","4.7"
"메타그린 효소 14입 (원산지:상세설명참조)","20,700원","10%","4.8"
"메타그린 슬림업(30일) 다이어트 비건 기능성 (원산지:상세설명참조)","32,400원","10%","4.8"
"[프리미엄 라인] 메타그린 골드 플러스 (30일) (원산지:상세설명참조)","58,500원","10%","4.8"
"슈퍼레티놀 30포 (원산지:상세설명참조)","28,000원","","4.8"
"녹차에서 온 유산균(60일) (원산지:상세설명참조)","22,400원","20%","4.8"
"[프리미엄 라인] 멀티비타민미네랄(50일) [150정] (원산지:상세설명참조)","31,500원","10%","4.7"
"슈퍼에센셜 (28일) (원산지:상세설명참조)","79,200원","20%","4.8"
"[프리미엄 라인] 액티브 멀티팩(30일) (원산지:상세설명참조)","54,000원","10%","4.8"
"[프리미엄 라인] 오메가케어 30일 (원산지:상세설명참조)","45,000원","10%","4.7"
"[리필] 메타그린 슬림업 (60일) (원산지:상세설명참조)","52,000원","20%","4.8"
"슈퍼콜라겐 28입 (원산지:상세설명참조)","52,500원","30%","4.8"
"[프리미엄 라인] 트루아이(30일) (원산지:상세설명참조)","54,000원","10%","4.7"
"굿슬립 가바 365 (30일) 식약처 인정 수면기능성 (원산지:상세설명참조)","30,340원","18%","4.7"
"[프리미엄 라인] 슈퍼콜라겐 골드(30일) (원산지:상세설명참조)","126,000원","10%","4.8"
"메타그린 클린티 10입 (원산지:상세설명참조)","22,500원","10%","4.8"
"[프리미엄 라인] 메타그린 골드 플러스 패밀리 기획세트 (180일) (원산지:상세설명참조)","270,000원","10%","4.9"
"[프리미엄 라인] 명작수 골드(100일) (원산지:상세설명참조)","504,000원","10%","4.9"
"[프리미엄 라인] 슈퍼콜라겐 프리미엄(28일) (원산지:상세설명참조)","103,500원","10%","4.8"
"[프리미엄 라인] 트루아이 기획세트 (180일) (원산지:상세설명참조)","252,000원","10%","4.8"
"[프리미엄 라인] 슈퍼콜라겐 골드(66일) (원산지:상세설명참조)","252,000원","10%","4.8"
"[프리미엄 라인] 슈퍼콜라겐 플래티넘(70일) (원산지:상세설명참조)","324,000원","10%","4.9"
"[프리미엄 라인] 명작수 골드(50일) (원산지:상세설명참조)","288,000원","10%","4.9"
"[프리미엄 라인] 조이스텝 골드 (105일) (원산지:상세설명참조)","162,000원","10%","4.9"
"[프리미엄 라인] 슈퍼콜라겐 플래티넘(30일) (원산지:상세설명참조)","162,000원","10%","4.8"
"슈퍼에센셜 (7일) (원산지:상세설명참조)","25,020원","10%","4.9"
"[프리미엄 라인] 조이스텝 골드 (30일) (원산지:상세설명참조)","58,500원","10%","4.7"
"[프리미엄 라인] 올인원 멀티팩(60일) (원산지:상세설명참조)","243,000원","10%","5.0"
"[프리미엄 라인] 액티브멀티팩 기획세트 (180일) (원산지:상세설명참조)","252,000원","10%","4.8"
"굿슬립 가바 365 (14일) (원산지:상세설명참조)","16,800원","16%","4.4"
"[프리미엄라인] 비타클렌즈 (30입) (원산지:상세설명참조)","50,000원","","5.0"
"[2box] [프리미엄 라인] 슈퍼콜라겐 프리미엄(28일)","207,000원","10%",""
"슈퍼콜라겐 14입 (원산지:상세설명참조)","36,000원","10%","5.0"
"[프리미엄 라인] 리버프라임 105일 (원산지:상세설명참조)","148,500원","10%","4.9"
"[프리미엄 라인] 오메가케어 3입세트(105일) (원산지:상세설명참조)","135,000원","10%","4.7"
"[3box] NEW 슈퍼시카 B5 (30입) (원산지:상세설명참조)","71,400원","15%","4.6"
"[프리미엄 라인] 올인원 멀티팩(30일) (원산지:상세설명참조)","135,000원","10%","5.0"
"[3box] 메타그린 슬림업(30일) (원산지:상세설명참조)","86,400원","20%","4.8"
"[2box] 메타그린 슬림업(30일) (원산지:상세설명참조)","61,200원","15%","4.9"
