"상품명","가격","할인율","평점"
"웨이크업 생기 립밤 3g","11,610원","10%","4.8"
"[리필] 블루쿠션 SPF34/PA++ 15g","19,920원","20%","4.9"
"블루 파운데이션 SPF27/PA++ 35ml","23,200원","20%","4.9"
"무드업 듀얼 아이섀도우 브러쉬","8,000원","20%","4.8"
"블루 수분 선크림 1+1 기획세트 SPF50+PA++++ (50ml+50ml)","22,500원","10%","4.9"
"블루쿠션 SPF34/PA++ 15g","26,320원","20%","4.9"
"하이드로 스웻프루프 선크림 SPF50+/PA++++ 50ml","20,000원","20%","4.8"
"시카페인 트러블리셋 세럼 40ml","26,600원","30%","4.7"
"블루 수분 선크림 SPF50+/PA++++ 50ml","20,000원","20%","4.8"
"시카페인 트러블리셋 클렌징폼 150g","13,650원","30%","4.8"
"원 샷 오일 폼 클렌저 200ml","16,000원","20%","4.4"
"에어리 헤어 페이스트 80g","13,200원","20%","4.8"
"시카페인 트러블리셋 토너 250ml","17,500원","30%","4.7"
"시카페인 트러블리셋 크림 70ml","23,800원","30%","4.8"
"블루 세범 파우더 7g","12,000원","20%","4.8"
"무드업 음영 아이팔레트 7g","16,000원","20%","4.8"
"블루 파운데이션 퍼프","6,400원","20%","4.8"
"프라이드업 아이브로우(다크브라운) 0.6G","12,900원","","4.7"
"트루톤 로션 (하이드로/에어리) 40ml","28,800원","10%","4.8"
"블루 파운데이션 3호 (본품 35ml+퍼프)","25,900원","30%","5.0"
"블루 파운데이션 2호 (본품 35ml+퍼프)","25,900원","30%","5.0"
"블루쿠션 3호 제프리 (본품15g+리필15g)","40,460원","30%","5.0"
"블루쿠션 2호 라이언 (본품15g+리필15g)","40,460원","30%","5.0"
"시카페인 트러블리셋 2종 (세럼+크림)","49,900원","30%","4.7"
"[2개입] 블루 수분 선크림 SPF50+/PA++++ (50mlx2)","40,000원","20%","4.8"
