"상품명","가격","할인율","평점"
"자음2종 세트 (150ml+125ml)","135,000원","10%","4.9"
"탄력3종 세트 (150ml+125ml+50ml)","193,500원","10%","4.9"
"순행클렌징폼 200ml","37,800원","10%","4.9"
"탄력크림 단품세트 75ml","121,500원","10%","4.9"
"순행클렌징오일 200ml","42,300원","10%","4.9"
"윤조에센스 6세대 단품세트 90ml","126,000원","10%","4.9"
"윤조3종 세트 (150ml+125ml+60ml)","206,100원","10%","4.9"
"본윤 데일리 루틴(설화수맨2종) (140ml+90ml)","112,500원","10%","4.9"
"자음생2종 세트","202,500원","10%","4.9"
"윤조에센스 6세대 (30ml/60ml/90ml)","49,500원","10%","4.9"
"상백톤업선크림 SPF50+/PA++++ 50ml","81,000원","10%","4.8"
"자음유액 EX 125ml","70,200원","10%","4.8"
"자음수 EX 150ml","64,800원","10%","4.9"
"자음생아이크림 15ml","117,000원","10%","4.9"
"[리필] 퍼펙팅 쿠션 SPF50+/PA+++ 15g","36,900원","10%","4.8"
"윤조마스크 5매","54,000원","10%","4.8"
"퍼펙팅 립컬러","40,500원","10%","4.8"
"탄력크림 EX 75ml","121,500원","10%","4.9"
"퍼펙팅 쿠션 에어리 SPF50+/PA+++ (본품15g+리필15g)","80,100원","10%","4.8"
"[리필] 퍼펙팅 쿠션 에어리 SPF50+/PA+++ 15g","36,900원","10%","4.8"
"퍼펙팅 트윈 케이크","67,500원","10%","4.7"
"상백선크림 SPF50+/PA++++ 50ml","81,000원","10%","4.9"
"퍼펙팅 쿠션 SPF50+/PA+++ (본품15g+리필15g)","80,100원","10%","4.8"
"윤조립밤 3g","40,500원","10%","4.8"
"옥용팩 120ml","47,700원","10%","4.8"
"퍼펙팅 파운데이션 SPF17/PA+ 35ml","63,000원","10%","4.7"
"탄력크림 EX 50ml","90,000원","10%","4.8"
"진설수유액 2종 세트","310,000원","","4.9"
"여윤팩 120ml","58,500원","10%","4.9"
"본윤선크림 SPF50+/PA++++ 50ml","36,000원","10%","4.8"
"자음생캡슐세럼 50ml","211,500원","10%","4.9"
"자음생크림 리치 단품세트 50ml","243,000원","10%","4.9"
"자음생유액 125ml","103,500원","10%","4.9"
"본윤에센스 140ml","65,700원","10%","4.9"
"본윤유액 90ml","46,800원","10%","4.9"
"자음생앰플 20g","135,000원","10%","4.9"
"자음생수 150ml","99,000원","10%","4.9"
"시그니처 진생 페이셜 솝 2입 120g*2","52,200원","10%","4.9"
"자음생크림 단품세트 50ml","243,000원","10%","4.9"
"[단품] 퍼펙팅 쿠션 에어리 SPF50+/PA+++ (본품 15g)","53,100원","10%","4.8"
"백삼팩 120ml","64,800원","10%","4.9"
"상백선플루이드 SPF50+/PA+++ 50ml","54,000원","10%","4.8"
"시그니처 진생 페이셜 솝 1입 120g","29,700원","10%","4.8"
"자음생캡슐세럼 단품세트","211,500원","10%","4.9"
"자음생마스크EX 5매","108,000원","10%","4.9"
"진설수 150ml","145,000원","","4.9"
"진설아이크림 20ml","270,000원","","4.8"
"퍼펙팅 파우더 20g","58,500원","10%","4.7"
"자음생캡슐세럼 30ml","139,500원","10%","4.9"
"진설유액 125ml","165,000원","","4.9"
"진설클렌징폼 150g","90,000원","","4.8"
"퍼펙팅 쿠션 에어리 트리플 (17N1호/21N1호) SPF50+/PA+++","105,300원","10%","4.9"
"퍼펙팅 스킨커버","67,500원","10%","4.7"
"자음생세럼 브라이트닝 50ml","198,000원","10%","4.8"
"자음생앰플 브라이트닝 20g","126,000원","10%","4.8"
"진설크림 60ml","520,000원","","4.9"
"자음생크림 리치 50ml","243,000원","10%","4.9"
"[단품] 퍼펙팅 쿠션 SPF50+/PA+++ (본품 15g)","53,100원","10%","4.8"
"진설세럼 50ml","450,000원","","5.0"
"퍼펙팅 쿠션 트리플 (21N1호/23N1호) SPF50+/PA+++","105,300원","10%","4.8"
"자음생크림 50ml","243,000원","10%","4.9"
"[리필] 진설크림 리치 60ml","470,000원","","4.9"
"진설크림 리치 60ml","520,000원","","5.0"
"[소용량] 자음생크림 30ml","151,200원","10%","4.9"
"[소용량] 자음생크림 리치 30ml","151,200원","10%","4.8"
"[리필] 진설크림 60ml","470,000원","","5.0"
"진설크림 30ml","290,000원","","4.8"
"퍼펙팅 틴티드 크림 35ml","72,000원","10%","5.0"
"퍼펙팅 베일 프라이머 35ml","67,500원","10%","5.0"
"[홀리데이] 자음생크림 리치 50ml 단품기획세트","243,000원","10%","4.9"
"[홀리데이] 윤조에센스 6세대 90ml 단품기획세트","126,000원","10%","4.9"
"[리필] 퍼펙팅 트윈 케이크 11g","49,500원","10%","4.8"
"NEW 자음생클렌징폼 150g","61,200원","10%","4.8"
"진설세럼 30ml","300,000원","","4.7"
"자음생세럼 브라이트닝 30ml","130,500원","10%","4.8"
