"상품명","가격","할인율","평점"
"프리티 눈썹칼 2입","3,150원","10%","4.8"
"듀얼 코튼 면봉 150매","2,400원","20%","4.8"
"그린티 오일 컨트롤 페이퍼 70매","3,150원","10%","4.9"
"순면 5겹 화장솜 50매 / 120매","2,570원","4%","4.8"
"토너 아껴주는 1/2 스킨팩 화장솜 400매","8,400원","20%","4.7"
"물광 메이크업 씨앗 스펀지 2ea","3,600원","20%","4.8"
"애프터 마스카라 히팅 속눈썹 고데기 (건전지 별도 구매)","19,600원","30%","4.2"
"컴팩트 아이래쉬 컬러","6,800원","20%","4.7"
"소프트 엠보싱 원형 화장솜 100매","5,500원","","4.7"
"토너 아껴주는 1/2 스킨팩 화장솜 트리플세트 (400매 x 3)","23,620원","25%","5.0"
"여행준비 뷰티툴 3종 세트 (1/2 스킨팩 화장솜+오일 페이퍼+컴팩트 아이래쉬)","16,870원","25%",""
"프로페셔널 아티스트 브러쉬 8종 키트","64,000원","20%","4.7"
"아모레베이직 미피 솔리드 퍼퓸 2종+실리콘키링","20,000원","","4.6"
"아모레베이직 X 벤자민무어 더 에센셜 세라믹 바디 괄사","20,000원","20%","4.8"
"아모레베이직 X 벤자민무어 더 에센셜 배쓰밤 2입세트","12,000원","20%","4.8"
"데일리 메이크업 조각 스펀지 20ea / 60ea","3,140원","4%","4.7"
