"상품명","가격","할인율","평점"
"수분가득 콜라겐 시트 마스크 25ml","102,500","","4.8"
"드로잉 아이 브로우 0.25g","3,400","15","4.7"
"[NEW] 왓츠 인 마이 아이즈","5,400","10","4.8"
"수분가득 콜라겐 딥시트 마스크 37ml","2,980","14","4.8"
"님프 광채볼류머 투명한 물광 24g","15,000","25","4.6"
"뽀오얀 미소 발효 립&아이 리무버 250ml (대용량)","12,750","15","4.8"
"닥터 마스카라 픽서 포 래쉬  (퍼펙트/슈퍼롱) 6g","6,400","20","4.7"
"청순거짓 브라우카라 대용량 기획세트 (9g+4.5g)","7,650","15","4.7"
"오마이 라인","6,400","20","4.6"
"프루프 10 젤 방수 펜슬 0.3 g","7,200","10","4.6"
"블링블링 아이스틱 1.4g","5,850","10","4.6"
"팡팡 헤어 섀도우 3.5g","12,800","20","4.7"
"컬 픽스 마스카라 (뷰러증정 기획세트)","13,600","15","4.8"
"컬픽스 마스카라 올인원 3종 세트 (뷰러증정)","24,500","30","4.7"
"플레이 컬러 아이즈 #더스티 캣 0.8g X 9","15,000","40","4.7"
"순정 디렉터 톤업 수정 선크림 기획 세트 SPF50+/PA++++","15,000","40","4.7"
"아이돌 리얼 래쉬 픽서 8ml","8,000","","4.8"
"플레이 101 스틱 컨투어 듀오","10,400","20","4.7"
"픽싱틴트 4g","8,400","30","4.7"
"디어 달링 워터젤 틴트","5,600","30","4.6"
"순정 약산성 클렌징 밀크 200ml","16,150","15","4.6"
"베어 엣지 슬림 브로우 0.1g","7,200","10","4.8"
"진저슈가 에센셜 립밤 15ml","7,500","","4.8"
"디어달링 마커틴트","7,700","30","4.5"
"그림자쉐딩 재창조 & 재창조 쉐딩스틱 기획세트","19,000","5","4.8"
"오 마이 래쉬 쌩얼 카라 7ml","7,650","15","4.7"
"라인 픽스 브러쉬 라이너 0.5g","11,200","20","4.8"
"[24,000원 → 12,000원] 베이킹 파우더 모공 클렌징 폼 듀오세트 (대용량 300g*2ea)","12,000","","4.9"
"베이킹 파우더 B.B 딥 클렌징폼 160g","6,300","30","4.8"
"진저슈가 립밤스틱 3.7g","8,000","","4.8"
"[MBTEYE 컬렉션] 마이 베스트 톤 아이 팔레트","24,000","20","4.6"
"재창조 메이커 1g","11,200","20","4.7"
"빅 커버 스킨 핏 컨실러 7g","10,400","20","4.6"
"컬러 래스팅 글로우 스틱 3.2g","12,800","20","4.7"
"닥터 마스카라 픽서 6g","8,000","","5.0"
"재창조 메이커 오버립","9,800","30","4.5"
"순정 약산성 5.5 폼 클렌저 150ml","9,600","20","4.9"
"파워 래쉬 속눈썹 영양제 6g","19,550","15","4.7"
"애교살 메이커","9,600","20","4.6"
"피지쏙 젤리 파우더 8g","11,250","25","4.6"
