"상품명","가격","할인율","평점"
"제주 말차 밀크티 10입 (원산지:상세설명참조)","11,050","15","4.9"
"[선물추천] 프리미엄 티 컬렉션 10종 (원산지:상세설명참조)","25,600","20","4.9"
"말차 비스코티 칩 100g (원산지:상세설명참조)","12,600","10","4.6"
"프리미엄 녹차와플 72g (원산지:상세설명참조)","5,700","5","4.7"
"말차 프레첼 70g (원산지:상세설명참조)","5,400","10","4.8"
"티 베리에이션 O 6종 (원산지:상세설명참조)","24,000","20","4.9"
"제주 순수 녹차 20입 (원산지:상세설명참조)","9,350","15","4.9"
"그린티 웨하스 100g (원산지:상세설명참조)","5,700","5","4.8"
"프리미엄 말차 40g (원산지:상세설명참조)","21,850","5","4.8"
"제주섬 녹차 초콜릿바 120g (원산지:상세설명참조)","9,900","10","4.7"
"삼다 꿀배 티 20입 (원산지:상세설명참조)","9,350","15","4.9"
"그린티 랑드샤 10입 (원산지:상세설명참조)","12,600","10","4.8"
"티 베리에이션 에센스 6종 (원산지:상세설명참조)","29,750","15","4.9"
"[가벼운선물] 러블리 티박스 4종 (원산지:상세설명참조)","21,600","10","4.9"
"피치 캐모마일 20입 (원산지:상세설명참조)","9,900","10","4.8"
"얼그레이 밀크티 10입 (원산지:상세설명참조)","11,700","10","4.8"
"녹차 밀크 스프레드 200g (원산지:상세설명참조)","9,900","10","4.8"
"삼다연 오리지널 밀크티 10입 (원산지:상세설명참조)","11,700","10","4.8"
"차의 정원 9종 (원산지:상세설명참조)","48,600","10","4.9"
"제주 삼다 영귤 티 20입 (원산지:상세설명참조)","9,900","10","4.8"
"티 에디션 아일랜드 6종 (원산지:상세설명참조)","30,600","15","4.9"
"디퓨저 티가든 100ml (원산지:상세설명참조)","23,750","5","4.8"
"찬물 루이보스티 20입 (원산지:상세설명참조)","8,550","10","4.9"
"달빛걷기 20입 (원산지:상세설명참조)","24,300","10","4.9"
"시그니처 비스킷 10입 (원산지:상세설명참조)","13,300","5","4.8"
"제주 동백꽃 티 20입 (원산지:상세설명참조)","9,900","10","4.9"
"티 에디션 허브 4종 (원산지:상세설명참조)","27,200","15","4.8"
"유자 얼그레이 20입 (원산지:상세설명참조)","9,900","10","4.9"
"세작 피라미드 20입 (원산지:상세설명참조)","27,000","10","4.8"
"유채 & 살구향 티 20입 (원산지:상세설명참조)","9,900","10","4.9"
"말차 스틱 5입 (원산지:상세설명참조)","9,000","10","4.6"
"제주섬 녹차 아몬드볼 80g (원산지:상세설명참조)","9,500","5","4.8"
"캐모마일 블렌드 10입 (원산지:상세설명참조)","14,850","10","4.8"
"찬물 녹차 20입 (원산지:상세설명참조)","8,550","10","4.9"
"루이보스 퓨어 10입 (원산지:상세설명참조) 18g","14,850","10","4.9"
"세작 40g (원산지:상세설명참조)","15,300","10","4.9"
"제주 화산우롱차 20입 (원산지:상세설명참조)","9,900","10","4.8"
"[선물추천] 프리미엄 티 컬렉션 9종 (원산지:상세설명참조)","70,200","10","4.9"
"루이보스 문라이트 20입 (원산지:상세설명참조)","24,300","10","4.9"
"무화과 쇼콜라 블랙티 20입 (원산지:상세설명참조)","9,900","10","4.8"
