name,price,review,rating
[2025 어워즈/14년연속 누적판매 1위] 메디힐 에센셜 마스크팩 10+2/10+1매 7종 택1,"9,900원 ~",,
[어워즈특가] 일리윤 세라마이드 아토 로션 600+334ML 어워즈 한정기획,"24,500원",,
[어워즈특가] 에스트라 아토베리어365 크림 80ml 어워즈 한정기획 (+30ml+세라-히알 앰플 3ml),"24,700원",,
[어워즈특가] 메디큐브 에이지알 부스터프로 미니플러스 짱구 에디션 (올영한정)/미니플러스 라인업 택 1,"115,900원 ~",,
[어워즈특가/1등 세럼] 토리든 다이브인 저분자 히알루론산 세럼 100ml 어워즈 한정기획,"33,250원",,
[어워즈특가] 마녀공장 퓨어 클렌징 오일 200ml 트리플 어워즈 한정기획 (+클렌징밀크 2mlx5),"29,980원",,
"[어워즈특가/1위패드] 메디힐 더마 패드 100매 더블 어워즈 한정기획 (마데카소사이드, 티트리)","28,330원 ~",,
넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,"17,390원 ~",,
[어워즈특가] 제로이드 인텐시브 크림 80ml 어워즈 한정기획 (+크림 25ml+ 베스트 3종 샘플 6매),"24,480원",,
[어워즈특가] 유시몰 화이트닝 퍼플코렉터 치약 106g 어워즈 한정기획 (+30g+가글15ml*3),"13,400원",,
[어워즈특가] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 더블 어워즈 한정기획,"30,900원",,
[어워즈특가/수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 어워즈 한정기획 (+세럼10ml),"20,790원",,
[2025 어워즈] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 어워즈기획 (+세럼50ml+크림10ml+겔마스크1매),"28,400원",,
[어워즈특가] 라보에이치 두피강화클리닉 샴푸 750ML 어워즈 한정기획 (+샴푸 120ML*2),"24,900원 ~",,
딜라이트 프로젝트 베이글칩 모음전,"2,500원 ~",,
[어워즈특가] 달바 퍼스트 스프레이 세럼 100ml 어워즈 한정기획 (+100ml+50ml),"39,900원",,
[어워즈특가/1+1] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블 어워즈 한정기획 (+복숭아패드 10매),"25,000원",,
[어워즈특가] 정샘물 에센셜 스킨 누더 쿠션(어워즈기획/본품+리필),"35,800원 ~",,
[어워즈특가] 비플레인 녹두 약산성 클렌징폼 160ml 더블 어워즈 한정기획(+오일 20ml+밀크밤 3ml*2ea),"23,900원",,
[12/5 하루특가] 라운드랩 자작나무 수분 선크림 50ml 1+1 어워즈 한정기획,"23,400원",,
[어워즈특가] 달바 퍼플 톤업 선크림 50ml+50ml 어워즈 한정기획 (+퍼플 선크림 20ml),"32,900원",,
[어워즈특가]달바 핑크 톤업 선크림 50ml+50ml 어워즈 한정기획 (+핑크 선크림 20ml),"32,900원",,
크리니크 치크 팝 브러쉬 증정 기획/단품,"25,500원 ~",,
[어워즈특가] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매 어워즈 기획 (+콜라겐 마스크 1매+콜라겐 겔 토너 패드,"28,400원",,
[단독기획] 메이크프렘 클렌징 밀크 한정 기획 (+리필 200ml+하트 곤약스펀지X2개),"21,900원",,
[한정수량/단독기획] 비디비치 블랙 퍼펙션 커버 핏 쿠션 기획 (본품+리필 증정),"36,960원 ~",,
[어워즈특가] 메디큐브 콜라겐 나이트 랩핑 마스크 75ml 어워즈 기획 (+젤리브러쉬 + 미니어처 5ml),"18,700원",,
[현재 영통팬싸 이벤트/어워즈특가] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 어워즈 기획,"25,900원",,
