name,sale_price,orig_price,all_prices,raw_text,url
[12/5 하루특가] 아렌시아 그린티 LHA 딥 포어 떡솝 클렌저 150g 어워즈 한정기획,"16,900","28,000","16,900 / 28,000","[12/5 하루특가] 아렌시아 그린티 LHA 딥 포어 떡솝 클렌저 150g 어워즈 한정기획 16,900원28,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238291&dispCatNo=90000010002&trackingCd=Today_Special&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%8A%A4%ED%8E%98%EC%85%9C%EC%98%A4%ED%8A%B9_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
[12/5 하루특가/8년연속1위] 케어플러스 상처 커버 스팟 패치 (102매),"5,200","6,300","5,200 / 6,300","[12/5 하루특가/8년연속1위] 케어플러스 상처 커버 스팟 패치 (102매) 5,200원~6,300원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222781&dispCatNo=90000010002&trackingCd=Today_Special&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%8A%A4%ED%8E%98%EC%85%9C%EC%98%A4%ED%8A%B9_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2
[12/5 하루특가] 미쟝센 컬링에센스 어워즈 한정기획 230ML*2 (볼륨/내추럴 택1),"13,700","30,000","13,700 / 30,000","[12/5 하루특가] 미쟝센 컬링에센스 어워즈 한정기획 230ML*2 (볼륨/내추럴 택1) 13,700원~30,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240002&dispCatNo=90000010002&trackingCd=Today_Special&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%8A%A4%ED%8E%98%EC%85%9C%EC%98%A4%ED%8A%B9_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3
[12/5 하루특가] 라운드랩 자작나무 수분 선크림 50ml 1+1 어워즈 한정기획,"23,400","25,000","23,400 / 25,000","[12/5 하루특가] 라운드랩 자작나무 수분 선크림 50ml 1+1 어워즈 한정기획 23,400원25,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238485&dispCatNo=90000010002&trackingCd=Today_Special&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%8A%A4%ED%8E%98%EC%85%9C%EC%98%A4%ED%8A%B9_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4
[12/5 하루특가/어워즈특가] 콜레올로지 컷팅 젤리 10포 어워즈 한정기획 (+컷팅젤리 2포 +센텔라젤리 2포 증정),"17,500","23,900","17,500 / 23,900","[12/5 하루특가/어워즈특가] 콜레올로지 컷팅 젤리 10포 어워즈 한정기획 (+컷팅젤리 2포 +센텔라젤리 2포 증정) 17,500원~23,900원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238770&dispCatNo=90000010002&trackingCd=Today_Special&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%8A%A4%ED%8E%98%EC%85%9C%EC%98%A4%ED%8A%B9_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5
[12/5 하루특가] 빌리프 모이스춰라이징밤 30ml 기획/아쿠아밤 30ml 기획/프로즌 크림 50ml 기획 중 택1,"25,200","35,000","25,200 / 35,000","[12/5 하루특가] 빌리프 모이스춰라이징밤 30ml 기획/아쿠아밤 30ml 기획/프로즌 크림 50ml 기획 중 택1 25,200원~35,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211213&dispCatNo=90000010002&trackingCd=Today_Special&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%8A%A4%ED%8E%98%EC%85%9C%EC%98%A4%ED%8A%B9_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6
[12/5 하루특가] 닥터지 레드 블레미쉬 클리어 수딩크림 70ml 1+1 어워즈 기획 (+세럼20ml+겔마스크1매),"24,700","38,000","24,700 / 38,000","[12/5 하루특가] 닥터지 레드 블레미쉬 클리어 수딩크림 70ml 1+1 어워즈 기획 (+세럼20ml+겔마스크1매) 24,700원38,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238743&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1
일소 딥 클린 마스터(블랙헤드제거기) (+피지압출면봉 10P),"6,750","7,900","6,750 / 7,900","일소 딥 클린 마스터(블랙헤드제거기) (+피지압출면봉 10P) 6,750원~7,900원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207822&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2
[7일 특가/1등 클렌징밤] 바닐라코 클린잇제로 클렌징밤 100ml 기획 (+미니밤 25ml 증정),"13,500","20,000","13,500 / 20,000","[7일 특가/1등 클렌징밤] 바닐라코 클린잇제로 클렌징밤 100ml 기획 (+미니밤 25ml 증정) 13,500원~20,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231950&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3
[대용량기획/아따맘마 콜라보] 차앤박 프로폴리스 에너지 액티브 앰플 50ml 리필기획 (+키링 파우치),"32,900","62,000","32,900 / 62,000","[대용량기획/아따맘마 콜라보] 차앤박 프로폴리스 에너지 액티브 앰플 50ml 리필기획 (+키링 파우치) 32,900원62,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233738&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4
