상품명,brand,URL,price_original,category,subcategory
메이크온 시너지 마스크,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64345,4000.0,스킨케어,마스크팩
가볍게 마시는 히알루론산,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64863,35000.0,건기식,기능성식품
스킨 라이트 테라피 III,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64314,350000.0,디바이스,스킨기기
스킨 라이트 테라피 3S,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=24733,473333.0,디바이스,스킨기기
젬 소노 테라피 릴리프,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21343,325000.0,디바이스,스킨기기
히알루로닉 스파 캡슐 24개입,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56301,90000.0,건기식,기능성식품
마그네타이트 바디롤러,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=38492,180000.0,바디,바디케어
,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67302,1899000.0,기타,미분류
페이셜 부스팅 스파,메이크온,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=49262,450000.0,기타,미분류
수분가득 콜라겐 시트 마스크 25ml,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59901,2477.0,스킨케어,마스크팩
드로잉 아이 브로우 0.25g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53224,4000.0,메이크업,아이브로우
진저슈가 립케어 2종 기획세트,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67468,19000.0,메이크업,립제품
왓츠 인 마이 아이즈,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64004,6000.0,메이크업,아이섀도우
디어 달링 워터젤 틴트,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62614,8000.0,메이크업,립틴트
왓츠 인 마이 아이즈 카페 더블,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66617,8000.0,메이크업,아이섀도우
