상품명,brand,전성분
메이크온 시너지 마스크,메이크온,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 판테놀, 카보머, 알지닌, 잔탄검, 메틸트라이메티콘, 알란토인, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아데노신, 세라마이드엔피, 향료, 다이소듐이디티에이, 2,3-부탄다이올, 소듐하이알루로네이트, 알부틴, 하이드로제네이티드레시틴, 글리세릴스테아레이트, 하이드록시프로필트라이모늄하이알루로네이트, 콜레스테롤, 세라마이드엔에스, 세라마이드에이피, 세라마이드에이에스, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 카프릴릭/카프릭트라이글리세라이드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 스쿠알란, 세틸에틸헥사노에이트, 병풀추출물, 마카다미아씨오일, 스테아릭애씨드, 토코페롤, 올레익애씨드, 유채스테롤, 세라마이드이오피"
가볍게 마시는 히알루론산,메이크온,
스킨 라이트 테라피 III,메이크온,
스킨 라이트 테라피 3S,메이크온,
젬 소노 테라피 릴리프,메이크온,
히알루로닉 스파 캡슐 24개입,메이크온,"소듐하이알루로네이트, 만니톨"
마그네타이트 바디롤러,메이크온,
,메이크온,
페이셜 부스팅 스파,메이크온,해당없음
수분가득 콜라겐 시트 마스크 25ml,에뛰드,"정제수, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 에탄올, 글리세린, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 잔탄검, 폴리글리세릴-10미리스테이트, 에틸헥실글리세린, 다이소듐이디티에이, 하이드롤라이즈드루핀단백질, 토코페롤"
드로잉 아이 브로우 0.25g,에뛰드,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈, 황색산화철, 마이카, 하이드로제네이티드식물성오일, 적색산화철, 징크스테아레이트, 스테아릭애씨드, 카나우바왁스, 폴리글리세릴-2트라이아이소스테아레이트, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 아스코빌팔미테이트, 헥실렌글라이콜"
진저슈가 립케어 2종 기획세트,에뛰드,"립마스크 : 폴리부텐, 하이드로제네이티드폴리아이소부텐, 피토스테릴이소스테아릴다이머디리놀리에이트, 다이아이소스테아릴말레이트, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 덱스트린팔미테이트, 시어버터, 마이크로크리스탈린왁스, 폴리에틸렌, 글리세린, 비즈왁스, 토코페릴아세테이트, 칸데릴라왁스, 야자씨버터, 에틸렌/프로필렌/스타이렌코폴리머, 트라이에틸헥사노인, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 오조케라이트, 폴리하이드록시스테아릭애씨드, 리모넨, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 다이스테아다이모늄헥토라이트, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 솔비탄아이소스테아레이트, 향료, 폴리글리세릴-3폴리리시놀리에이트, 데하이드로아세틱애씨드, 부틸렌/에틸렌/스타이렌코폴리머, 리날룰, 트레할로오스, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트, 시트랄, 정제수, 부틸렌글라이콜, 생강추출물, 비에이치티. -립밤스틱 : 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 비스-다이글리세릴폴리아실아디페이트-2, 하이드로제네이티드캐스터오일아이소스테아레이트, 브이피/헥사데센코폴리머, 펜타에리스리틸테트라아이소스테아레이트, 다이아이소스테아릴말레이트, 합성왁스, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 합성플루오르플로고파이트, 야자씨버터, 시어버터, 세레신, 수크로오스테트라스테아레이트트라이아세테이트, 토코페릴아세테이트, 마이크로크리스탈린왁스, 1,2-헥산다이올, 에틸렌/프로필렌코폴리머, 리모넨, 라우로일라이신, 향료, 에틸헥실글리세린, 실리카, 리날룰, 시트랄, 제라니올, 에리스리톨, 정제수, 부틸렌글라이콜, 생강추출물, 토코페롤"
