상품명,URL,price_original,용량_raw,용량_value,용량_unit,전성분,brand,product_id
메이크온 시너지 마스크,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64345,4000.0,20g,20.0,g,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 판테놀, 카보머, 알지닌, 잔탄검, 메틸트라이메티콘, 알란토인, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아데노신, 세라마이드엔피, 향료, 다이소듐이디티에이, 2,3-부탄다이올, 소듐하이알루로네이트, 알부틴, 하이드로제네이티드레시틴, 글리세릴스테아레이트, 하이드록시프로필트라이모늄하이알루로네이트, 콜레스테롤, 세라마이드엔에스, 세라마이드에이피, 세라마이드에이에스, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 카프릴릭/카프릭트라이글리세라이드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 스쿠알란, 세틸에틸헥사노에이트, 병풀추출물, 마카다미아씨오일, 스테아릭애씨드, 토코페롤, 올레익애씨드, 유채스테롤, 세라마이드이오피",메이크온,메이크온_메이크온 시너지 마스크
가볍게 마시는 히알루론산,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64863,35000.0,,,,,메이크온,메이크온_가볍게 마시는 히알루론산
스킨 라이트 테라피 III,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64314,350000.0,,,,,메이크온,메이크온_스킨 라이트 테라피 III
스킨 라이트 테라피 3S,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=24733,473333.0,,,,,메이크온,메이크온_스킨 라이트 테라피 3S
젬 소노 테라피 릴리프,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21343,325000.0,,,,,메이크온,메이크온_젬 소노 테라피 릴리프
히알루로닉 스파 캡슐 24개입,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56301,90000.0,24개입(3개입*8),24.0,개,"소듐하이알루로네이트, 만니톨",메이크온,메이크온_히알루로닉 스파 캡슐 24개입
마그네타이트 바디롤러,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=38492,180000.0,,,,,메이크온,메이크온_마그네타이트 바디롤러
,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67302,1899000.0,,,,,메이크온,메이크온_nan
페이셜 부스팅 스파,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=49262,450000.0,1EA,1.0,EA,해당없음,메이크온,메이크온_페이셜 부스팅 스파
수분가득 콜라겐 시트 마스크 25ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59901,2477.0,1매/25ml,1.0,매,"정제수, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 에탄올, 글리세린, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 잔탄검, 폴리글리세릴-10미리스테이트, 에틸헥실글리세린, 다이소듐이디티에이, 하이드롤라이즈드루핀단백질, 토코페롤",에뛰드,에뛰드_수분가득 콜라겐 시트 마스크 25ml
드로잉 아이 브로우 0.25g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53224,4000.0,0.25g,0.25,g,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈, 황색산화철, 마이카, 하이드로제네이티드식물성오일, 적색산화철, 징크스테아레이트, 스테아릭애씨드, 카나우바왁스, 폴리글리세릴-2트라이아이소스테아레이트, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 아스코빌팔미테이트, 헥실렌글라이콜",에뛰드,에뛰드_드로잉 아이 브로우 0.25g
