브랜드,구분,내용 요약,brand_tone_cluster
에스트라,Part 1,태평양제약에서 시작된 헤리티지에 기반해 오래도록 건강한...,1
에스트라,Part 2,에스트라가 의사를 만나는 이유     일시적 윤기와 잠...,2
에스트라,Part 3,병원 밖으로 나온 더마 with 올리브영     에스트...,2
AP,Part 1,$APEX OF SKINCARE TO UNVEIL BE...,3
AP,Part 2,APEX OF SKINCARE     새로운 차원의 피...,3
아윤채,Part 1,Detailed & High Performing Sal...,2
아윤채,Part 2,디자이너 살롱 워크를 위한 PRO와 데일리 헤어 라이프...,2
비레디,Part 1,"Ordinary, but extraordinary   ...",1
비레디,Part 2,더 세련된 방식으로 나를 표현하도록 도와주는     각...,1
비레디,Part 3,중요한 순간에 준비된 나를 만들어주는     나의 스타...,1
코스알엑스,Part 1,"오직 성분으로, 오직 코스알엑스     ""Cosmeti...",1
코스알엑스,Part 2,미스터 알엑스는 오랜시간 동안 일상 속 뷰티 라이프 스...,2
코스알엑스,Part 3,brand concept Soft Skin Care  ...,2
에스쁘아,Part 1,자신만의 룩을 찾을 수 있도록 영감을 주는 Makeup...,1
에스쁘아,Part 2,Detailed by Professionals     ...,2
에스쁘아,Part 3,BEAUTY CREATED     BY DETAILS....,3
에뛰드,Part 1,Make Your Makeup Playlist! ETU...,3
에뛰드,Part 2,color 라이프 스타일의 다채로움     Pink 유...,1
에뛰드,Part 3,"Loved Products     자타공인, 역대 가장...",1
젠티스트,Part 1,구강 고민에 독창적인 솔루션을 제공하는 덴탈케어 브랜드...,2
젠티스트,Part 2,아모레퍼시픽의 전문적이고 체계적인 41년 구강 연구 노...,2
한율,Part 1,나만의 건강한 균형     Everyday glass ...,1
한율,Part 2,"한국의 이로움으로 전하는 균형 잡힌 아름다움, 한율  ...",1
한율,Part 3,"피부 스스로 강해질 수 있는 힘,     마이크로바이옴...",2
해피바스,Part 1,일상에 행복을 더하는 향과 건강한 원료를 담은     ...,1
해피바스,Part 2,"온가족이 함께 쓰는 바디클렌저, 안전한 원료와 믿을 수...",2
헤라,Part 1,Contemporary Seoul Beauty     ...,1
헤라,Part 2,SENSUAL POWDER MATTE LIQUID   ...,3
헤라,Part 3,CONTEMPORARY     SEOUL BEAUTY ...,3
홀리추얼,Part 1,Holistic Rituals for Skin Well...,2
홀리추얼,Part 2,우리는 거울 앞 무의미하게 반복되는 당신의 스킨케어 루...,2
일리윤,Part 1,Amorepacific     민감한 피부 고민에 대한...,2
일리윤,Part 2,"INTERVIEW 01     모윤희     (17, ...",2
일리윤,Part 3,주요성분     3가지 핵심성분     피토 세라마이드...,0
이니스프리,Part 1,"Effective, Nature-Powered Skin...",2
이니스프리,Part 2,the Origin of INNISFREE     천혜...,3
이니스프리,Part 3,with INNISFREE     Better for ...,3
아이오페,Part 1,클리니컬 레벨 테크(Clinical Level Tech...,3
아이오페,Part 2,IOPE LAB     아이오페 랩은 브랜드의 오리진으...,3
아이오페,Part 3,ESSENCE & BENEFIT     피부미래연구소 ...,2
라보에이치,Part 1,두피 스킨케어 전문가_라보에이치     아모레퍼시픽 피...,2
라보에이치,Part 2,LABOratory Of Honesty     진심을 ...,1
라보에이치,Part 3,스칼프베리어218™     라보에이치가 선택한 단 하나...,1
라네즈,Part 1,아름다움을 향한 끝없는 호기심     OPEN TO W...,1
라네즈,Part 2,THE CORE PRODUCT PILLARS     H...,3
라네즈,Part 3,SLEEPING BEAUTY TECHNOLOGY    ...,3
롱테이크,Part 1,깊은 숲에서 영감을 받은 감성향 지속가능 브랜드    ...,1
롱테이크,Part 2,사람의 발길이 닿지 않은 깊은 숲에서 영감을 받은 감각...,1
메이크온,Part 1,"피부를 잘 아는 뷰티 디바이스, 메이크온     메이크...",2
메이크온,Part 2,"메이크온은 빛(Light), 열(Heat), 이온(Io...",0
메이크온,Part 3,"쏟아져 나오는 뷰티 디바이스 제품들 사이에서, 메이크온...",2
마몽드,Part 1,Hyper Flora™로 피어나는 나다운 아름다움   ...,1
마몽드,Part 2,Powered by Hyper Flora     하이퍼...,3
마몽드,Part 3,자신만의 독특한 방식으로     삶을 꽃 피울 수 있도...,1
메디안,Part 1,내 치아를 위한 맞춤 처방     메디안은 “건강한 치...,2
메디안,Part 2,많은 고객에게 사랑을 받은 치석 전문 ‘치석케어 93%...,2
미쟝센,Part 1,SHINE YOUR SCENE     글로벌 헤어패션 ...,2
미쟝센,Part 2,"CHANGE YOUR HAIR, CHANGE YOUR ...",3
미쟝센,Part 3,"미쟝센을 만나는 순간,     모든 곳이 무대     ...",3
오딧세이,Part 1,매력적인 남성미와 미향(美香)을 향한 여정     오딧...,1
오딧세이,Part 2,25년이 넘는 남성 헤리티지의 오딧세이는 앞으로도 세련...,1
오설록,Part 1,Tea from Jeju Island     “어느 나...,1
오설록,Part 2,오설록의 제주 차밭     약 100만 평에 달하는 3...,0
오설록,Part 3,자연을 숨쉬게 하는 차밭     자연을 지키는 유기농 ...,0
프리메라,Part 1,All about skin barrier by SEED...,3
프리메라,Part 2,Powerful Result Mixology Recip...,3
프리메라,Part 3,Powerful Result Mixology Recip...,3
려,Part 1,뿌리로부터 자라는 본연의 아름다움     뿌리깊은 나무...,0
려,Part 2,2008년에 런칭한 ‘려’는 1973년부터 시작된 아모...,3
려,Part 3,최근 려는 원인과 증상이 다른 남녀의 탈모를 맞춤 케어...,2
스킨유,Part 1,내 몸의 감각을 일깨우는 섬세한 바디케어 브랜드 스킨유...,2
스킨유,Part 2,머스크향이 나는 자연의 열매인 암브레트 씨드를 향에 담...,1
설화수,Part 1,시간의 흐름에 지지 않는 아름다움     Journey...,1
설화수,Part 2,"집념의 60년 연구,     피부 장수를 위한 인삼  ...",0
설화수,Part 3,설화수가 만드는     윤빛 도는 힘 있는 피부    ...,2
타타 하퍼,Part 1,High-Performance Natural Skinc...,2
타타 하퍼,Part 2,타타 하퍼 농장에서 발견하는 자연의 이치와 과학을 토대...,0
바이탈뷰티,Part 1,VITALBEAUTIE     과학적 설계로 완성한 건...,3
바이탈뷰티,Part 2,"바이탈뷰티 랩은 영양 대사, 면역, 의약학, 이너뷰티 ...",2
