brand,part_id,content,char_len
AP,1,$APEX OF SKINCARE TO UNVEIL BE...,33
AP,2,APEX OF SKINCARE     새로운 차원의 피...,33
라네즈,1,아름다움을 향한 끝없는 호기심     OPEN TO W...,33
라네즈,2,THE CORE PRODUCT PILLARS     H...,33
라네즈,3,SLEEPING BEAUTY TECHNOLOGY    ...,33
라보에이치,1,두피 스킨케어 전문가_라보에이치     아모레퍼시픽 피...,33
라보에이치,2,LABOratory Of Honesty     진심을 ...,33
라보에이치,3,스칼프베리어218™     라보에이치가 선택한 단 하나...,33
려,1,뿌리로부터 자라는 본연의 아름다움     뿌리깊은 나무...,33
려,2,2008년에 런칭한 ‘려’는 1973년부터 시작된 아모...,33
려,3,최근 려는 원인과 증상이 다른 남녀의 탈모를 맞춤 케어...,33
롱테이크,1,깊은 숲에서 영감을 받은 감성향 지속가능 브랜드    ...,33
롱테이크,2,사람의 발길이 닿지 않은 깊은 숲에서 영감을 받은 감각...,33
마몽드,1,Hyper Flora™로 피어나는 나다운 아름다움   ...,33
마몽드,2,Powered by Hyper Flora     하이퍼...,33
마몽드,3,자신만의 독특한 방식으로     삶을 꽃 피울 수 있도...,33
메디안,1,내 치아를 위한 맞춤 처방     메디안은 “건강한 치...,33
메디안,2,많은 고객에게 사랑을 받은 치석 전문 ‘치석케어 93%...,33
메이크온,1,"피부를 잘 아는 뷰티 디바이스, 메이크온     메이크...",33
메이크온,2,"메이크온은 빛(Light), 열(Heat), 이온(Io...",33
메이크온,3,"쏟아져 나오는 뷰티 디바이스 제품들 사이에서, 메이크온...",33
미쟝센,1,SHINE YOUR SCENE     글로벌 헤어패션 ...,33
미쟝센,2,"CHANGE YOUR HAIR, CHANGE YOUR ...",33
미쟝센,3,"미쟝센을 만나는 순간,     모든 곳이 무대     ...",33
바이탈뷰티,1,VITALBEAUTIE     과학적 설계로 완성한 건...,33
바이탈뷰티,2,"바이탈뷰티 랩은 영양 대사, 면역, 의약학, 이너뷰티 ...",33
비레디,1,"Ordinary, but extraordinary   ...",33
비레디,2,더 세련된 방식으로 나를 표현하도록 도와주는     각...,33
비레디,3,중요한 순간에 준비된 나를 만들어주는     나의 스타...,33
설화수,1,시간의 흐름에 지지 않는 아름다움     Journey...,33
설화수,2,"집념의 60년 연구,     피부 장수를 위한 인삼  ...",33
설화수,3,설화수가 만드는     윤빛 도는 힘 있는 피부    ...,33
스킨유,1,내 몸의 감각을 일깨우는 섬세한 바디케어 브랜드 스킨유...,33
스킨유,2,머스크향이 나는 자연의 열매인 암브레트 씨드를 향에 담...,33
아윤채,1,Detailed & High Performing Sal...,33
아윤채,2,디자이너 살롱 워크를 위한 PRO와 데일리 헤어 라이프...,33
아이오페,1,클리니컬 레벨 테크(Clinical Level Tech...,33
아이오페,2,IOPE LAB     아이오페 랩은 브랜드의 오리진으...,33
아이오페,3,ESSENCE & BENEFIT     피부미래연구소 ...,33
에뛰드,1,Make Your Makeup Playlist! ETU...,33
에뛰드,2,color 라이프 스타일의 다채로움     Pink 유...,33
에뛰드,3,"Loved Products     자타공인, 역대 가장...",33
에스쁘아,1,자신만의 룩을 찾을 수 있도록 영감을 주는 Makeup...,33
에스쁘아,2,Detailed by Professionals     ...,33
에스쁘아,3,BEAUTY CREATED     BY DETAILS....,33
에스트라,1,태평양제약에서 시작된 헤리티지에 기반해 오래도록 건강한...,33
에스트라,2,에스트라가 의사를 만나는 이유     일시적 윤기와 잠...,33
에스트라,3,병원 밖으로 나온 더마 with 올리브영     에스트...,33
오딧세이,1,매력적인 남성미와 미향(美香)을 향한 여정     오딧...,33
오딧세이,2,25년이 넘는 남성 헤리티지의 오딧세이는 앞으로도 세련...,33
오설록,1,Tea from Jeju Island     “어느 나...,33
오설록,2,오설록의 제주 차밭     약 100만 평에 달하는 3...,33
