brand,brand_tone_cluster,cluster_name,brand_position,brand_part_count,sim_to_centroid
바이탈뷰티,0,Sensory-Luxury,고기능/클리니컬 톤,2,0.032144855707883835
일리윤,0,Sensory-Luxury,고기능/클리니컬 톤,3,0.02450738288462162
라보에이치,0,Sensory-Luxury,고기능/클리니컬 톤,3,0.021584630012512207
에스트라,0,Sensory-Luxury,고기능/클리니컬 톤,3,0.009552856907248497
타타 하퍼,0,Sensory-Luxury,고기능/클리니컬 톤,2,0.00921151228249073
아이오페,0,Sensory-Luxury,고기능/클리니컬 톤,3,-0.00944365281611681
홀리추얼,0,Sensory-Luxury,고기능/클리니컬 톤,2,-0.011729120276868343
아윤채,0,Sensory-Luxury,고기능/클리니컬 톤,2,-0.025861985981464386
이니스프리,0,Sensory-Luxury,고기능/클리니컬 톤,3,-0.038840148597955704
에스쁘아,0,Sensory-Luxury,고기능/클리니컬 톤,3,-0.042232681065797806
마몽드,0,Sensory-Luxury,고기능/클리니컬 톤,3,-0.06163587048649788
에뛰드,0,Sensory-Luxury,고기능/클리니컬 톤,3,-0.07347115129232407
프리메라,0,Sensory-Luxury,고기능/클리니컬 톤,3,-0.07432494312524796
스킨유,1,Direct,수분 중심 톤,2,0.02496064081788063
메이크온,1,Direct,수분 중심 톤,3,-0.04384319856762886
라네즈,1,Direct,수분 중심 톤,3,-0.04916023835539818
젠티스트,2,Clinical,프리미엄/헤리티지 톤,2,0.035102494060993195
코스알엑스,2,Clinical,프리미엄/헤리티지 톤,3,-0.00016072028665803373
려,2,Clinical,프리미엄/헤리티지 톤,3,-0.0083237299695611
롱테이크,2,Clinical,프리미엄/헤리티지 톤,2,-0.009183310903608799
설화수,2,Clinical,프리미엄/헤리티지 톤,3,-0.013117726892232895
오설록,2,Clinical,프리미엄/헤리티지 톤,3,-0.021197287365794182
미쟝센,2,Clinical,프리미엄/헤리티지 톤,3,-0.04555370658636093
헤라,2,Clinical,프리미엄/헤리티지 톤,3,-0.05909289792180061
한율,9,,,3,0.01348800864070654
해피바스,9,,,2,-0.009410830214619637
오딧세이,9,,,2,-0.02429155819118023
메디안,9,,,2,-0.02968965657055378
비레디,9,,,3,-0.038646940141916275
AP,9,,,2,-0.0395720899105072
