tone_id,description_preview,full_description
Clinical,임상·수치 중심,"임상 데이터, 수치 기반 검증, 효능 재현성을 강조하는 톤"
Dermatological,피부과 전문,장벽·민감·저자극 관점에서 안전성과 적합성을 설명하는 톤
Ingredient-Driven,성분 메커니즘,핵심 성분과 작용 메커니즘을 논리적으로 설명하는 톤
Empathetic,공감·위로,일상과 피부 고민에 공감하며 심리적 장벽을 낮추는 톤
Care-Oriented,돌봄·보호,지속적 사용과 피부 보호 이미지를 강조하는 톤
Inspirational,변화·자신감,긍정적 변화와 자신감을 자극하는 동기 부여 톤
Prestige,권위·헤리티지,브랜드 역사와 프리미엄 가치를 강조하는 톤
Minimal-Luxury,절제된 고급,간결하고 정제된 표현으로 고급감을 전달하는 톤
Sensory-Luxury,감각적 경험,텍스처·향·사용 경험을 중심으로 한 톤
Friendly,친근한 대화,부담 없이 쉽게 설명하는 톤
Playful,위트·트렌디,밝고 가벼운 위트로 주목도를 높이는 톤
Direct,직설·핵심,핵심만 빠르게 전달하고 행동을 유도하는 톤
