persona_id,brand,part_role,part_id,brand_tone_cluster,score
persona_7,프리메라,identity,Part 1,0,0.23312355503439902
persona_6,프리메라,identity,Part 1,0,0.23241908736526967
persona_8,프리메라,identity,Part 1,0,0.23203230947256087
persona_3,프리메라,identity,Part 1,0,0.23047450780868528
persona_4,프리메라,identity,Part 1,0,0.22594707608222964
persona_1,프리메라,identity,Part 1,0,0.2254369005560875
persona_2,프리메라,identity,Part 1,0,0.22375160790979864
persona_5,프리메라,identity,Part 1,0,0.22226236574351788
persona_7,젠티스트,benefit,Part 1,2,0.22166428886353967
persona_1,젠티스트,benefit,Part 1,2,0.2214663017913699
persona_6,젠티스트,benefit,Part 1,2,0.220854734480381
persona_3,젠티스트,benefit,Part 1,2,0.2202983184158802
persona_8,젠티스트,benefit,Part 1,2,0.21997388362884523
persona_6,바이탈뷰티,identity,Part 2,0,0.21987483799457552
persona_7,바이탈뷰티,identity,Part 2,0,0.2196413826197386
persona_4,젠티스트,benefit,Part 1,2,0.21947667919099328
persona_2,젠티스트,benefit,Part 1,2,0.21861356239765883
persona_1,바이탈뷰티,identity,Part 2,0,0.21803678907454016
persona_4,바이탈뷰티,identity,Part 2,0,0.21687415428459644
persona_1,오딧세이,identity,Part 1,9,0.21678943233564496
persona_8,바이탈뷰티,identity,Part 2,0,0.21670434083789586
persona_7,오딧세이,identity,Part 1,9,0.21663319049403074
persona_7,려,identity,Part 1,2,0.21652752701193095
persona_3,려,identity,Part 1,2,0.21625781673938038
persona_5,젠티스트,benefit,Part 1,2,0.2162206778675318
persona_4,오딧세이,identity,Part 1,9,0.21617347728461028
persona_8,려,identity,Part 1,2,0.216172368824482
persona_2,바이탈뷰티,identity,Part 2,0,0.21603706739842893
persona_6,려,identity,Part 1,2,0.2151643207296729
persona_6,에스트라,identity,Part 3,0,0.21504591275006535
persona_3,오딧세이,identity,Part 1,9,0.21502401055768133
persona_7,에스트라,identity,Part 3,0,0.21480975057929752
persona_4,에스트라,identity,Part 3,0,0.21467387992888687
persona_2,오딧세이,identity,Part 1,9,0.2145720463246107
persona_4,려,identity,Part 1,2,0.21455053891986609
persona_1,려,identity,Part 1,2,0.21441345568746328
persona_3,바이탈뷰티,identity,Part 2,0,0.21427857950329782
persona_8,오딧세이,identity,Part 1,9,0.21422725366428497
persona_3,아윤채,identity,Part 1,0,0.21412658561021092
persona_6,오딧세이,identity,Part 1,9,0.21400472745299337
persona_7,아윤채,identity,Part 1,0,0.21346676517277957
persona_8,에스트라,identity,Part 3,0,0.21313751917332413
persona_5,오딧세이,identity,Part 1,9,0.21280642403289673
persona_5,바이탈뷰티,identity,Part 2,0,0.21230612359941003
persona_2,려,identity,Part 1,2,0.21195280011743306
persona_6,아윤채,identity,Part 1,0,0.21183867640793325
persona_1,아윤채,identity,Part 1,0,0.21154196001589298
persona_2,아윤채,identity,Part 1,0,0.21122491359710693
persona_7,타타 하퍼,emotion,Part 2,0,0.21088259488344194
persona_1,타타 하퍼,emotion,Part 2,0,0.21075203165411951
persona_5,려,identity,Part 1,2,0.21050550658255818
persona_8,아윤채,identity,Part 1,0,0.2104449965059757
persona_4,타타 하퍼,emotion,Part 2,0,0.21032834824174643
persona_7,스킨유,emotion,Part 2,1,0.21020148850977421
persona_2,에스트라,identity,Part 3,0,0.2100466502830386
persona_4,아윤채,identity,Part 1,0,0.2099502759054303
persona_6,타타 하퍼,emotion,Part 2,0,0.20984161810949445
persona_8,스킨유,emotion,Part 2,1,0.20975780364125968
persona_8,타타 하퍼,emotion,Part 2,0,0.2096985724568367
persona_1,에스트라,identity,Part 3,0,0.20933237224817275
persona_3,타타 하퍼,emotion,Part 2,0,0.2092539979889989
persona_5,아윤채,identity,Part 1,0,0.2091241519898176
persona_3,에스트라,identity,Part 3,0,0.20885978005826472
