brand,brand_tone_cluster,brand_position
AP,3,트렌디/컬러 중심 톤
라네즈,2,프리미엄/헤리티지 톤
라보에이치,1,수분 중심 톤
려,0,고기능/클리니컬 톤
롱테이크,0,고기능/클리니컬 톤
마몽드,2,프리미엄/헤리티지 톤
메디안,1,수분 중심 톤
메이크온,1,수분 중심 톤
미쟝센,2,프리미엄/헤리티지 톤
바이탈뷰티,1,수분 중심 톤
비레디,2,프리미엄/헤리티지 톤
설화수,1,수분 중심 톤
스킨유,1,수분 중심 톤
아윤채,1,수분 중심 톤
아이오페,1,수분 중심 톤
에뛰드,2,프리미엄/헤리티지 톤
에스쁘아,2,프리미엄/헤리티지 톤
에스트라,1,수분 중심 톤
오딧세이,2,프리미엄/헤리티지 톤
오설록,0,고기능/클리니컬 톤
이니스프리,2,프리미엄/헤리티지 톤
일리윤,1,수분 중심 톤
젠티스트,1,수분 중심 톤
코스알엑스,1,수분 중심 톤
타타 하퍼,1,수분 중심 톤
프리메라,2,프리미엄/헤리티지 톤
한율,1,수분 중심 톤
해피바스,1,수분 중심 톤
헤라,2,프리미엄/헤리티지 톤
홀리추얼,1,수분 중심 톤
