ingredient_id,ingredient_name
0,#1. 부메랑 칼슘티타늄보로실리케이트
1,#2. 피치파우트 탤크
2,#핑키 마이카
3,(1제) 정제수
4,(STEP 1) 정제수
5,(로지) 하이드로제네이티드폴리(C6-14올레핀)
6,(소프너) 정제수
7,(스카이코랄) 하이드로제네이티드폴리(C6-14올레핀)
8,*BLACK TEA PEPTIDE ACTIVATORTM / 정제수
9,*맨 리차징 토너 : 정제수
10,*소듐아세틸레이티드하이알루로네이트
11,*소듐하이알루로네이트
12,*소듐하이알루로네이트크로스폴리머
13,*포타슘하이알루로네이트
14,*하이드록시프로필트라이모늄하이알루로네이트
15,*하이드롤라이즈드소듐하이알루로네이트
16,*하이드롤라이즈드하이알루로닉애씨드
17,*하이알루로닉애씨드
18,*히알루론 컴플렉스 10ppm 함유 정제수
19,000 ppm)
20,000.01 ppm)
21,000IU/g)
22,000PPM)
23,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.
24,000ppm)
25,005PPM)
26,056ppm)
27,073ppm)
28,1-디포스포닉애씨드액
29,1-하이드록시에탄-1
30,1. 하이라이터: 옥틸도데칸올
31,100ppm)
32,110kcal) 1일 영양성분 기준치에 대한 비율 (100g당) 나트륨 : 100mg (5%)
33,162 IU/g(0.12%)
34,175 ppm)
35,1개(20g)당 58kcal 나트륨 15mg 1%
36,1개(20g)당 85kca 나트륨35mg 2%
37,1일 영양성분 기준치에 대한  (%)은 2
38,1제(염모제): 정제수
39,1제: 미네랄오일
40,1제: 정제수
41,1포 당 15kcal 나트륨 200mg(10%)
42,2 -헥산다이올
43,2-메칠-5-하이드록시에칠아미노페놀
44,2-핵산다이올
45,2-헥 산다이올
46,2-헥산 다이올
47,2-헥산-이올
48,2-헥산다이올
49,2-헥산다이올 / 2제(산화제): 정제수
50,2-헥산다이올 / [3호] 마이카
51,2-헥산다이올 / [4호] 마이카
52,2-헥산다이올 펜틸렌글라이콜 카프릴릴글라이콜 캐모마일꽃추출물 병풀추출물 마데카소사이드
53,2-헥산다이올*
54,2-헥산다이올·폴리솔베이트80
55,2-헥산디올
56,202 ppm)
57,205 ppm)
58,22N 페탈 베이지 / 녹차수
59,3-O- 에틸아스코빅애씨드(20
60,3-O-에틸아스코빅애씨드
61,3-O-에틸아스코빅애씨드(0.1 PPM)
62,3-O-에틸아스코빅애씨드(1
63,3-O-에틸아스코빅애씨드(10 ppm)
64,3-O-에틸아스코빅애씨드(20
65,3-부탄다이올
66,300ppm)
67,340 ppm)
68,4-다이카복실레이트
